budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.824392995344755,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,1.0,0.0,0.0,0.0
2.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
3.0,add,5.6253857287306275,1.0,1.0,5.824392995344755,10.0,0.0,1.0,0.0,0.0
4.0,add,5.80109265288283,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
5.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,1.0,0.0,0.0,0.0
6.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
7.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
8.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
9.0,add,6.1075816507290615,1.0,1.0,5.824392995344755,10.0,0.0,1.0,0.0,0.0
10.0,add,5.815603102541995,1.0,1.0,5.824392995344755,10.0,0.0,0.0,1.0,0.0
11.0,add,5.824392995344754,1.0,1.0,5.824392995344755,10.0,1.0,0.0,0.0,0.0
12.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
13.0,add,5.824392995344754,1.0,1.0,5.824392995344755,10.0,1.0,0.0,0.0,0.0
14.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
15.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
16.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
17.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
18.0,add,5.82893347063032,1.0,1.0,5.824392995344755,10.0,0.0,0.0,1.0,0.0
19.0,add,6.217084713292609,1.0,1.0,5.824392995344755,10.0,0.0,1.0,0.0,0.0
20.0,add,5.814717485457587,1.0,1.0,5.824392995344755,10.0,0.0,0.0,1.0,0.0
21.0,add,5.824392995344754,1.0,1.0,5.824392995344755,10.0,1.0,0.0,0.0,0.0
22.0,add,5.829435617406434,1.0,1.0,5.824392995344755,10.0,0.0,0.0,1.0,0.0
23.0,add,5.949960173440239,1.0,1.0,5.824392995344755,10.0,0.0,1.0,0.0,0.0
24.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
25.0,add,5.302954418117088,1.0,1.0,5.824392995344755,10.0,0.0,1.0,0.0,0.0
26.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
