budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.8696825154081719,1.0,1.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
2.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
3.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
4.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
5.0,add,0.8684525127287878,1.0,1.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
6.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
7.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
8.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
9.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
10.0,add,0.06838146404165237,1.0,1.0,0.873597849947558,4.0,0.0,1.0,0.0,0.0
11.0,add,0.8696825154081719,1.0,1.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
12.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
13.0,add,0.8684525127287878,1.0,1.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
14.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
15.0,add,0.27120892176667255,1.0,1.0,0.873597849947558,4.0,0.0,1.0,0.0,0.0
16.0,add,0.16143076618937652,1.0,1.0,0.873597849947558,4.0,0.0,1.0,0.0,0.0
17.0,add,0.8114836507909445,1.0,1.0,0.873597849947558,4.0,0.0,1.0,0.0,0.0
18.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
19.0,delete,0.2677858814627575,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
20.0,delete,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
21.0,delete,0.2677858814627575,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
22.0,delete,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
23.0,swap,0.2677858814627577,1.0,1.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
24.0,swap,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,1.0,0.0
