budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
2.0,add_rx,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
3.0,add_ry,-0.12084307152608882,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
4.0,add_rz,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
5.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
6.0,swap_cx,-0.08085407090030462,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
7.0,swap_rx,0.21791201668959922,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
8.0,swap_ry,0.14878677714968588,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
9.0,swap_rz,-0.1356338958698004,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
10.0,add_cx,-0.13563389586980037,2.0,2.0,-0.13563389586980037,3.0,0.0,0.0,0.0,1.0
11.0,add_rx,-0.13563389586980035,2.0,2.0,-0.13563389586980037,3.0,1.0,0.0,0.0,0.0
12.0,add_ry,-0.11195632635951097,2.0,2.0,-0.13563389586980037,3.0,0.0,1.0,0.0,0.0
13.0,add_rz,-0.1356338958698004,2.0,2.0,-0.13563389586980037,3.0,0.0,0.0,1.0,0.0
14.0,delete,-0.015824144146880895,2.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,0.0
15.0,swap_cx,-0.4839441553477481,2.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,1.0
16.0,swap_rx,-0.015824144146880895,2.0,2.0,-0.13563389586980037,2.0,1.0,0.0,0.0,0.0
17.0,swap_ry,-0.2104610791962562,2.0,2.0,-0.13563389586980037,2.0,0.0,1.0,0.0,0.0
18.0,swap_rz,-0.06057428796036793,2.0,2.0,-0.13563389586980037,2.0,0.0,0.0,1.0,0.0
19.0,change_1,0.2191141758086214,3.0,2.0,0.21791201668959922,3.0,1.0,0.0,0.0,0.0
20.0,add_cx,0.25514857105185407,3.0,2.0,0.21791201668959922,3.0,1.0,0.0,0.0,1.0
21.0,add_rx,0.2179120166895992,3.0,2.0,0.21791201668959922,3.0,2.0,0.0,0.0,0.0
22.0,add_ry,0.6180394911428994,3.0,2.0,0.21791201668959922,3.0,1.0,1.0,0.0,0.0
23.0,add_rz,0.22426966509806606,3.0,2.0,0.21791201668959922,3.0,1.0,0.0,1.0,0.0
24.0,delete,-0.13563389586980037,3.0,2.0,0.21791201668959922,3.0,0.0,0.0,0.0,0.0
25.0,swap_cx,0.09497896601456118,3.0,2.0,0.21791201668959922,2.0,1.0,0.0,0.0,1.0
26.0,swap_rx,-0.13563389586980035,3.0,2.0,0.21791201668959922,3.0,1.0,0.0,0.0,0.0
27.0,swap_ry,0.18511620534128193,3.0,2.0,0.21791201668959922,2.0,1.0,1.0,0.0,0.0
28.0,swap_rz,0.5822874895342234,3.0,2.0,0.21791201668959922,2.0,1.0,0.0,1.0,0.0
29.0,add_cx,0.04207897977473338,4.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,2.0
30.0,add_rx,0.042078979774733405,4.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
31.0,add_ry,-0.09469819155612234,4.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
32.0,add_rz,0.04207897977473343,4.0,2.0,0.04207897977473338,4.0,0.0,0.0,1.0,1.0
33.0,delete,-0.13563389586980043,4.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
34.0,swap_cx,0.2848217821726909,4.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,2.0
35.0,swap_rx,0.042078979774733405,4.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
36.0,swap_ry,-0.23350610692677798,4.0,2.0,0.04207897977473338,3.0,0.0,1.0,0.0,1.0
37.0,swap_rz,0.2848217821726909,4.0,2.0,0.04207897977473338,3.0,0.0,0.0,1.0,1.0
38.0,change_3,0.1829798546824211,5.0,2.0,0.14878677714968588,3.0,0.0,1.0,0.0,0.0
39.0,add_cx,-0.05508252700889889,5.0,2.0,0.14878677714968588,3.0,0.0,1.0,0.0,1.0
40.0,add_rx,0.14878677714968588,5.0,2.0,0.14878677714968588,3.0,1.0,1.0,0.0,0.0
41.0,add_ry,-0.008336693890040173,5.0,2.0,0.14878677714968588,3.0,0.0,2.0,0.0,0.0
42.0,add_rz,0.1487867771496859,5.0,2.0,0.14878677714968588,3.0,0.0,1.0,1.0,0.0
43.0,delete,-0.10263829166353336,5.0,2.0,0.14878677714968588,2.0,0.0,1.0,0.0,0.0
44.0,swap_cx,-0.10263829166353336,5.0,2.0,0.14878677714968588,2.0,0.0,1.0,0.0,1.0
45.0,swap_rx,0.28482178217269094,5.0,2.0,0.14878677714968588,3.0,1.0,0.0,0.0,0.0
46.0,swap_ry,0.2978425424596284,5.0,2.0,0.14878677714968588,2.0,0.0,2.0,0.0,0.0
47.0,swap_rz,-0.10263829166353339,5.0,2.0,0.14878677714968588,2.0,0.0,1.0,1.0,0.0
48.0,add_cx,-0.08085407090030462,6.0,2.0,-0.08085407090030462,3.0,0.0,0.0,0.0,2.0
49.0,add_rx,-0.08085407090030464,6.0,2.0,-0.08085407090030462,3.0,1.0,0.0,0.0,1.0
50.0,add_ry,-0.0485004044300218,6.0,2.0,-0.08085407090030462,3.0,0.0,1.0,0.0,1.0
51.0,add_rz,-0.08085407090030466,6.0,2.0,-0.08085407090030462,3.0,0.0,0.0,1.0,1.0
52.0,delete,-0.015824144146880895,6.0,2.0,-0.08085407090030462,2.0,0.0,0.0,0.0,1.0
53.0,swap_cx,-0.08085407090030462,6.0,2.0,-0.08085407090030462,3.0,0.0,0.0,0.0,1.0
54.0,swap_rx,0.2848217821726909,6.0,2.0,-0.08085407090030462,3.0,1.0,0.0,0.0,0.0
55.0,swap_ry,0.18443847112294554,6.0,2.0,-0.08085407090030462,3.0,0.0,1.0,0.0,0.0
56.0,swap_rz,-0.015824144146880895,6.0,2.0,-0.08085407090030462,2.0,0.0,0.0,1.0,1.0
