budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add_cx,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
2.0,add_rx,74.55590154701888,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
3.0,add_ry,74.55847999270041,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
4.0,add_rz,74.4870273220884,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
5.0,delete,74.57922355224049,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
6.0,swap_cx,74.63416553902063,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
7.0,swap_rx,74.55357733109038,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
8.0,swap_ry,74.77428918779091,1.0,1.0,74.5559015470189,7.0,0.0,1.0,0.0,0.0
9.0,swap_rz,74.62234247519793,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
10.0,add_cx,74.57922355224049,2.0,2.0,74.57922355224049,7.0,0.0,0.0,0.0,1.0
11.0,add_rx,74.57922355224048,2.0,2.0,74.57922355224049,7.0,1.0,0.0,0.0,0.0
12.0,add_ry,74.63937578857417,2.0,2.0,74.57922355224049,7.0,0.0,1.0,0.0,0.0
13.0,add_rz,74.5792235522405,2.0,2.0,74.57922355224049,7.0,0.0,0.0,1.0,0.0
14.0,delete,74.62861363892578,2.0,2.0,74.57922355224049,6.0,0.0,0.0,0.0,0.0
15.0,swap_cx,74.44448781867587,2.0,2.0,74.57922355224049,6.0,0.0,0.0,0.0,1.0
16.0,swap_rx,74.63342952765267,2.0,2.0,74.57922355224049,6.0,1.0,0.0,0.0,0.0
17.0,swap_ry,74.64458393857116,2.0,2.0,74.57922355224049,6.0,0.0,1.0,0.0,0.0
18.0,swap_rz,74.63342952765267,2.0,2.0,74.57922355224049,6.0,0.0,0.0,1.0,0.0
19.0,change_2,74.77233989677788,3.0,2.0,74.77428918779091,7.0,0.0,1.0,0.0,0.0
20.0,add_cx,74.43243753475018,3.0,2.0,74.77428918779091,7.0,0.0,1.0,0.0,1.0
21.0,add_rx,74.77428918779091,3.0,2.0,74.77428918779091,7.0,1.0,1.0,0.0,0.0
22.0,add_ry,74.7704664700779,3.0,2.0,74.77428918779091,7.0,0.0,2.0,0.0,0.0
23.0,add_rz,74.77428918779093,3.0,2.0,74.77428918779091,7.0,0.0,1.0,1.0,0.0
24.0,delete,74.75154492462346,3.0,2.0,74.77428918779091,6.0,0.0,1.0,0.0,0.0
25.0,swap_cx,74.86417271955688,3.0,2.0,74.77428918779091,6.0,0.0,1.0,0.0,1.0
26.0,swap_rx,74.75909025457443,3.0,2.0,74.77428918779091,6.0,1.0,1.0,0.0,0.0
27.0,swap_ry,74.64757548426478,3.0,2.0,74.77428918779091,6.0,0.0,2.0,0.0,0.0
28.0,swap_rz,74.80494485264803,3.0,2.0,74.77428918779091,6.0,0.0,1.0,1.0,0.0
29.0,change_8,74.55848099065682,4.0,2.0,74.55847999270041,8.0,0.0,1.0,0.0,0.0
30.0,add_cx,74.55847999270041,4.0,2.0,74.55847999270041,8.0,0.0,1.0,0.0,1.0
31.0,add_rx,74.55847999270038,4.0,2.0,74.55847999270041,8.0,1.0,1.0,0.0,0.0
32.0,add_ry,74.56201048072332,4.0,2.0,74.55847999270041,8.0,0.0,2.0,0.0,0.0
33.0,add_rz,74.55458250243564,4.0,2.0,74.55847999270041,8.0,0.0,1.0,1.0,0.0
34.0,delete,74.5559015470189,4.0,2.0,74.55847999270041,8.0,0.0,0.0,0.0,0.0
35.0,swap_cx,74.58792312546211,4.0,2.0,74.55847999270041,7.0,0.0,1.0,0.0,1.0
36.0,swap_rx,74.54725958874872,4.0,2.0,74.55847999270041,7.0,1.0,1.0,0.0,0.0
37.0,swap_ry,74.6595793867483,4.0,2.0,74.55847999270041,7.0,0.0,2.0,0.0,0.0
38.0,swap_rz,74.5787286854495,4.0,2.0,74.55847999270041,7.0,0.0,1.0,1.0,0.0
39.0,add_cx,74.63416553902063,5.0,2.0,74.63416553902063,7.0,0.0,0.0,0.0,2.0
40.0,add_rx,74.63416553902063,5.0,2.0,74.63416553902063,7.0,1.0,0.0,0.0,1.0
41.0,add_ry,74.60739480866808,5.0,2.0,74.63416553902063,7.0,0.0,1.0,0.0,1.0
42.0,add_rz,74.57373968487373,5.0,2.0,74.63416553902063,7.0,0.0,0.0,1.0,1.0
43.0,delete,74.46841073917916,5.0,2.0,74.63416553902063,6.0,0.0,0.0,0.0,1.0
44.0,swap_cx,74.68227155592967,5.0,2.0,74.63416553902063,6.0,0.0,0.0,0.0,2.0
45.0,swap_rx,74.52605412102973,5.0,2.0,74.63416553902063,6.0,1.0,0.0,0.0,1.0
46.0,swap_ry,74.6079944871659,5.0,2.0,74.63416553902063,7.0,0.0,1.0,0.0,0.0
47.0,swap_rz,74.5222838429969,5.0,2.0,74.63416553902063,6.0,0.0,0.0,1.0,1.0
48.0,delete,74.63416553902063,6.0,1.0,74.59408144490142,7.0,0.0,0.0,0.0,0.0
49.0,delete,74.49605353349583,7.0,1.0,74.59772545345771,7.0,0.0,0.0,0.0,0.0
50.0,change_0,74.62234247519793,8.0,2.0,74.62234247519793,7.0,0.0,0.0,1.0,0.0
51.0,add_cx,74.66782217547767,8.0,2.0,74.62234247519793,7.0,0.0,0.0,1.0,1.0
52.0,add_rx,74.62234247519794,8.0,2.0,74.62234247519793,7.0,1.0,0.0,1.0,0.0
53.0,add_ry,74.60392097939231,8.0,2.0,74.62234247519793,7.0,0.0,1.0,1.0,0.0
54.0,add_rz,74.5770315764946,8.0,2.0,74.62234247519793,7.0,0.0,0.0,2.0,0.0
55.0,delete,74.44448781867584,8.0,2.0,74.62234247519793,6.0,0.0,0.0,1.0,0.0
56.0,swap_cx,74.53099402161115,8.0,2.0,74.62234247519793,6.0,0.0,0.0,1.0,1.0
57.0,swap_rx,74.64055343117819,8.0,2.0,74.62234247519793,6.0,1.0,0.0,1.0,0.0
58.0,swap_ry,74.52529618063879,8.0,2.0,74.62234247519793,7.0,0.0,1.0,0.0,0.0
59.0,swap_rz,74.62234247519794,8.0,2.0,74.62234247519793,7.0,0.0,0.0,1.0,0.0
60.0,add_cx,74.62517021102013,9.0,2.0,74.63416553902063,7.0,0.0,0.0,0.0,1.0
61.0,add_rx,74.53281208270894,9.0,2.0,74.63416553902063,7.0,1.0,0.0,0.0,0.0
62.0,add_ry,74.5881739306408,9.0,2.0,74.63416553902063,7.0,0.0,1.0,0.0,0.0
63.0,add_rz,74.60038864744267,9.0,2.0,74.63416553902063,7.0,0.0,0.0,1.0,0.0
64.0,delete,74.64840748163559,9.0,2.0,74.63416553902063,6.0,0.0,0.0,0.0,0.0
65.0,swap_cx,74.47738057790332,9.0,2.0,74.63416553902063,6.0,0.0,0.0,0.0,1.0
66.0,swap_rx,74.47853392684756,9.0,2.0,74.63416553902063,6.0,1.0,0.0,0.0,0.0
67.0,swap_ry,74.69962713686488,9.0,2.0,74.63416553902063,6.0,0.0,1.0,0.0,0.0
68.0,swap_rz,74.46841073917916,9.0,2.0,74.63416553902063,6.0,0.0,0.0,1.0,0.0
69.0,add_cx,74.5559015470189,10.0,2.0,74.5559015470189,8.0,0.0,0.0,0.0,2.0
70.0,add_rx,74.55590154701889,10.0,2.0,74.5559015470189,8.0,1.0,0.0,0.0,1.0
71.0,add_ry,74.63836609976049,10.0,2.0,74.5559015470189,8.0,0.0,1.0,0.0,1.0
72.0,add_rz,74.5517323556668,10.0,2.0,74.5559015470189,8.0,0.0,0.0,1.0,1.0
73.0,delete,74.53988496986284,10.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
74.0,swap_cx,74.62027420950717,10.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,2.0
75.0,swap_rx,74.49605353349578,10.0,2.0,74.5559015470189,7.0,1.0,0.0,0.0,1.0
76.0,swap_ry,74.54789700758502,10.0,2.0,74.5559015470189,7.0,0.0,1.0,0.0,1.0
77.0,swap_rz,74.55233380799903,10.0,2.0,74.5559015470189,7.0,0.0,0.0,1.0,1.0
78.0,change_6,74.55018831988814,11.0,2.0,74.55357733109038,7.0,1.0,0.0,0.0,0.0
79.0,add_cx,74.46975857101549,11.0,2.0,74.55357733109038,7.0,1.0,0.0,0.0,1.0
80.0,add_rx,74.55357733109038,11.0,2.0,74.55357733109038,7.0,2.0,0.0,0.0,0.0
81.0,add_ry,74.46905534033945,11.0,2.0,74.55357733109038,7.0,1.0,1.0,0.0,0.0
82.0,add_rz,74.546026260337,11.0,2.0,74.55357733109038,7.0,1.0,0.0,1.0,0.0
83.0,delete,74.7054752364351,11.0,2.0,74.55357733109038,6.0,1.0,0.0,0.0,0.0
84.0,swap_cx,74.70083377599892,11.0,2.0,74.55357733109038,6.0,1.0,0.0,0.0,1.0
85.0,swap_rx,74.70062324842787,11.0,2.0,74.55357733109038,6.0,2.0,0.0,0.0,0.0
86.0,swap_ry,74.68722592094258,11.0,2.0,74.55357733109038,6.0,1.0,1.0,0.0,0.0
87.0,swap_rz,74.70547523643508,11.0,2.0,74.55357733109038,6.0,1.0,0.0,1.0,0.0
88.0,add_cx,74.49605353349583,12.0,2.0,74.49605353349583,7.0,0.0,0.0,0.0,1.0
89.0,add_rx,74.49605353349584,12.0,2.0,74.49605353349583,7.0,1.0,0.0,0.0,0.0
90.0,add_ry,74.45907935097418,12.0,2.0,74.49605353349583,7.0,0.0,1.0,0.0,0.0
91.0,add_rz,74.4961463520325,12.0,2.0,74.49605353349583,7.0,0.0,0.0,1.0,0.0
92.0,delete,74.50231233450025,12.0,2.0,74.49605353349583,6.0,0.0,0.0,0.0,0.0
93.0,swap_cx,74.3901161812125,12.0,2.0,74.49605353349583,6.0,0.0,0.0,0.0,1.0
94.0,swap_rx,74.63238093635171,12.0,2.0,74.49605353349583,6.0,1.0,0.0,0.0,0.0
95.0,swap_ry,74.62369209367843,12.0,2.0,74.49605353349583,6.0,0.0,1.0,0.0,0.0
96.0,swap_rz,74.50231233450025,12.0,2.0,74.49605353349583,6.0,0.0,0.0,1.0,0.0
97.0,swap_ry,74.4863019898723,13.0,1.0,74.73867633642239,7.0,0.0,1.0,0.0,0.0
98.0,swap_ry,74.60472376603525,14.0,1.0,74.71764514087656,7.0,0.0,1.0,0.0,0.0
99.0,change_5,74.60354299058805,15.0,2.0,74.60472376603525,7.0,0.0,1.0,0.0,0.0
100.0,add_cx,74.51467209066705,15.0,2.0,74.60472376603525,7.0,0.0,1.0,0.0,1.0
101.0,add_rx,74.60472376603525,15.0,2.0,74.60472376603525,7.0,1.0,1.0,0.0,0.0
102.0,add_ry,74.54372336748916,15.0,2.0,74.60472376603525,7.0,0.0,2.0,0.0,0.0
103.0,add_rz,74.59586331204808,15.0,2.0,74.60472376603525,7.0,0.0,1.0,1.0,0.0
104.0,delete,74.47763369380361,15.0,2.0,74.60472376603525,6.0,0.0,1.0,0.0,0.0
105.0,swap_cx,74.67691957899561,15.0,2.0,74.60472376603525,6.0,0.0,1.0,0.0,1.0
106.0,swap_rx,74.54801862130158,15.0,2.0,74.60472376603525,6.0,1.0,1.0,0.0,0.0
107.0,swap_ry,74.60179044356903,15.0,2.0,74.60472376603525,6.0,0.0,2.0,0.0,0.0
108.0,swap_rz,74.68263813408227,15.0,2.0,74.60472376603525,6.0,0.0,1.0,1.0,0.0
109.0,change_8,74.55590154701893,16.0,2.0,74.55590154701888,8.0,1.0,0.0,0.0,0.0
110.0,add_cx,74.55590154701888,16.0,2.0,74.55590154701888,8.0,1.0,0.0,0.0,1.0
111.0,add_rx,74.55590154701888,16.0,2.0,74.55590154701888,8.0,2.0,0.0,0.0,0.0
112.0,add_ry,74.56041468251837,16.0,2.0,74.55590154701888,8.0,1.0,1.0,0.0,0.0
113.0,add_rz,74.55698294048813,16.0,2.0,74.55590154701888,8.0,1.0,0.0,1.0,0.0
114.0,delete,74.54076886114966,16.0,2.0,74.55590154701888,7.0,1.0,0.0,0.0,0.0
115.0,swap_cx,74.59694329090794,16.0,2.0,74.55590154701888,7.0,1.0,0.0,0.0,1.0
116.0,swap_rx,74.56693597911747,16.0,2.0,74.55590154701888,7.0,2.0,0.0,0.0,0.0
117.0,swap_ry,74.67823764707686,16.0,2.0,74.55590154701888,7.0,1.0,1.0,0.0,0.0
118.0,swap_rz,74.53826581988271,16.0,2.0,74.55590154701888,7.0,1.0,0.0,1.0,0.0
119.0,swap_rx,74.62169607959171,17.0,1.0,74.6038015065455,7.0,1.0,0.0,0.0,0.0
120.0,swap_cx,74.49605353349583,18.0,1.0,74.58906458569051,7.0,0.0,0.0,0.0,1.0
121.0,swap_rx,74.55316758757426,19.0,1.0,74.60529272096602,7.0,1.0,0.0,0.0,0.0
122.0,swap_rz,74.55255917414242,20.0,1.0,74.58904328038729,7.0,0.0,0.0,1.0,0.0
123.0,change_0,74.62163204539252,21.0,2.0,74.62169607959171,7.0,1.0,0.0,0.0,0.0
124.0,add_cx,74.62169607959171,21.0,2.0,74.62169607959171,7.0,1.0,0.0,0.0,1.0
125.0,add_rx,74.62169607959173,21.0,2.0,74.62169607959171,7.0,2.0,0.0,0.0,0.0
126.0,add_ry,74.57652169752582,21.0,2.0,74.62169607959171,7.0,1.0,1.0,0.0,0.0
127.0,add_rz,74.65335583261749,21.0,2.0,74.62169607959171,7.0,1.0,0.0,1.0,0.0
128.0,delete,74.62234247519794,21.0,2.0,74.62169607959171,7.0,0.0,0.0,0.0,0.0
129.0,swap_cx,74.52624026971401,21.0,2.0,74.62169607959171,6.0,1.0,0.0,0.0,1.0
130.0,swap_rx,74.49622085597397,21.0,2.0,74.62169607959171,6.0,2.0,0.0,0.0,0.0
131.0,swap_ry,74.68312538456777,21.0,2.0,74.62169607959171,6.0,1.0,1.0,0.0,0.0
132.0,swap_rz,74.62234247519793,21.0,2.0,74.62169607959171,7.0,0.0,0.0,1.0,0.0
133.0,add_cx,74.62957695511301,22.0,3.0,74.62861363892578,6.0,0.0,0.0,0.0,1.0
134.0,add_rx,74.62861363892577,22.0,3.0,74.62861363892578,6.0,1.0,0.0,0.0,0.0
135.0,add_ry,74.6327963081588,22.0,3.0,74.62861363892578,6.0,0.0,1.0,0.0,0.0
136.0,add_rz,74.62861363892577,22.0,3.0,74.62861363892578,6.0,0.0,0.0,1.0,0.0
137.0,delete,74.57731261942514,22.0,3.0,74.62861363892578,5.0,0.0,0.0,0.0,0.0
138.0,swap_cx,74.60037381589375,22.0,3.0,74.62861363892578,5.0,0.0,0.0,0.0,1.0
139.0,swap_rx,74.6351657009282,22.0,3.0,74.62861363892578,5.0,1.0,0.0,0.0,0.0
140.0,swap_ry,74.71107502494093,22.0,3.0,74.62861363892578,5.0,0.0,1.0,0.0,0.0
141.0,swap_rz,74.58575146161992,22.0,3.0,74.62861363892578,5.0,0.0,0.0,1.0,0.0
142.0,swap_cx,74.62027420950717,23.0,1.0,74.58060903549098,7.0,0.0,0.0,0.0,1.0
143.0,change_6,74.50849134774022,24.0,2.0,74.4863019898723,7.0,0.0,1.0,0.0,0.0
144.0,add_cx,74.4863019898723,24.0,2.0,74.4863019898723,7.0,0.0,1.0,0.0,1.0
145.0,add_rx,74.4863019898723,24.0,2.0,74.4863019898723,7.0,1.0,1.0,0.0,0.0
146.0,add_ry,74.63641296291136,24.0,2.0,74.4863019898723,7.0,0.0,2.0,0.0,0.0
147.0,add_rz,74.48630198987232,24.0,2.0,74.4863019898723,7.0,0.0,1.0,1.0,0.0
148.0,delete,74.62364936730525,24.0,2.0,74.4863019898723,6.0,0.0,1.0,0.0,0.0
149.0,swap_cx,74.6366775916479,24.0,2.0,74.4863019898723,6.0,0.0,1.0,0.0,1.0
150.0,swap_rx,74.71301956891874,24.0,2.0,74.4863019898723,6.0,1.0,1.0,0.0,0.0
151.0,swap_ry,74.64290834703813,24.0,2.0,74.4863019898723,6.0,0.0,2.0,0.0,0.0
152.0,swap_rz,74.40643034332042,24.0,2.0,74.4863019898723,6.0,0.0,1.0,1.0,0.0
153.0,change_8,74.48493571585595,25.0,2.0,74.4870273220884,8.0,0.0,0.0,1.0,0.0
154.0,add_cx,74.4870273220884,25.0,2.0,74.4870273220884,8.0,0.0,0.0,1.0,1.0
155.0,add_rx,74.48702732208842,25.0,2.0,74.4870273220884,8.0,1.0,0.0,1.0,0.0
156.0,add_ry,74.44938116498193,25.0,2.0,74.4870273220884,8.0,0.0,1.0,1.0,0.0
157.0,add_rz,74.50158236068287,25.0,2.0,74.4870273220884,8.0,0.0,0.0,2.0,0.0
158.0,delete,74.5076212797569,25.0,2.0,74.4870273220884,7.0,0.0,0.0,1.0,0.0
159.0,swap_cx,74.5559015470189,25.0,2.0,74.4870273220884,8.0,0.0,0.0,0.0,1.0
160.0,swap_rx,74.49605353349583,25.0,2.0,74.4870273220884,7.0,1.0,0.0,1.0,0.0
161.0,swap_ry,74.3967216688244,25.0,2.0,74.4870273220884,7.0,0.0,1.0,1.0,0.0
162.0,swap_rz,74.56228902148247,25.0,2.0,74.4870273220884,7.0,0.0,0.0,2.0,0.0
163.0,delete,74.54076886114966,26.0,1.0,74.57480420692171,7.0,0.0,0.0,0.0,0.0
164.0,add_cx,74.54076886114966,27.0,2.0,74.54076886114966,7.0,0.0,0.0,0.0,1.0
165.0,add_rx,74.54076886114966,27.0,2.0,74.54076886114966,7.0,1.0,0.0,0.0,0.0
166.0,add_ry,74.63267376521362,27.0,2.0,74.54076886114966,7.0,0.0,1.0,0.0,0.0
167.0,add_rz,74.53755098787965,27.0,2.0,74.54076886114966,7.0,0.0,0.0,1.0,0.0
168.0,delete,74.38736636893553,27.0,2.0,74.54076886114966,6.0,0.0,0.0,0.0,0.0
169.0,swap_cx,74.39587923432667,27.0,2.0,74.54076886114966,6.0,0.0,0.0,0.0,1.0
170.0,swap_rx,74.67060746527072,27.0,2.0,74.54076886114966,6.0,1.0,0.0,0.0,0.0
171.0,swap_ry,74.66985671170386,27.0,2.0,74.54076886114966,6.0,0.0,1.0,0.0,0.0
172.0,swap_rz,74.41788873248653,27.0,2.0,74.54076886114966,6.0,0.0,0.0,1.0,0.0
173.0,swap_rz,74.54076886114967,28.0,1.0,74.58600293820022,7.0,0.0,0.0,1.0,0.0
174.0,add_cx,74.62027420950717,29.0,2.0,74.62027420950717,7.0,0.0,0.0,0.0,2.0
175.0,add_rx,74.62027420950716,29.0,2.0,74.62027420950717,7.0,1.0,0.0,0.0,1.0
176.0,add_ry,74.69537627317918,29.0,2.0,74.62027420950717,7.0,0.0,1.0,0.0,1.0
177.0,add_rz,74.65831416783394,29.0,2.0,74.62027420950717,7.0,0.0,0.0,1.0,1.0
178.0,delete,74.52482483630274,29.0,2.0,74.62027420950717,6.0,0.0,0.0,0.0,1.0
179.0,swap_cx,74.72879610243093,29.0,2.0,74.62027420950717,6.0,0.0,0.0,0.0,2.0
180.0,swap_rx,74.67691179517192,29.0,2.0,74.62027420950717,6.0,1.0,0.0,0.0,1.0
181.0,swap_ry,74.64725225870926,29.0,2.0,74.62027420950717,6.0,0.0,1.0,0.0,1.0
182.0,swap_rz,74.52482483630271,29.0,2.0,74.62027420950717,6.0,0.0,0.0,1.0,1.0
183.0,change_7,74.55233171647372,30.0,2.0,74.55255917414242,7.0,0.0,0.0,1.0,0.0
184.0,add_cx,74.54419497136864,30.0,2.0,74.55255917414242,7.0,0.0,0.0,1.0,1.0
185.0,add_rx,74.55389199121876,30.0,2.0,74.55255917414242,7.0,1.0,0.0,1.0,0.0
186.0,add_ry,74.53280609101328,30.0,2.0,74.55255917414242,7.0,0.0,1.0,1.0,0.0
