budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add_cx,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,add_rx,5.808421654950914,1.0,1.0,5.808421654950915,10.0,1.0,0.0,0.0,0.0
3.0,add_ry,5.770392457808821,1.0,1.0,5.808421654950915,10.0,0.0,1.0,0.0,0.0
4.0,add_rz,5.804335847335019,1.0,1.0,5.808421654950915,10.0,0.0,0.0,1.0,0.0
5.0,delete,6.213703418118816,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
6.0,swap_cx,6.198463037155183,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,1.0
7.0,swap_rx,5.5139575260733995,1.0,1.0,5.808421654950915,9.0,1.0,0.0,0.0,0.0
8.0,swap_ry,5.856783689237294,1.0,1.0,5.808421654950915,9.0,0.0,1.0,0.0,0.0
9.0,swap_rz,6.229370100288379,1.0,1.0,5.808421654950915,9.0,0.0,0.0,1.0,0.0
10.0,add_cx,6.213703418118816,2.0,2.0,6.213703418118816,9.0,0.0,0.0,0.0,1.0
11.0,add_rx,6.213703418118817,2.0,2.0,6.213703418118816,9.0,1.0,0.0,0.0,0.0
12.0,add_ry,6.209110678894327,2.0,2.0,6.213703418118816,9.0,0.0,1.0,0.0,0.0
13.0,add_rz,6.213703418118811,2.0,2.0,6.213703418118816,9.0,0.0,0.0,1.0,0.0
14.0,delete,6.718667277770719,2.0,2.0,6.213703418118816,8.0,0.0,0.0,0.0,0.0
15.0,swap_cx,6.515004926055919,2.0,2.0,6.213703418118816,8.0,0.0,0.0,0.0,1.0
16.0,swap_rx,5.965082063929247,2.0,2.0,6.213703418118816,8.0,1.0,0.0,0.0,0.0
17.0,swap_ry,6.540926320220738,2.0,2.0,6.213703418118816,8.0,0.0,1.0,0.0,0.0
18.0,swap_rz,6.565356507691618,2.0,2.0,6.213703418118816,8.0,0.0,0.0,1.0,0.0
