budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,stop,0.04207897977473338,1.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
2.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
3.0,add_rx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
4.0,add_ry,0.1733699331410703,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
5.0,add_rz,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
6.0,delete,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
7.0,swap_cx,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
8.0,swap_rx,0.2848217821726908,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
9.0,swap_ry,-0.07968554037836245,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
10.0,swap_rz,-0.1356338958698004,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
11.0,stop,0.28482178217269094,2.0,1.0,0.28482178217269094,3.0,0.0,0.0,0.0,0.0
12.0,add_cx,0.28482178217269094,2.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
13.0,add_rx,0.22409717056212364,2.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
14.0,add_ry,0.21842811460772327,2.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
15.0,add_rz,0.28482178217269083,2.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
16.0,delete,-0.060574287960367845,2.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
17.0,swap_cx,0.3512881771660213,2.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,1.0
18.0,swap_rx,-0.015824144146880936,2.0,2.0,0.28482178217269094,2.0,1.0,0.0,0.0,0.0
19.0,swap_ry,-0.2027444111748809,2.0,2.0,0.28482178217269094,2.0,0.0,1.0,0.0,0.0
20.0,swap_rz,-0.01582414414688095,2.0,2.0,0.28482178217269094,2.0,0.0,0.0,1.0,0.0
20.0,stop,0.04207897977473338,3.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
20.0,stop,0.04207897977473338,4.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
20.0,stop,0.04207897977473338,5.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
21.0,change_4,0.18503330613225621,6.0,2.0,0.1733699331410703,4.0,0.0,1.0,0.0,0.0
22.0,stop,0.1733699331410703,6.0,1.0,0.1733699331410703,4.0,0.0,1.0,0.0,0.0
23.0,add_cx,0.1733699331410703,6.0,2.0,0.1733699331410703,4.0,0.0,1.0,0.0,1.0
24.0,add_rx,0.17336993314107027,6.0,2.0,0.1733699331410703,4.0,1.0,1.0,0.0,0.0
25.0,add_ry,0.22405835977487962,6.0,2.0,0.1733699331410703,4.0,0.0,2.0,0.0,0.0
26.0,add_rz,0.17336993314107027,6.0,2.0,0.1733699331410703,4.0,0.0,1.0,1.0,0.0
27.0,delete,0.12169121840951774,6.0,2.0,0.1733699331410703,3.0,0.0,1.0,0.0,0.0
28.0,swap_cx,0.5399939477925896,6.0,2.0,0.1733699331410703,3.0,0.0,1.0,0.0,1.0
29.0,swap_rx,0.5069333773457678,6.0,2.0,0.1733699331410703,3.0,1.0,1.0,0.0,0.0
30.0,swap_ry,-0.1420703985459164,6.0,2.0,0.1733699331410703,3.0,0.0,2.0,0.0,0.0
31.0,swap_rz,0.042078979774733405,6.0,2.0,0.1733699331410703,4.0,0.0,0.0,1.0,0.0
31.0,stop,0.04207897977473338,7.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
31.0,stop,0.04207897977473338,8.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
32.0,delete,0.2848217821726909,9.0,1.0,0.14892123669069285,3.0,0.0,0.0,0.0,0.0
33.0,delete,-0.13563389586980043,10.0,1.0,0.160246282147526,3.0,0.0,0.0,0.0,0.0
34.0,change_2,0.28482178217269083,11.0,2.0,0.2848217821726908,3.0,1.0,0.0,0.0,0.0
35.0,stop,0.2848217821726908,11.0,1.0,0.2848217821726908,3.0,1.0,0.0,0.0,0.0
36.0,add_cx,0.2848217821726908,11.0,2.0,0.2848217821726908,3.0,1.0,0.0,0.0,1.0
37.0,add_rx,0.28482178217269083,11.0,2.0,0.2848217821726908,3.0,2.0,0.0,0.0,0.0
38.0,add_ry,0.13781679526062737,11.0,2.0,0.2848217821726908,3.0,1.0,1.0,0.0,0.0
39.0,add_rz,0.2848217821726907,11.0,2.0,0.2848217821726908,3.0,1.0,0.0,1.0,0.0
40.0,delete,0.22279684165665378,11.0,2.0,0.2848217821726908,2.0,1.0,0.0,0.0,0.0
41.0,swap_cx,0.11422439833927707,11.0,2.0,0.2848217821726908,2.0,1.0,0.0,0.0,1.0
42.0,swap_rx,0.22030331110217594,11.0,2.0,0.2848217821726908,2.0,2.0,0.0,0.0,0.0
43.0,swap_ry,-0.058469300444701604,11.0,2.0,0.2848217821726908,3.0,0.0,1.0,0.0,0.0
44.0,swap_rz,-0.015824144146881006,11.0,2.0,0.2848217821726908,2.0,1.0,0.0,1.0,0.0
45.0,stop,0.04207897977473338,12.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
46.0,add_cx,0.04207897977473338,12.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,2.0
47.0,add_rx,0.04207897977473339,12.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
48.0,add_ry,-0.06943819503752463,12.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
49.0,add_rz,0.042078979774733405,12.0,2.0,0.04207897977473338,4.0,0.0,0.0,1.0,1.0
50.0,delete,0.04207897977473338,12.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
51.0,swap_cx,0.04207897977473338,12.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
52.0,swap_rx,0.13523556779312185,12.0,2.0,0.04207897977473338,3.0,1.0,0.0,0.0,1.0
53.0,swap_ry,0.08116267872751157,12.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
54.0,swap_rz,-0.1789475714433806,12.0,2.0,0.04207897977473338,3.0,0.0,0.0,1.0,1.0
54.0,stop,0.04207897977473338,13.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
55.0,stop,0.2848217821726909,14.0,1.0,0.2848217821726909,3.0,0.0,0.0,0.0,0.0
56.0,add_cx,0.2848217821726909,14.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
57.0,add_rx,0.2848217821726909,14.0,2.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
58.0,add_ry,0.21889211831454253,14.0,2.0,0.2848217821726909,3.0,0.0,1.0,0.0,0.0
59.0,add_rz,0.2848217821726909,14.0,2.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
60.0,delete,-0.015824144146880936,14.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
61.0,swap_cx,-0.015824144146880964,14.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,1.0
62.0,swap_rx,-0.19500808911973316,14.0,2.0,0.2848217821726909,2.0,1.0,0.0,0.0,0.0
63.0,swap_ry,0.06164737713558453,14.0,2.0,0.2848217821726909,2.0,0.0,1.0,0.0,0.0
64.0,swap_rz,0.35128817716602123,14.0,2.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
64.0,stop,0.04207897977473338,15.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
65.0,change_1,-0.07654112659318887,16.0,2.0,-0.07968554037836245,3.0,0.0,1.0,0.0,0.0
