budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,stop,74.5559015470189,1.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
2.0,add_cx,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
3.0,add_rx,74.5559015470189,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
4.0,add_ry,74.60547258810948,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
5.0,add_rz,74.55014141433242,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
6.0,delete,74.54076886114966,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
7.0,swap_cx,74.52178008460842,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
8.0,swap_rx,74.63416553902061,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
9.0,swap_ry,74.58077806458314,1.0,1.0,74.5559015470189,7.0,0.0,1.0,0.0,0.0
10.0,swap_rz,74.63334209441884,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
10.0,stop,74.5559015470189,2.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
11.0,stop,74.54076886114966,3.0,1.0,74.54076886114966,7.0,0.0,0.0,0.0,0.0
12.0,add_cx,74.51003434388922,3.0,2.0,74.54076886114966,7.0,0.0,0.0,0.0,1.0
13.0,add_rx,74.5564185078885,3.0,2.0,74.54076886114966,7.0,1.0,0.0,0.0,0.0
14.0,add_ry,74.64947925314812,3.0,2.0,74.54076886114966,7.0,0.0,1.0,0.0,0.0
15.0,add_rz,74.51770858261291,3.0,2.0,74.54076886114966,7.0,0.0,0.0,1.0,0.0
16.0,delete,74.68121064875236,3.0,2.0,74.54076886114966,6.0,0.0,0.0,0.0,0.0
17.0,swap_cx,74.6710095571614,3.0,2.0,74.54076886114966,6.0,0.0,0.0,0.0,1.0
18.0,swap_rx,74.65282978729405,3.0,2.0,74.54076886114966,6.0,1.0,0.0,0.0,0.0
19.0,swap_ry,74.43541861367122,3.0,2.0,74.54076886114966,6.0,0.0,1.0,0.0,0.0
20.0,swap_rz,74.69064450339273,3.0,2.0,74.54076886114966,6.0,0.0,0.0,1.0,0.0
20.0,stop,74.5559015470189,4.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
20.0,stop,74.5559015470189,5.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
21.0,change_2,74.63416553902063,6.0,2.0,74.63416553902061,7.0,1.0,0.0,0.0,0.0
22.0,stop,74.63416553902061,6.0,1.0,74.63416553902061,7.0,1.0,0.0,0.0,0.0
23.0,add_cx,74.63416553902061,6.0,2.0,74.63416553902061,7.0,1.0,0.0,0.0,1.0
24.0,add_rx,74.63416553902061,6.0,2.0,74.63416553902061,7.0,2.0,0.0,0.0,0.0
25.0,add_ry,74.62042118541504,6.0,2.0,74.63416553902061,7.0,1.0,1.0,0.0,0.0
26.0,add_rz,74.6279632927167,6.0,2.0,74.63416553902061,7.0,1.0,0.0,1.0,0.0
27.0,delete,74.71381164012077,6.0,2.0,74.63416553902061,6.0,1.0,0.0,0.0,0.0
28.0,swap_cx,74.46841073917915,6.0,2.0,74.63416553902061,6.0,1.0,0.0,0.0,1.0
29.0,swap_rx,74.65132182793417,6.0,2.0,74.63416553902061,6.0,2.0,0.0,0.0,0.0
30.0,swap_ry,74.6742446090879,6.0,2.0,74.63416553902061,6.0,1.0,1.0,0.0,0.0
31.0,swap_rz,74.68121064875233,6.0,2.0,74.63416553902061,6.0,1.0,0.0,1.0,0.0
32.0,change_8,74.60099822661203,7.0,2.0,74.60547258810948,8.0,0.0,1.0,0.0,0.0
33.0,stop,74.60547258810948,7.0,1.0,74.60547258810948,8.0,0.0,1.0,0.0,0.0
34.0,add_cx,74.60547258810948,7.0,2.0,74.60547258810948,8.0,0.0,1.0,0.0,1.0
35.0,add_rx,74.60547258810946,7.0,2.0,74.60547258810948,8.0,1.0,1.0,0.0,0.0
36.0,add_ry,74.59563497693772,7.0,2.0,74.60547258810948,8.0,0.0,2.0,0.0,0.0
37.0,add_rz,74.60667571704663,7.0,2.0,74.60547258810948,8.0,0.0,1.0,1.0,0.0
38.0,delete,74.60113633493084,7.0,2.0,74.60547258810948,7.0,0.0,1.0,0.0,0.0
39.0,swap_cx,74.60142994244669,7.0,2.0,74.60547258810948,7.0,0.0,1.0,0.0,1.0
40.0,swap_rx,74.63034126293853,7.0,2.0,74.60547258810948,7.0,1.0,1.0,0.0,0.0
41.0,swap_ry,74.61245528983264,7.0,2.0,74.60547258810948,7.0,0.0,2.0,0.0,0.0
42.0,swap_rz,74.64263162021258,7.0,2.0,74.60547258810948,7.0,0.0,1.0,1.0,0.0
42.0,stop,74.5559015470189,8.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
42.0,stop,74.5559015470189,9.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
42.0,stop,74.5559015470189,10.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
42.0,stop,74.5559015470189,11.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
42.0,stop,74.5559015470189,12.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
43.0,change_2,74.63339203029568,13.0,2.0,74.63334209441884,7.0,0.0,0.0,1.0,0.0
44.0,stop,74.63334209441884,13.0,1.0,74.63334209441884,7.0,0.0,0.0,1.0,0.0
45.0,add_cx,74.62553559242582,13.0,2.0,74.63334209441884,7.0,0.0,0.0,1.0,1.0
46.0,add_rx,74.63334209441884,13.0,2.0,74.63334209441884,7.0,1.0,0.0,1.0,0.0
47.0,add_ry,74.70359476987859,13.0,2.0,74.63334209441884,7.0,0.0,1.0,1.0,0.0
48.0,add_rz,74.63947737912366,13.0,2.0,74.63334209441884,7.0,0.0,0.0,2.0,0.0
49.0,delete,74.67747691889642,13.0,2.0,74.63334209441884,6.0,0.0,0.0,1.0,0.0
50.0,swap_cx,74.46974925569673,13.0,2.0,74.63334209441884,6.0,0.0,0.0,1.0,1.0
51.0,swap_rx,74.61713846923028,13.0,2.0,74.63334209441884,7.0,1.0,0.0,0.0,0.0
52.0,swap_ry,74.66148915150166,13.0,2.0,74.63334209441884,6.0,0.0,1.0,1.0,0.0
53.0,swap_rz,74.67747691889642,13.0,2.0,74.63334209441884,6.0,0.0,0.0,2.0,0.0
54.0,delete,74.55316758757426,14.0,1.0,74.58602650182816,7.0,0.0,0.0,0.0,0.0
54.0,stop,74.5559015470189,15.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
55.0,delete,74.57922355224049,16.0,1.0,74.58328825897367,7.0,0.0,0.0,0.0,0.0
55.0,stop,74.5559015470189,17.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
56.0,stop,74.57922355224049,18.0,1.0,74.57922355224049,7.0,0.0,0.0,0.0,0.0
57.0,add_cx,74.57013063324993,18.0,2.0,74.57922355224049,7.0,0.0,0.0,0.0,1.0
58.0,add_rx,74.5792235522405,18.0,2.0,74.57922355224049,7.0,1.0,0.0,0.0,0.0
59.0,add_ry,74.49865091785385,18.0,2.0,74.57922355224049,7.0,0.0,1.0,0.0,0.0
60.0,add_rz,74.57021106917598,18.0,2.0,74.57922355224049,7.0,0.0,0.0,1.0,0.0
61.0,delete,74.44448781867587,18.0,2.0,74.57922355224049,6.0,0.0,0.0,0.0,0.0
62.0,swap_cx,74.6665461773381,18.0,2.0,74.57922355224049,6.0,0.0,0.0,0.0,1.0
63.0,swap_rx,74.62861363892577,18.0,2.0,74.57922355224049,6.0,1.0,0.0,0.0,0.0
64.0,swap_ry,74.35825097522776,18.0,2.0,74.57922355224049,6.0,0.0,1.0,0.0,0.0
65.0,swap_rz,74.63342952765265,18.0,2.0,74.57922355224049,6.0,0.0,0.0,1.0,0.0
66.0,stop,74.5559015470189,19.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
