budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,stop,5.808421654950915,1.0,0.0,5.808421654950915,10.0,0.0,0.0,0.0,0.0
2.0,add_cx,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
3.0,add_rx,5.808421654950915,1.0,1.0,5.808421654950915,10.0,1.0,0.0,0.0,0.0
4.0,add_ry,5.859542086800554,1.0,1.0,5.808421654950915,10.0,0.0,1.0,0.0,0.0
5.0,add_rz,5.805252027315936,1.0,1.0,5.808421654950915,10.0,0.0,0.0,1.0,0.0
6.0,delete,6.213703418118816,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
7.0,swap_cx,6.1824721453961455,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,1.0
8.0,swap_rx,6.22937010028838,1.0,1.0,5.808421654950915,9.0,1.0,0.0,0.0,0.0
9.0,swap_ry,5.504585466782202,1.0,1.0,5.808421654950915,9.0,0.0,1.0,0.0,0.0
10.0,swap_rz,6.384026489467956,1.0,1.0,5.808421654950915,9.0,0.0,0.0,1.0,0.0
11.0,stop,6.213703418118816,2.0,1.0,6.213703418118816,9.0,0.0,0.0,0.0,0.0
12.0,add_cx,6.213703418118816,2.0,2.0,6.213703418118816,9.0,0.0,0.0,0.0,1.0
13.0,add_rx,6.213703418118817,2.0,2.0,6.213703418118816,9.0,1.0,0.0,0.0,0.0
14.0,add_ry,6.3953299089136895,2.0,2.0,6.213703418118816,9.0,0.0,1.0,0.0,0.0
15.0,add_rz,6.213703418118812,2.0,2.0,6.213703418118816,9.0,0.0,0.0,1.0,0.0
16.0,delete,6.515004926055918,2.0,2.0,6.213703418118816,8.0,0.0,0.0,0.0,0.0
17.0,swap_cx,6.718667277770719,2.0,2.0,6.213703418118816,8.0,0.0,0.0,0.0,1.0
18.0,swap_rx,6.565356507691618,2.0,2.0,6.213703418118816,8.0,1.0,0.0,0.0,0.0
19.0,swap_ry,6.290746926762134,2.0,2.0,6.213703418118816,8.0,0.0,1.0,0.0,0.0
20.0,swap_rz,6.565356507691617,2.0,2.0,6.213703418118816,8.0,0.0,0.0,1.0,0.0
21.0,delete,6.229370100288379,3.0,1.0,6.37445264958907,9.0,0.0,0.0,0.0,0.0
22.0,delete,6.3840264894679555,4.0,1.0,6.362362437147346,9.0,0.0,0.0,0.0,0.0
23.0,stop,6.3840264894679555,5.0,1.0,6.3840264894679555,9.0,0.0,0.0,0.0,0.0
24.0,add_cx,6.3840264894679555,5.0,2.0,6.3840264894679555,9.0,0.0,0.0,0.0,1.0
25.0,add_rx,6.3840264894679555,5.0,2.0,6.3840264894679555,9.0,1.0,0.0,0.0,0.0
26.0,add_ry,6.701912474993803,5.0,2.0,6.3840264894679555,9.0,0.0,1.0,0.0,0.0
27.0,add_rz,6.384026489467948,5.0,2.0,6.3840264894679555,9.0,0.0,0.0,1.0,0.0
28.0,delete,6.737666730415292,5.0,2.0,6.3840264894679555,8.0,0.0,0.0,0.0,0.0
29.0,swap_cx,6.742667735615489,5.0,2.0,6.3840264894679555,8.0,0.0,0.0,0.0,1.0
30.0,swap_rx,6.837911567389752,5.0,2.0,6.3840264894679555,8.0,1.0,0.0,0.0,0.0
31.0,swap_ry,6.679333086632504,5.0,2.0,6.3840264894679555,8.0,0.0,1.0,0.0,0.0
32.0,swap_rz,6.718667277770719,5.0,2.0,6.3840264894679555,8.0,0.0,0.0,1.0,0.0
33.0,stop,6.229370100288379,6.0,1.0,6.229370100288379,9.0,0.0,0.0,0.0,0.0
34.0,add_cx,6.229370100288379,6.0,2.0,6.229370100288379,9.0,0.0,0.0,0.0,1.0
35.0,add_rx,5.631337294658829,6.0,2.0,6.229370100288379,9.0,1.0,0.0,0.0,0.0
36.0,add_ry,5.413109503625103,6.0,2.0,6.229370100288379,9.0,0.0,1.0,0.0,0.0
37.0,add_rz,6.230469792023101,6.0,2.0,6.229370100288379,9.0,0.0,0.0,1.0,0.0
38.0,delete,6.5804560093213205,6.0,2.0,6.229370100288379,8.0,0.0,0.0,0.0,0.0
39.0,swap_cx,6.584693703708729,6.0,2.0,6.229370100288379,8.0,0.0,0.0,0.0,1.0
40.0,swap_rx,6.005565405062777,6.0,2.0,6.229370100288379,8.0,1.0,0.0,0.0,0.0
41.0,swap_ry,6.644986023506066,6.0,2.0,6.229370100288379,8.0,0.0,1.0,0.0,0.0
42.0,swap_rz,6.742667735615496,6.0,2.0,6.229370100288379,8.0,0.0,0.0,1.0,0.0
42.0,stop,5.808421654950915,7.0,0.0,5.808421654950915,10.0,0.0,0.0,0.0,0.0
43.0,stop,6.737666730415292,8.0,2.0,6.737666730415292,8.0,0.0,0.0,0.0,0.0
44.0,add_cx,6.737666730415292,8.0,3.0,6.737666730415292,8.0,0.0,0.0,0.0,1.0
45.0,add_rx,6.510269227192278,8.0,3.0,6.737666730415292,8.0,1.0,0.0,0.0,0.0
46.0,add_ry,7.025668758730076,8.0,3.0,6.737666730415292,8.0,0.0,1.0,0.0,0.0
47.0,add_rz,6.737666730415292,8.0,3.0,6.737666730415292,8.0,0.0,0.0,1.0,0.0
48.0,delete,7.0227782072896465,8.0,3.0,6.737666730415292,7.0,0.0,0.0,0.0,0.0
49.0,swap_cx,7.018111664583134,8.0,3.0,6.737666730415292,7.0,0.0,0.0,0.0,1.0
