budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
2.0,add_rx,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
3.0,add_ry,0.1334157635189715,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
4.0,add_rz,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
5.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
6.0,swap,-0.1356338958698004,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
7.0,add_cx,-0.13563389586980037,2.0,2.0,-0.13563389586980037,3.0,0.0,0.0,0.0,1.0
8.0,add_rx,-0.13563389586980037,2.0,2.0,-0.13563389586980037,3.0,1.0,0.0,0.0,0.0
9.0,add_ry,-0.21065670254286484,2.0,2.0,-0.13563389586980037,3.0,0.0,1.0,0.0,0.0
10.0,add_rz,-0.13563389586980035,2.0,2.0,-0.13563389586980037,3.0,0.0,0.0,1.0,0.0
11.0,delete,-0.48394415534774804,2.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,0.0
12.0,swap,-0.06057428796036797,2.0,2.0,-0.13563389586980037,2.0,1.0,0.0,0.0,0.0
13.0,swap,-0.13563389586980043,3.0,2.0,-0.1356338958698004,3.0,1.0,0.0,0.0,0.0
14.0,add_cx,-0.1356338958698004,3.0,2.0,-0.1356338958698004,3.0,1.0,0.0,0.0,1.0
15.0,add_rx,-0.13563389586980035,3.0,2.0,-0.1356338958698004,3.0,2.0,0.0,0.0,0.0
16.0,add_ry,-0.20997271704161186,3.0,2.0,-0.1356338958698004,3.0,1.0,1.0,0.0,0.0
17.0,add_rz,-0.1356338958698004,3.0,2.0,-0.1356338958698004,3.0,1.0,0.0,1.0,0.0
18.0,delete,-0.48394415534774826,3.0,2.0,-0.1356338958698004,2.0,1.0,0.0,0.0,0.0
19.0,swap,-0.13563389586980037,3.0,2.0,-0.1356338958698004,3.0,0.0,0.0,0.0,1.0
20.0,add_ry,0.09590860167942192,4.0,2.0,0.1334157635189715,4.0,0.0,1.0,0.0,0.0
21.0,add_cx,0.1334157635189715,4.0,2.0,0.1334157635189715,4.0,0.0,1.0,0.0,1.0
22.0,add_rx,0.13341576351897155,4.0,2.0,0.1334157635189715,4.0,1.0,1.0,0.0,0.0
23.0,add_ry,0.17321128323557353,4.0,2.0,0.1334157635189715,4.0,0.0,2.0,0.0,0.0
24.0,add_rz,0.13341576351897153,4.0,2.0,0.1334157635189715,4.0,0.0,1.0,1.0,0.0
25.0,delete,0.04338261450095686,4.0,2.0,0.1334157635189715,3.0,0.0,1.0,0.0,0.0
26.0,swap,-0.11036595489056736,4.0,2.0,0.1334157635189715,3.0,0.0,1.0,1.0,0.0
27.0,add_cx,0.04207897977473338,5.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,2.0
28.0,add_rx,0.042078979774733405,5.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
29.0,add_ry,-0.0510114893961416,5.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
30.0,add_rz,0.04207897977473343,5.0,2.0,0.04207897977473338,4.0,0.0,0.0,1.0,1.0
31.0,delete,0.2848217821726909,5.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
32.0,swap,-0.08085407090030464,5.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,2.0
33.0,add_rx,0.04207897977473336,6.0,2.0,0.04207897977473339,4.0,1.0,0.0,0.0,0.0
34.0,add_cx,0.04207897977473339,6.0,2.0,0.04207897977473339,4.0,1.0,0.0,0.0,1.0
35.0,add_rx,0.04207897977473343,6.0,2.0,0.04207897977473339,4.0,2.0,0.0,0.0,0.0
36.0,add_ry,-0.12188897603880795,6.0,2.0,0.04207897977473339,4.0,1.0,1.0,0.0,0.0
37.0,add_rz,0.04207897977473338,6.0,2.0,0.04207897977473339,4.0,1.0,0.0,1.0,0.0
38.0,delete,-0.13563389586980043,6.0,2.0,0.04207897977473339,3.0,1.0,0.0,0.0,0.0
39.0,swap,-0.006581473483211739,6.0,2.0,0.04207897977473339,3.0,1.0,1.0,0.0,0.0
40.0,add_rz,0.04207897977473342,7.0,2.0,0.04207897977473342,4.0,0.0,0.0,1.0,0.0
41.0,add_cx,0.04207897977473338,7.0,2.0,0.04207897977473342,4.0,0.0,0.0,1.0,1.0
42.0,add_rx,0.04207897977473342,7.0,2.0,0.04207897977473342,4.0,1.0,0.0,1.0,0.0
43.0,add_ry,-0.1202690798710858,7.0,2.0,0.04207897977473342,4.0,0.0,1.0,1.0,0.0
44.0,add_rz,0.04207897977473339,7.0,2.0,0.04207897977473342,4.0,0.0,0.0,2.0,0.0
45.0,delete,0.04207897977473338,7.0,2.0,0.04207897977473342,4.0,0.0,0.0,0.0,0.0
46.0,swap,-0.13563389586980037,7.0,2.0,0.04207897977473342,3.0,0.0,0.0,2.0,0.0
47.0,add_ry,0.05634992650722061,8.0,1.0,0.09197494982515889,4.0,0.0,1.0,0.0,0.0
48.0,add_ry,0.13530377942284022,9.0,2.0,0.05634992650722061,4.0,0.0,1.0,0.0,0.0
49.0,add_cx,0.05634992650722061,9.0,2.0,0.05634992650722061,4.0,0.0,1.0,0.0,1.0
50.0,add_rx,0.029708654009198296,9.0,2.0,0.05634992650722061,4.0,1.0,1.0,0.0,0.0
51.0,add_ry,0.2782117221903554,9.0,2.0,0.05634992650722061,4.0,0.0,2.0,0.0,0.0
52.0,add_rz,0.05634992650722059,9.0,2.0,0.05634992650722061,4.0,0.0,1.0,1.0,0.0
53.0,delete,-0.20024396217540952,9.0,2.0,0.05634992650722061,3.0,0.0,1.0,0.0,0.0
54.0,swap,0.23212060408869906,9.0,2.0,0.05634992650722061,3.0,0.0,2.0,0.0,0.0
55.0,add_cx,0.04207897977473338,10.0,1.0,0.04589602013931117,4.0,0.0,0.0,0.0,1.0
56.0,add_cx,0.04207897977473338,11.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,2.0
57.0,add_rx,0.04207897977473338,11.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
