budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701902,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add_cx,74.5478695352057,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
2.0,add_rx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
3.0,add_ry,74.50184317556914,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
4.0,add_rz,74.54800248930688,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
5.0,delete,74.63416553902071,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
6.0,swap,74.63416553902071,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,1.0
7.0,add_cx,74.62517021102025,2.0,2.0,74.63416553902071,7.0,0.0,0.0,0.0,1.0
8.0,add_rx,74.53047073374859,2.0,2.0,74.63416553902071,7.0,1.0,0.0,0.0,0.0
9.0,add_ry,74.70667178475759,2.0,2.0,74.63416553902071,7.0,0.0,1.0,0.0,0.0
10.0,add_rz,74.63303751578358,2.0,2.0,74.63416553902071,7.0,0.0,0.0,1.0,0.0
11.0,delete,74.67560497072995,2.0,2.0,74.63416553902071,6.0,0.0,0.0,0.0,0.0
12.0,swap,74.53059901327936,2.0,2.0,74.63416553902071,6.0,0.0,1.0,0.0,0.0
13.0,add_cx,74.63416553902071,3.0,2.0,74.63416553902071,7.0,0.0,0.0,0.0,2.0
14.0,add_rx,74.63416553902074,3.0,2.0,74.63416553902071,7.0,1.0,0.0,0.0,1.0
15.0,add_ry,74.63844544209194,3.0,2.0,74.63416553902071,7.0,0.0,1.0,0.0,1.0
16.0,add_rz,74.60966773033131,3.0,2.0,74.63416553902071,7.0,0.0,0.0,1.0,1.0
17.0,delete,74.46841073917928,3.0,2.0,74.63416553902071,6.0,0.0,0.0,0.0,1.0
18.0,swap,74.49999812501895,3.0,2.0,74.63416553902071,6.0,0.0,0.0,0.0,2.0
19.0,add_rx,74.55590154701902,4.0,2.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
20.0,add_cx,74.55590154701902,4.0,2.0,74.55590154701902,8.0,1.0,0.0,0.0,1.0
21.0,add_rx,74.55590154701902,4.0,2.0,74.55590154701902,8.0,2.0,0.0,0.0,0.0
22.0,add_ry,74.60806275866733,4.0,2.0,74.55590154701902,8.0,1.0,1.0,0.0,0.0
