budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.824392995344757,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add_cx,5.824392995344757,1.0,1.0,5.824392995344757,10.0,0.0,0.0,0.0,1.0
2.0,add_rx,5.824392995344757,1.0,1.0,5.824392995344757,10.0,1.0,0.0,0.0,0.0
3.0,add_ry,6.128992431656861,1.0,1.0,5.824392995344757,10.0,0.0,1.0,0.0,0.0
4.0,add_rz,5.813742663140268,1.0,1.0,5.824392995344757,10.0,0.0,0.0,1.0,0.0
5.0,delete,6.202641625472854,1.0,1.0,5.824392995344757,9.0,0.0,0.0,0.0,0.0
6.0,swap,6.254844185106094,1.0,1.0,5.824392995344757,9.0,1.0,0.0,0.0,0.0
7.0,swap,6.2548441851060925,2.0,2.0,6.254844185106094,9.0,1.0,0.0,0.0,0.0
8.0,add_cx,5.768270897851697,2.0,2.0,6.254844185106094,9.0,1.0,0.0,0.0,1.0
9.0,add_rx,6.2548441851060925,2.0,2.0,6.254844185106094,9.0,2.0,0.0,0.0,0.0
10.0,add_ry,6.153285638210564,2.0,2.0,6.254844185106094,9.0,1.0,1.0,0.0,0.0
11.0,add_rz,6.251689804001498,2.0,2.0,6.254844185106094,9.0,1.0,0.0,1.0,0.0
12.0,delete,6.006283012775671,2.0,2.0,6.254844185106094,8.0,1.0,0.0,0.0,0.0
13.0,swap,6.7575194439898985,2.0,2.0,6.254844185106094,8.0,1.0,0.0,0.0,1.0
14.0,add_cx,6.202641625472854,3.0,2.0,6.202641625472854,9.0,0.0,0.0,0.0,1.0
15.0,add_rx,6.202641625472853,3.0,2.0,6.202641625472854,9.0,1.0,0.0,0.0,0.0
16.0,add_ry,6.672825593056097,3.0,2.0,6.202641625472854,9.0,0.0,1.0,0.0,0.0
17.0,add_rz,6.2026416254728485,3.0,2.0,6.202641625472854,9.0,0.0,0.0,1.0,0.0
