budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add_cx,0.9346645654712499,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
2.0,add_rx,0.9346645654712509,1.0,1.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
3.0,add_ry,0.7446297307795094,1.0,1.0,0.9346645654712499,4.0,0.0,1.0,0.0,0.0
4.0,add_rz,0.9288459652466221,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,1.0,0.0
5.0,delete,0.41493656343447627,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
6.0,swap,0.2677858814627586,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
7.0,add_rx,0.9346645654712509,2.0,2.0,0.9346645654712509,4.0,1.0,0.0,0.0,0.0
8.0,add_cx,0.9346645654712509,2.0,2.0,0.9346645654712509,4.0,1.0,0.0,0.0,1.0
9.0,add_rx,0.9346645654712504,2.0,2.0,0.9346645654712509,4.0,2.0,0.0,0.0,0.0
10.0,add_ry,0.10546076537395863,2.0,2.0,0.9346645654712509,4.0,1.0,1.0,0.0,0.0
11.0,add_rz,0.9288459652466227,2.0,2.0,0.9346645654712509,4.0,1.0,0.0,1.0,0.0
12.0,delete,0.41493656343447655,2.0,2.0,0.9346645654712509,3.0,1.0,0.0,0.0,0.0
13.0,swap,0.2662086698628974,2.0,2.0,0.9346645654712509,3.0,1.0,0.0,1.0,0.0
14.0,add_cx,0.41493656343447627,3.0,2.0,0.41493656343447627,3.0,0.0,0.0,0.0,1.0
15.0,add_rx,0.41493656343447627,3.0,2.0,0.41493656343447627,3.0,1.0,0.0,0.0,0.0
16.0,add_ry,0.21495050326247137,3.0,2.0,0.41493656343447627,3.0,0.0,1.0,0.0,0.0
17.0,add_rz,0.4123534442381372,3.0,2.0,0.41493656343447627,3.0,0.0,0.0,1.0,0.0
18.0,delete,0.11888131581666003,3.0,2.0,0.41493656343447627,2.0,0.0,0.0,0.0,0.0
19.0,swap,0.09411464191192134,3.0,2.0,0.41493656343447627,2.0,0.0,1.0,0.0,0.0
20.0,add_cx,0.18887560283756202,4.0,2.0,0.2677858814627586,3.0,0.0,0.0,0.0,2.0
21.0,add_rx,0.2677858814627587,4.0,2.0,0.2677858814627586,3.0,1.0,0.0,0.0,1.0
22.0,add_ry,0.09061725220219193,4.0,2.0,0.2677858814627586,3.0,0.0,1.0,0.0,1.0
23.0,add_rz,0.26699321547178084,4.0,2.0,0.2677858814627586,3.0,0.0,0.0,1.0,1.0
24.0,delete,0.07672193957051464,4.0,2.0,0.2677858814627586,2.0,0.0,0.0,0.0,1.0
25.0,swap,0.08208499862389883,4.0,2.0,0.2677858814627586,2.0,1.0,0.0,0.0,1.0
26.0,add_cx,0.9346645654712499,5.0,2.0,0.9346645654712499,4.0,0.0,0.0,0.0,2.0
27.0,add_rx,0.9346645654712499,5.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
28.0,add_ry,0.3736894669616289,5.0,2.0,0.9346645654712499,4.0,0.0,1.0,0.0,1.0
29.0,add_rz,0.9288459652466221,5.0,2.0,0.9346645654712499,4.0,0.0,0.0,1.0,1.0
30.0,delete,0.41493656343447627,5.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
31.0,swap,0.43081250919211084,5.0,2.0,0.9346645654712499,4.0,0.0,1.0,0.0,0.0
32.0,add_rz,0.9288459652466221,6.0,2.0,0.9288459652466221,4.0,0.0,0.0,1.0,0.0
33.0,add_cx,0.9288459652466221,6.0,2.0,0.9288459652466221,4.0,0.0,0.0,1.0,1.0
34.0,add_rx,0.9288459652466221,6.0,2.0,0.9288459652466221,4.0,1.0,0.0,1.0,0.0
35.0,add_ry,0.07780218812086659,6.0,2.0,0.9288459652466221,4.0,0.0,1.0,1.0,0.0
36.0,add_rz,0.9233752263754409,6.0,2.0,0.9288459652466221,4.0,0.0,0.0,2.0,0.0
37.0,delete,0.2677858814627587,6.0,2.0,0.9288459652466221,3.0,0.0,0.0,1.0,0.0
38.0,swap,0.02780454335024911,6.0,2.0,0.9288459652466221,3.0,0.0,1.0,1.0,0.0
39.0,add_ry,0.905389981644408,7.0,2.0,0.7446297307795094,4.0,0.0,1.0,0.0,0.0
40.0,add_cx,0.7446297307795094,7.0,2.0,0.7446297307795094,4.0,0.0,1.0,0.0,1.0
41.0,add_rx,0.7446297307795099,7.0,2.0,0.7446297307795094,4.0,1.0,1.0,0.0,0.0
42.0,add_ry,0.15178343776972134,7.0,2.0,0.7446297307795094,4.0,0.0,2.0,0.0,0.0
43.0,add_rz,0.7399941611015324,7.0,2.0,0.7446297307795094,4.0,0.0,1.0,1.0,0.0
44.0,delete,0.22825299859899717,7.0,2.0,0.7446297307795094,3.0,0.0,1.0,0.0,0.0
45.0,swap,0.5494549974630337,7.0,2.0,0.7446297307795094,3.0,1.0,1.0,0.0,0.0
46.0,add_cx,0.9346645654712499,8.0,1.0,0.7074683144640839,4.0,0.0,0.0,0.0,1.0
47.0,add_cx,0.9346645654712499,9.0,2.0,0.9346645654712499,4.0,0.0,0.0,0.0,2.0
48.0,add_rx,0.9346645654712509,9.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
49.0,add_ry,0.16298452975310634,9.0,2.0,0.9346645654712499,4.0,0.0,1.0,0.0,1.0
50.0,add_rz,0.9288459652466221,9.0,2.0,0.9346645654712499,4.0,0.0,0.0,1.0,1.0
51.0,delete,0.2677858814627586,9.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
52.0,swap,0.9346645654712509,9.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
53.0,add_rx,0.9346645654712504,10.0,1.0,0.6817637782253698,4.0,1.0,0.0,0.0,0.0
54.0,add_rx,0.9346645654712509,11.0,2.0,0.9346645654712504,4.0,1.0,0.0,0.0,0.0
55.0,add_cx,0.9346645654712504,11.0,2.0,0.9346645654712504,4.0,1.0,0.0,0.0,1.0
56.0,add_rx,0.9346645654712509,11.0,2.0,0.9346645654712504,4.0,2.0,0.0,0.0,0.0
57.0,add_ry,0.22923404874397502,11.0,2.0,0.9346645654712504,4.0,1.0,1.0,0.0,0.0
58.0,add_rz,0.9288459652466221,11.0,2.0,0.9346645654712504,4.0,1.0,0.0,1.0,0.0
59.0,delete,0.9346645654712499,11.0,2.0,0.9346645654712504,4.0,0.0,0.0,0.0,0.0
60.0,swap,0.07672193957051464,11.0,2.0,0.9346645654712504,3.0,1.0,0.0,0.0,1.0
61.0,add_cx,0.9346645654712499,12.0,1.0,0.7178966313997197,4.0,0.0,0.0,0.0,1.0
62.0,add_cx,0.9346645654712499,13.0,2.0,0.9346645654712499,4.0,0.0,0.0,0.0,2.0
63.0,add_rx,0.9346645654712499,13.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
64.0,add_ry,0.10123589835886256,13.0,2.0,0.9346645654712499,4.0,0.0,1.0,0.0,1.0
65.0,add_rz,0.9291595560712466,13.0,2.0,0.9346645654712499,4.0,0.0,0.0,1.0,1.0
66.0,delete,0.08208499862389883,13.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
67.0,swap,0.9346645654712504,13.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
68.0,add_rx,0.9346645654712489,14.0,1.0,0.7101396879200202,4.0,1.0,0.0,0.0,0.0
69.0,add_rx,0.9346645654712504,15.0,2.0,0.9346645654712489,4.0,1.0,0.0,0.0,0.0
70.0,add_cx,0.9346645654712489,15.0,2.0,0.9346645654712489,4.0,1.0,0.0,0.0,1.0
71.0,add_rx,0.9346645654712504,15.0,2.0,0.9346645654712489,4.0,2.0,0.0,0.0,0.0
72.0,add_ry,0.25228996385035357,15.0,2.0,0.9346645654712489,4.0,1.0,1.0,0.0,0.0
73.0,add_rz,0.9288459652466201,15.0,2.0,0.9346645654712489,4.0,1.0,0.0,1.0,0.0
74.0,delete,0.2677858814627586,15.0,2.0,0.9346645654712489,3.0,1.0,0.0,0.0,0.0
75.0,swap,0.9346645654712509,15.0,2.0,0.9346645654712489,4.0,1.0,0.0,0.0,0.0
76.0,add_rz,0.9291595560712466,16.0,1.0,0.6265189625369755,4.0,0.0,0.0,1.0,0.0
77.0,add_rz,0.9291595560712466,17.0,2.0,0.9291595560712466,4.0,0.0,0.0,1.0,0.0
78.0,add_cx,0.9291595560712466,17.0,2.0,0.9291595560712466,4.0,0.0,0.0,1.0,1.0
79.0,add_rx,0.9613827780501846,17.0,2.0,0.9291595560712466,4.0,1.0,0.0,1.0,0.0
80.0,add_ry,0.23982797844112957,17.0,2.0,0.9291595560712466,4.0,0.0,1.0,1.0,0.0
81.0,add_rz,0.9264095979537544,17.0,2.0,0.9291595560712466,4.0,0.0,0.0,2.0,0.0
82.0,delete,0.2865047968601896,17.0,2.0,0.9291595560712466,3.0,0.0,0.0,1.0,0.0
83.0,swap,0.2615479904531765,17.0,2.0,0.9291595560712466,3.0,0.0,0.0,2.0,0.0
84.0,swap,0.9346645654712509,18.0,3.0,0.9346645654712509,4.0,1.0,0.0,0.0,0.0
85.0,add_cx,0.9346645654712509,18.0,3.0,0.9346645654712509,4.0,1.0,0.0,0.0,1.0
86.0,add_rx,0.9346645654712509,18.0,3.0,0.9346645654712509,4.0,2.0,0.0,0.0,0.0
87.0,add_ry,0.22634407277116908,18.0,3.0,0.9346645654712509,4.0,1.0,1.0,0.0,0.0
88.0,add_rz,0.929159556071246,18.0,3.0,0.9346645654712509,4.0,1.0,0.0,1.0,0.0
89.0,delete,0.41493656343447655,18.0,3.0,0.9346645654712509,3.0,1.0,0.0,0.0,0.0
90.0,swap,0.2865047968601896,18.0,3.0,0.9346645654712509,3.0,2.0,0.0,0.0,0.0
91.0,add_ry,0.8794727359547362,19.0,1.0,0.6010955961145277,4.0,0.0,1.0,0.0,0.0
92.0,add_ry,0.8557247635225801,20.0,2.0,0.8794727359547362,4.0,0.0,1.0,0.0,0.0
