budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,stop,0.04207897977473338,1.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
2.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
3.0,add_rx,0.042078979774733405,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
4.0,add_ry,0.021320687966084162,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
5.0,add_rz,0.042078979774733405,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
6.0,delete,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
7.0,swap,-0.1356338958698004,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
8.0,stop,0.2848217821726909,2.0,1.0,0.2848217821726909,3.0,0.0,0.0,0.0,0.0
9.0,add_cx,0.2848217821726909,2.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
10.0,add_rx,0.2848217821726909,2.0,2.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
11.0,add_ry,0.03375899304818253,2.0,2.0,0.2848217821726909,3.0,0.0,1.0,0.0,0.0
12.0,add_rz,0.2848217821726909,2.0,2.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
13.0,delete,0.3512881771660213,2.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
14.0,swap,-0.015824144146880978,2.0,2.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
14.0,stop,0.04207897977473338,3.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
15.0,stop,-0.1356338958698004,4.0,1.0,-0.1356338958698004,3.0,0.0,0.0,0.0,1.0
16.0,add_cx,-0.1356338958698004,4.0,2.0,-0.1356338958698004,3.0,0.0,0.0,0.0,2.0
17.0,add_rx,-0.128386509919215,4.0,2.0,-0.1356338958698004,3.0,1.0,0.0,0.0,1.0
18.0,add_ry,-0.15232072150731893,4.0,2.0,-0.1356338958698004,3.0,0.0,1.0,0.0,1.0
19.0,add_rz,-0.1356338958698004,4.0,2.0,-0.1356338958698004,3.0,0.0,0.0,1.0,1.0
20.0,delete,-0.13563389586980043,4.0,2.0,-0.1356338958698004,3.0,0.0,0.0,0.0,0.0
21.0,swap,0.014517726024445482,4.0,2.0,-0.1356338958698004,2.0,0.0,1.0,0.0,1.0
21.0,stop,0.04207897977473338,5.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
22.0,delete,-0.13563389586980037,6.0,1.0,0.22416649211634715,3.0,0.0,0.0,0.0,0.0
22.0,stop,0.04207897977473338,7.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
23.0,stop,-0.13563389586980037,8.0,1.0,-0.13563389586980037,3.0,0.0,0.0,0.0,0.0
24.0,add_cx,-0.1732685478721674,8.0,2.0,-0.13563389586980037,3.0,0.0,0.0,0.0,1.0
25.0,add_rx,0.06805242604014895,8.0,2.0,-0.13563389586980037,3.0,1.0,0.0,0.0,0.0
26.0,add_ry,-0.09668228292864584,8.0,2.0,-0.13563389586980037,3.0,0.0,1.0,0.0,0.0
27.0,add_rz,-0.1356338958698004,8.0,2.0,-0.13563389586980037,3.0,0.0,0.0,1.0,0.0
28.0,delete,-0.015824144146880895,8.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,0.0
29.0,swap,-0.0605742879603679,8.0,2.0,-0.13563389586980037,2.0,0.0,0.0,1.0,0.0
29.0,stop,0.04207897977473338,9.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
30.0,add_rx,0.04207897977473338,10.0,2.0,0.042078979774733405,4.0,1.0,0.0,0.0,0.0
31.0,stop,0.042078979774733405,10.0,1.0,0.042078979774733405,4.0,1.0,0.0,0.0,0.0
32.0,add_cx,0.042078979774733405,10.0,2.0,0.042078979774733405,4.0,1.0,0.0,0.0,1.0
33.0,add_rx,0.04207897977473336,10.0,2.0,0.042078979774733405,4.0,2.0,0.0,0.0,0.0
34.0,add_ry,0.045562030771718526,10.0,2.0,0.042078979774733405,4.0,1.0,1.0,0.0,0.0
35.0,add_rz,0.04207897977473339,10.0,2.0,0.042078979774733405,4.0,1.0,0.0,1.0,0.0
36.0,delete,0.2848217821726908,10.0,2.0,0.042078979774733405,3.0,1.0,0.0,0.0,0.0
37.0,swap,0.1341311016671218,10.0,2.0,0.042078979774733405,3.0,1.0,0.0,1.0,0.0
37.0,stop,0.04207897977473338,11.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
37.0,stop,0.04207897977473338,12.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
37.0,stop,0.04207897977473338,13.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
37.0,stop,0.04207897977473338,14.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
37.0,stop,0.04207897977473338,15.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
38.0,stop,0.04207897977473338,16.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
39.0,add_cx,0.04207897977473338,16.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,2.0
40.0,add_rx,0.04207897977473343,16.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
41.0,add_ry,0.022829289073831846,16.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
42.0,add_rz,0.04207897977473338,16.0,2.0,0.04207897977473338,4.0,0.0,0.0,1.0,1.0
43.0,delete,-0.13563389586980037,16.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
44.0,swap,0.04207897977473342,16.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
44.0,stop,0.04207897977473338,17.0,0.0,0.04207897977473336,4.0,0.0,0.0,0.0,0.0
44.0,stop,0.04207897977473338,18.0,0.0,0.04207897977473336,4.0,0.0,0.0,0.0,0.0
44.0,stop,0.04207897977473338,19.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
45.0,delete,0.28482178217269094,20.0,1.0,0.06925833827834142,3.0,0.0,0.0,0.0,0.0
46.0,stop,0.28482178217269094,21.0,1.0,0.28482178217269094,3.0,0.0,0.0,0.0,0.0
47.0,add_cx,0.28482178217269094,21.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
48.0,add_rx,0.2848217821726909,21.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
49.0,add_ry,0.34721746975419365,21.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
50.0,add_rz,0.28482178217269094,21.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
51.0,delete,-0.060574287960367845,21.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
52.0,swap,0.35128817716602123,21.0,2.0,0.28482178217269094,2.0,1.0,0.0,0.0,0.0
53.0,swap,0.35128817716602123,22.0,3.0,0.35128817716602123,2.0,1.0,0.0,0.0,0.0
54.0,stop,0.35128817716602123,22.0,2.0,0.35128817716602123,2.0,1.0,0.0,0.0,0.0
55.0,add_cx,0.35128817716602123,22.0,3.0,0.35128817716602123,2.0,1.0,0.0,0.0,1.0
56.0,add_rx,0.35128817716602123,22.0,3.0,0.35128817716602123,2.0,2.0,0.0,0.0,0.0
57.0,add_ry,0.35035884739863415,22.0,3.0,0.35128817716602123,2.0,1.0,1.0,0.0,0.0
58.0,add_rz,0.35128817716602123,22.0,3.0,0.35128817716602123,2.0,1.0,0.0,1.0,0.0
59.0,delete,0.3512881771660213,22.0,3.0,0.35128817716602123,2.0,0.0,0.0,0.0,0.0
60.0,swap,0.8117292828079199,22.0,3.0,0.35128817716602123,1.0,1.0,0.0,0.0,1.0
60.0,stop,0.28482178217269094,23.0,1.0,0.28482178217269094,3.0,0.0,0.0,0.0,0.0
