budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,stop,74.5559015470189,1.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
2.0,add_cx,74.54609523151865,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
3.0,add_rx,74.55590154701889,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
4.0,add_ry,74.48797610354956,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
5.0,add_rz,74.55322907251822,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
6.0,delete,74.53988496986284,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
7.0,swap,74.53988496986284,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
7.0,stop,74.5559015470189,2.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
8.0,stop,74.53988496986284,3.0,1.0,74.53988496986284,7.0,0.0,0.0,0.0,0.0
9.0,add_cx,74.44842592253347,3.0,2.0,74.53988496986284,7.0,0.0,0.0,0.0,1.0
10.0,add_rx,74.53988496986284,3.0,2.0,74.53988496986284,7.0,1.0,0.0,0.0,0.0
11.0,add_ry,74.45364974324208,3.0,2.0,74.53988496986284,7.0,0.0,1.0,0.0,0.0
12.0,add_rz,74.5340318313132,3.0,2.0,74.53988496986284,7.0,0.0,0.0,1.0,0.0
13.0,delete,74.50231233450025,3.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,0.0
14.0,swap,74.40081804806802,3.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,1.0
15.0,swap,74.53988496986283,4.0,2.0,74.53988496986284,7.0,1.0,0.0,0.0,0.0
16.0,stop,74.53988496986284,4.0,1.0,74.53988496986284,7.0,1.0,0.0,0.0,0.0
17.0,add_cx,74.53079205087226,4.0,2.0,74.53988496986284,7.0,1.0,0.0,0.0,1.0
18.0,add_rx,74.53988496986284,4.0,2.0,74.53988496986284,7.0,2.0,0.0,0.0,0.0
19.0,add_ry,74.68615585448059,4.0,2.0,74.53988496986284,7.0,1.0,1.0,0.0,0.0
20.0,add_rz,74.53921469273904,4.0,2.0,74.53988496986284,7.0,1.0,0.0,1.0,0.0
21.0,delete,74.43742733154488,4.0,2.0,74.53988496986284,6.0,1.0,0.0,0.0,0.0
22.0,swap,74.38113526240652,4.0,2.0,74.53988496986284,6.0,2.0,0.0,0.0,0.0
22.0,stop,74.5559015470189,5.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
22.0,stop,74.5559015470189,6.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
22.0,stop,74.5559015470189,7.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
23.0,add_rx,74.55590154701889,8.0,2.0,74.55590154701889,8.0,1.0,0.0,0.0,0.0
24.0,stop,74.55590154701889,8.0,1.0,74.55590154701889,8.0,1.0,0.0,0.0,0.0
25.0,add_cx,74.5478695352056,8.0,2.0,74.55590154701889,8.0,1.0,0.0,0.0,1.0
26.0,add_rx,74.55590154701888,8.0,2.0,74.55590154701889,8.0,2.0,0.0,0.0,0.0
27.0,add_ry,74.57177608810606,8.0,2.0,74.55590154701889,8.0,1.0,1.0,0.0,0.0
28.0,add_rz,74.56707859024267,8.0,2.0,74.55590154701889,8.0,1.0,0.0,1.0,0.0
29.0,delete,74.5559015470189,8.0,2.0,74.55590154701889,8.0,0.0,0.0,0.0,0.0
30.0,swap,74.52543206920767,8.0,2.0,74.55590154701889,7.0,2.0,0.0,0.0,0.0
30.0,stop,74.5559015470189,9.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
30.0,stop,74.5559015470189,10.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
30.0,stop,74.5559015470189,11.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
30.0,stop,74.5559015470189,12.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
30.0,stop,74.5559015470189,13.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
30.0,stop,74.5559015470189,14.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
30.0,stop,74.5559015470189,15.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
31.0,swap,74.54269156837658,16.0,1.0,74.52602945238829,7.0,0.0,0.0,0.0,1.0
31.0,stop,74.5559015470189,17.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
32.0,stop,74.54269156837658,18.0,1.0,74.54269156837658,7.0,0.0,0.0,0.0,1.0
33.0,add_cx,74.54269156837658,18.0,2.0,74.54269156837658,7.0,0.0,0.0,0.0,2.0
34.0,add_rx,74.54269156837658,18.0,2.0,74.54269156837658,7.0,1.0,0.0,0.0,1.0
35.0,add_ry,74.56331110068676,18.0,2.0,74.54269156837658,7.0,0.0,1.0,0.0,1.0
36.0,add_rz,74.5477031929168,18.0,2.0,74.54269156837658,7.0,0.0,0.0,1.0,1.0
37.0,delete,74.44691945793961,18.0,2.0,74.54269156837658,6.0,0.0,0.0,0.0,1.0
38.0,swap,74.3857140415899,18.0,2.0,74.54269156837658,6.0,0.0,0.0,0.0,2.0
39.0,add_rz,74.55297604881558,19.0,2.0,74.55322907251822,8.0,0.0,0.0,1.0,0.0
40.0,stop,74.55322907251822,19.0,1.0,74.55322907251822,8.0,0.0,0.0,1.0,0.0
41.0,add_cx,74.55322907251822,19.0,2.0,74.55322907251822,8.0,0.0,0.0,1.0,1.0
42.0,add_rx,74.55322907251822,19.0,2.0,74.55322907251822,8.0,1.0,0.0,1.0,0.0
43.0,add_ry,74.55463397972231,19.0,2.0,74.55322907251822,8.0,0.0,1.0,1.0,0.0
44.0,add_rz,74.55103010444043,19.0,2.0,74.55322907251822,8.0,0.0,0.0,2.0,0.0
45.0,delete,74.4967270491045,19.0,2.0,74.55322907251822,7.0,0.0,0.0,1.0,0.0
46.0,swap,74.52104615828068,19.0,2.0,74.55322907251822,7.0,1.0,0.0,1.0,0.0
47.0,delete,74.49605353349583,20.0,1.0,74.49486159865569,7.0,0.0,0.0,0.0,0.0
47.0,stop,74.5559015470189,21.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
47.0,stop,74.5559015470189,22.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
48.0,stop,74.49605353349583,23.0,1.0,74.49605353349583,7.0,0.0,0.0,0.0,0.0
49.0,add_cx,74.4980777568603,23.0,2.0,74.49605353349583,7.0,0.0,0.0,0.0,1.0
50.0,add_rx,74.49605353349584,23.0,2.0,74.49605353349583,7.0,1.0,0.0,0.0,0.0
51.0,add_ry,74.52063758312015,23.0,2.0,74.49605353349583,7.0,0.0,1.0,0.0,0.0
52.0,add_rz,74.49764186603367,23.0,2.0,74.49605353349583,7.0,0.0,0.0,1.0,0.0
53.0,delete,74.38736636893553,23.0,2.0,74.49605353349583,6.0,0.0,0.0,0.0,0.0
54.0,swap,74.50231233450025,23.0,2.0,74.49605353349583,6.0,1.0,0.0,0.0,0.0
54.0,stop,74.5559015470189,24.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
54.0,stop,74.5559015470189,25.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
54.0,stop,74.5559015470189,26.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
54.0,stop,74.5559015470189,27.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
54.0,stop,74.5559015470189,28.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
54.0,stop,74.5559015470189,29.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
54.0,stop,74.5559015470189,30.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
54.0,stop,74.5559015470189,31.0,0.0,74.55590154701893,8.0,0.0,0.0,0.0,0.0
55.0,stop,74.54609523151865,32.0,1.0,74.54609523151865,8.0,0.0,0.0,0.0,1.0
56.0,add_cx,74.54609523151865,32.0,2.0,74.54609523151865,8.0,0.0,0.0,0.0,2.0
