budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,stop,5.808421654950915,1.0,0.0,5.808421654950915,10.0,0.0,0.0,0.0,0.0
2.0,add_cx,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
3.0,add_rx,5.808421654950915,1.0,1.0,5.808421654950915,10.0,1.0,0.0,0.0,0.0
4.0,add_ry,5.520237555369748,1.0,1.0,5.808421654950915,10.0,0.0,1.0,0.0,0.0
5.0,add_rz,5.808501554528828,1.0,1.0,5.808421654950915,10.0,0.0,0.0,1.0,0.0
6.0,delete,6.229370100288218,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
7.0,swap,6.3419964326469165,1.0,1.0,5.808421654950915,9.0,0.0,1.0,0.0,0.0
8.0,swap,6.2917025822009345,2.0,2.0,6.3419964326469165,9.0,0.0,1.0,0.0,0.0
9.0,stop,6.3419964326469165,2.0,1.0,6.3419964326469165,9.0,0.0,1.0,0.0,0.0
10.0,add_cx,5.701193014913939,2.0,2.0,6.3419964326469165,9.0,0.0,1.0,0.0,1.0
11.0,add_rx,6.418425869388512,2.0,2.0,6.3419964326469165,9.0,1.0,1.0,0.0,0.0
12.0,add_ry,6.348736452683186,2.0,2.0,6.3419964326469165,9.0,0.0,2.0,0.0,0.0
13.0,add_rz,6.341996432646917,2.0,2.0,6.3419964326469165,9.0,0.0,1.0,1.0,0.0
14.0,delete,6.706870462802219,2.0,2.0,6.3419964326469165,8.0,0.0,1.0,0.0,0.0
15.0,swap,6.405577384746384,2.0,2.0,6.3419964326469165,8.0,0.0,2.0,0.0,0.0
16.0,stop,6.229370100288218,3.0,1.0,6.229370100288218,9.0,0.0,0.0,0.0,0.0
17.0,add_cx,6.229370100288218,3.0,2.0,6.229370100288218,9.0,0.0,0.0,0.0,1.0
18.0,add_rx,6.229370100288219,3.0,2.0,6.229370100288218,9.0,1.0,0.0,0.0,0.0
19.0,add_ry,6.555547113302835,3.0,2.0,6.229370100288218,9.0,0.0,1.0,0.0,0.0
20.0,add_rz,6.231480306795593,3.0,2.0,6.229370100288218,9.0,0.0,0.0,1.0,0.0
21.0,delete,6.737666730415292,3.0,2.0,6.229370100288218,8.0,0.0,0.0,0.0,0.0
22.0,swap,6.576788776352446,3.0,2.0,6.229370100288218,8.0,0.0,0.0,0.0,1.0
23.0,delete,6.229370100288379,4.0,1.0,6.377370416002379,9.0,0.0,0.0,0.0,0.0
24.0,stop,6.229370100288379,5.0,1.0,6.229370100288379,9.0,0.0,0.0,0.0,0.0
25.0,add_cx,6.229370100288379,5.0,2.0,6.229370100288379,9.0,0.0,0.0,0.0,1.0
26.0,add_rx,6.229370100288377,5.0,2.0,6.229370100288379,9.0,1.0,0.0,0.0,0.0
27.0,add_ry,6.256064166384921,5.0,2.0,6.229370100288379,9.0,0.0,1.0,0.0,0.0
28.0,add_rz,6.219871669604902,5.0,2.0,6.229370100288379,9.0,0.0,0.0,1.0,0.0
29.0,delete,6.584693703708728,5.0,2.0,6.229370100288379,8.0,0.0,0.0,0.0,0.0
30.0,swap,6.737666730415424,5.0,2.0,6.229370100288379,8.0,1.0,0.0,0.0,0.0
31.0,swap,5.704768510883909,6.0,1.0,6.322055007186214,9.0,0.0,1.0,0.0,0.0
31.0,stop,5.808421654950915,7.0,0.0,5.808421654950915,10.0,0.0,0.0,0.0,0.0
32.0,delete,6.2293701002883815,8.0,1.0,6.358421249955407,9.0,0.0,0.0,0.0,0.0
33.0,stop,6.2293701002883815,9.0,1.0,6.2293701002883815,9.0,0.0,0.0,0.0,0.0
34.0,add_cx,6.2293701002883815,9.0,2.0,6.2293701002883815,9.0,0.0,0.0,0.0,1.0
35.0,add_rx,6.229370100288383,9.0,2.0,6.2293701002883815,9.0,1.0,0.0,0.0,0.0
36.0,add_ry,6.130848780969103,9.0,2.0,6.2293701002883815,9.0,0.0,1.0,0.0,0.0
37.0,add_rz,6.2307345307846855,9.0,2.0,6.2293701002883815,9.0,0.0,0.0,1.0,0.0
38.0,delete,6.5846937037087265,9.0,2.0,6.2293701002883815,8.0,0.0,0.0,0.0,0.0
39.0,swap,6.55911027282254,9.0,2.0,6.2293701002883815,8.0,0.0,0.0,0.0,1.0
40.0,delete,6.737326064754568,10.0,3.0,6.706870462802219,8.0,0.0,1.0,0.0,0.0
41.0,stop,6.706870462802219,10.0,2.0,6.706870462802219,8.0,0.0,1.0,0.0,0.0
42.0,add_cx,6.123505235898555,10.0,3.0,6.706870462802219,8.0,0.0,1.0,0.0,1.0
43.0,add_rx,6.706870462802221,10.0,3.0,6.706870462802219,8.0,1.0,1.0,0.0,0.0
44.0,add_ry,6.283281126952877,10.0,3.0,6.706870462802219,8.0,0.0,2.0,0.0,0.0
45.0,add_rz,6.70687046280222,10.0,3.0,6.706870462802219,8.0,0.0,1.0,1.0,0.0
46.0,delete,6.357751855962857,10.0,3.0,6.706870462802219,7.0,0.0,1.0,0.0,0.0
47.0,swap,6.7426677356154965,10.0,3.0,6.706870462802219,8.0,1.0,0.0,0.0,0.0
48.0,swap,6.229370100288379,11.0,1.0,6.387133721286157,9.0,0.0,0.0,0.0,1.0
49.0,stop,6.229370100288379,12.0,1.0,6.229370100288379,9.0,0.0,0.0,0.0,1.0
50.0,add_cx,6.229370100288379,12.0,2.0,6.229370100288379,9.0,0.0,0.0,0.0,2.0
