budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,stop,0.9346645654712499,1.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
2.0,add_cx,0.9346645654712499,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
3.0,add_rx,0.9346645654712509,1.0,1.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
4.0,add_ry,0.37239269894400234,1.0,1.0,0.9346645654712499,4.0,0.0,1.0,0.0,0.0
5.0,add_rz,0.9288459652466221,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,1.0,0.0
6.0,delete,0.41493656343447627,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
7.0,swap,0.2677858814627587,1.0,1.0,0.9346645654712499,3.0,1.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,2.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,3.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,4.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,5.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,6.0,0.0,0.9346645654712498,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,7.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,8.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,9.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,10.0,0.0,0.9346645654712498,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,11.0,0.0,0.9346645654712498,4.0,0.0,0.0,0.0,0.0
7.0,stop,0.9346645654712499,12.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
8.0,add_rx,0.9346645654712504,13.0,2.0,0.9346645654712509,4.0,1.0,0.0,0.0,0.0
9.0,stop,0.9346645654712509,13.0,1.0,0.9346645654712509,4.0,1.0,0.0,0.0,0.0
10.0,add_cx,0.9346645654712509,13.0,2.0,0.9346645654712509,4.0,1.0,0.0,0.0,1.0
11.0,add_rx,0.934664565471252,13.0,2.0,0.9346645654712509,4.0,2.0,0.0,0.0,0.0
12.0,add_ry,0.9344637604304619,13.0,2.0,0.9346645654712509,4.0,1.0,1.0,0.0,0.0
13.0,add_rz,0.9318978893120237,13.0,2.0,0.9346645654712509,4.0,1.0,0.0,1.0,0.0
14.0,delete,0.9346645654712499,13.0,2.0,0.9346645654712509,4.0,0.0,0.0,0.0,0.0
15.0,swap,0.2677858814627587,13.0,2.0,0.9346645654712509,3.0,1.0,0.0,0.0,1.0
15.0,stop,0.9346645654712499,14.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
16.0,stop,0.41493656343447627,15.0,1.0,0.41493656343447627,3.0,0.0,0.0,0.0,0.0
17.0,add_cx,0.41493656343447627,15.0,2.0,0.41493656343447627,3.0,0.0,0.0,0.0,1.0
18.0,add_rx,0.41493656343447655,15.0,2.0,0.41493656343447627,3.0,1.0,0.0,0.0,0.0
19.0,add_ry,0.2881214609038179,15.0,2.0,0.41493656343447627,3.0,0.0,1.0,0.0,0.0
20.0,add_rz,0.41254423370054644,15.0,2.0,0.41493656343447627,3.0,0.0,0.0,1.0,0.0
21.0,delete,0.11888131581666003,15.0,2.0,0.41493656343447627,2.0,0.0,0.0,0.0,0.0
22.0,swap,0.0762298458196002,15.0,2.0,0.41493656343447627,2.0,0.0,1.0,0.0,0.0
22.0,stop,0.9346645654712499,16.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
22.0,stop,0.9346645654712499,17.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
22.0,stop,0.9346645654712499,18.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
22.0,stop,0.9346645654712499,19.0,0.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
