budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,stop,0.04207897977473338,1.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
2.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
3.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
4.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
5.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
6.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
7.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
8.0,add_rx,0.042078979774733405,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
9.0,add_rx,0.04207897977473336,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
10.0,add_rx,0.04207897977473336,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
11.0,add_rx,0.04207897977473336,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
12.0,add_ry,0.21871172737215613,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
13.0,add_ry,0.09620965526465557,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
14.0,add_ry,0.2820695404389215,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
15.0,add_ry,-0.13548681281419475,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
16.0,add_rz,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
17.0,add_rz,0.04207897977473336,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
18.0,add_rz,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
19.0,add_rz,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
20.0,delete,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
21.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
22.0,delete,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
23.0,delete,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
24.0,swap,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
25.0,swap,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
26.0,swap,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
27.0,swap,0.04471504978855441,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
28.0,swap,0.2634279440113931,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
29.0,swap,0.2848217821726908,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
30.0,swap,-0.12270598081763605,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
31.0,swap,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
32.0,swap,-0.2045217817564003,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
33.0,swap,-0.13563389586980046,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
34.0,swap,-0.15969153785339996,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
35.0,swap,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
36.0,swap,-0.2005538997529826,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
37.0,swap,-0.0808540709003046,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
38.0,swap,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
39.0,swap,0.2848217821726908,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
39.0,stop,0.04207897977473338,2.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
39.0,stop,0.04207897977473338,3.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
39.0,stop,0.04207897977473338,4.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
40.0,stop,0.2848217821726909,5.0,1.0,0.2848217821726909,3.0,0.0,0.0,0.0,0.0
41.0,add_cx,0.2848217821726909,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
42.0,add_cx,-0.08085407090030461,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
43.0,add_cx,0.2848217821726909,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
44.0,add_cx,-0.08085407090030464,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
45.0,add_cx,0.2848217821726909,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
46.0,add_cx,0.2848217821726909,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
47.0,add_rx,0.2848217821726909,5.0,2.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
48.0,add_rx,0.1534306745621764,5.0,2.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
49.0,add_rx,0.2848217821726909,5.0,2.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
50.0,add_rx,0.2848217821726909,5.0,2.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
51.0,add_ry,0.35128805067679175,5.0,2.0,0.2848217821726909,3.0,0.0,1.0,0.0,0.0
52.0,add_ry,0.11330825077514971,5.0,2.0,0.2848217821726909,3.0,0.0,1.0,0.0,0.0
53.0,add_ry,0.14272430859420415,5.0,2.0,0.2848217821726909,3.0,0.0,1.0,0.0,0.0
54.0,add_ry,0.14483021407176638,5.0,2.0,0.2848217821726909,3.0,0.0,1.0,0.0,0.0
55.0,add_rz,0.28482178217269094,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
56.0,add_rz,0.28482178217269094,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
57.0,add_rz,0.2848217821726909,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
58.0,add_rz,0.2848217821726908,5.0,2.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
59.0,delete,0.3512881771660213,5.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
60.0,delete,-0.015824144146880936,5.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
61.0,delete,-0.060574287960367845,5.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
62.0,swap,0.35128817716602123,5.0,2.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
63.0,swap,-0.060574287960367845,5.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,1.0
64.0,swap,0.35128817716602123,5.0,2.0,0.2848217821726909,2.0,1.0,0.0,0.0,0.0
65.0,swap,0.3350655361128816,5.0,2.0,0.2848217821726909,2.0,0.0,1.0,0.0,0.0
66.0,swap,-0.060574287960367915,5.0,2.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
67.0,swap,0.11713858768416593,5.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,1.0
68.0,swap,0.027157560051257842,5.0,2.0,0.2848217821726909,2.0,0.0,1.0,0.0,0.0
69.0,swap,0.13936119076769768,5.0,2.0,0.2848217821726909,2.0,0.0,1.0,0.0,0.0
70.0,swap,-0.060574287960367956,5.0,2.0,0.2848217821726909,2.0,1.0,0.0,0.0,0.0
