budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
2.0,delete,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,-0.13563389586980046,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
4.0,add,0.39818048505173925,2.0,2.0,0.2848217821726909,3.0,0.0,1.0,0.0,0.0
5.0,delete,-0.015824144146880936,2.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
6.0,swap,-0.0067540128695814106,2.0,2.0,0.2848217821726909,2.0,0.0,1.0,0.0,0.0
7.0,add,-0.027793014230856825,3.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
8.0,delete,-0.13563389586980037,3.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
9.0,swap,0.28482178217269094,3.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,2.0
10.0,swap,-0.1356338958698004,4.0,2.0,-0.13563389586980046,3.0,1.0,0.0,0.0,0.0
11.0,add,-0.014690464720130997,4.0,2.0,-0.13563389586980046,3.0,1.0,1.0,0.0,0.0
12.0,delete,-0.060574287960367915,4.0,2.0,-0.13563389586980046,2.0,1.0,0.0,0.0,0.0
13.0,swap,-0.12315179688680511,4.0,2.0,-0.13563389586980046,2.0,2.0,0.0,0.0,0.0
14.0,delete,-0.13563389586980043,5.0,1.0,0.16510602755199194,3.0,0.0,0.0,0.0,0.0
15.0,add,0.44122467604270454,6.0,3.0,0.39818048505173925,3.0,0.0,1.0,0.0,0.0
16.0,add,0.39818048505173914,6.0,3.0,0.39818048505173925,3.0,0.0,1.0,1.0,0.0
17.0,delete,0.5049934050073199,6.0,3.0,0.39818048505173925,2.0,0.0,1.0,0.0,0.0
18.0,swap,0.2848217821726909,6.0,3.0,0.39818048505173925,3.0,0.0,0.0,1.0,0.0
19.0,add,-0.06625072617462247,7.0,2.0,0.4054801666652388,3.0,0.0,1.0,0.0,0.0
20.0,add,-0.013387741106246576,8.0,2.0,-0.13563389586980043,3.0,0.0,1.0,0.0,0.0
21.0,delete,-0.015824144146880936,8.0,2.0,-0.13563389586980043,2.0,0.0,0.0,0.0,0.0
22.0,swap,-0.01582414414688102,8.0,2.0,-0.13563389586980043,2.0,1.0,0.0,0.0,0.0
23.0,add,0.04207897977473338,9.0,1.0,0.040868462961691776,4.0,0.0,0.0,0.0,1.0
24.0,add,0.04207897977473338,10.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,2.0
25.0,delete,0.2848217821726909,10.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
26.0,swap,-0.13563389586980043,10.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,2.0
27.0,delete,0.28482178217269094,11.0,1.0,0.15713260054138395,3.0,0.0,0.0,0.0,0.0
28.0,add,0.2844655860770606,12.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
29.0,delete,-0.015824144146880895,12.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
30.0,swap,-0.015824144146880895,12.0,2.0,0.28482178217269094,2.0,0.0,0.0,1.0,0.0
31.0,swap,-0.010834443989399561,13.0,3.0,-0.0067540128695814106,2.0,0.0,1.0,0.0,0.0
32.0,add,0.05604378536854557,13.0,3.0,-0.0067540128695814106,2.0,0.0,2.0,0.0,0.0
33.0,delete,-0.060574287960367845,13.0,3.0,-0.0067540128695814106,2.0,0.0,0.0,0.0,0.0
34.0,swap,-0.0605742879603679,13.0,3.0,-0.0067540128695814106,2.0,1.0,0.0,0.0,0.0
35.0,add,0.2640158648634781,14.0,3.0,0.2848217821726909,3.0,0.0,1.0,0.0,1.0
36.0,delete,-0.060574287960367845,14.0,3.0,0.2848217821726909,2.0,0.0,0.0,0.0,1.0
37.0,swap,0.2848217821726909,14.0,3.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
38.0,add,0.04207897977473342,15.0,1.0,0.08046209607044776,4.0,1.0,0.0,0.0,0.0
39.0,add,0.04207897977473342,16.0,2.0,0.04207897977473342,4.0,1.0,0.0,0.0,0.0
40.0,add,0.04207897977473342,16.0,2.0,0.04207897977473342,4.0,1.0,0.0,0.0,1.0
41.0,delete,-0.1356338958698004,16.0,2.0,0.04207897977473342,3.0,1.0,0.0,0.0,0.0
42.0,swap,0.02477642974569995,16.0,2.0,0.04207897977473342,4.0,0.0,1.0,0.0,0.0
43.0,add,0.28412002275392506,17.0,3.0,0.2844655860770606,3.0,0.0,1.0,0.0,0.0
44.0,add,0.6251534363268243,17.0,3.0,0.2844655860770606,3.0,0.0,2.0,0.0,0.0
45.0,delete,0.28482178217269094,17.0,3.0,0.2844655860770606,3.0,0.0,0.0,0.0,0.0
46.0,swap,-0.4167632091601049,17.0,3.0,0.2844655860770606,2.0,0.0,2.0,0.0,0.0
47.0,add,-0.3119103032744275,18.0,3.0,-0.015824144146880895,2.0,0.0,0.0,0.0,1.0
48.0,delete,-0.5318175981133537,18.0,3.0,-0.015824144146880895,1.0,0.0,0.0,0.0,0.0
49.0,swap,0.6199615383026126,18.0,3.0,-0.015824144146880895,1.0,0.0,1.0,0.0,0.0
50.0,swap,0.3151579792878589,19.0,1.0,-0.09393686826138097,3.0,0.0,1.0,0.0,0.0
51.0,swap,0.31091707412073394,20.0,2.0,0.3151579792878589,3.0,0.0,1.0,0.0,0.0
52.0,add,-0.06524551801961005,20.0,2.0,0.3151579792878589,3.0,0.0,1.0,0.0,1.0
53.0,delete,0.3924216055751361,20.0,2.0,0.3151579792878589,2.0,0.0,1.0,0.0,0.0
54.0,swap,0.5211892466490999,20.0,2.0,0.3151579792878589,3.0,0.0,1.0,0.0,0.0
55.0,swap,0.5740448469577091,21.0,3.0,0.5211892466490999,3.0,0.0,1.0,0.0,0.0
56.0,add,0.5211892466491,21.0,3.0,0.5211892466490999,3.0,0.0,1.0,1.0,0.0
57.0,delete,0.3372894982680287,21.0,3.0,0.5211892466490999,2.0,0.0,1.0,0.0,0.0
58.0,swap,0.33728949826802873,21.0,3.0,0.5211892466490999,2.0,1.0,1.0,0.0,0.0
59.0,swap,-0.13563389586980037,22.0,1.0,0.19818350974637003,3.0,0.0,0.0,0.0,1.0
60.0,delete,0.3662539404316035,23.0,3.0,0.3924216055751361,2.0,0.0,1.0,0.0,0.0
61.0,add,0.392421605575136,23.0,3.0,0.3924216055751361,2.0,1.0,1.0,0.0,0.0
62.0,delete,-0.11523106837932297,23.0,3.0,0.3924216055751361,1.0,0.0,1.0,0.0,0.0
63.0,swap,-0.11523106837932297,23.0,3.0,0.3924216055751361,1.0,0.0,1.0,0.0,1.0
64.0,add,-0.13563389586980037,24.0,2.0,-0.13563389586980037,3.0,0.0,0.0,0.0,2.0
65.0,delete,-0.48394415534774804,24.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,1.0
66.0,swap,-0.015824144146880895,24.0,2.0,-0.13563389586980037,2.0,1.0,0.0,0.0,1.0
67.0,swap,0.4160812466939385,25.0,3.0,0.31091707412073394,3.0,0.0,1.0,0.0,0.0
68.0,add,0.3109170741207339,25.0,3.0,0.31091707412073394,3.0,0.0,1.0,1.0,0.0
69.0,delete,-0.059587104184074376,25.0,3.0,0.31091707412073394,2.0,0.0,1.0,0.0,0.0
70.0,swap,-0.05958710418407436,25.0,3.0,0.31091707412073394,2.0,0.0,1.0,1.0,0.0
71.0,swap,-0.059239492032864764,26.0,2.0,0.4582004673583933,2.0,0.0,1.0,1.0,0.0
72.0,swap,0.5488745684963279,27.0,4.0,0.5740448469577091,3.0,0.0,1.0,0.0,0.0
73.0,add,0.5740448469577091,27.0,4.0,0.5740448469577091,3.0,0.0,1.0,1.0,0.0
74.0,delete,0.416251438264057,27.0,4.0,0.5740448469577091,2.0,0.0,1.0,0.0,0.0
75.0,swap,-0.04924134451210335,27.0,4.0,0.5740448469577091,3.0,1.0,0.0,0.0,0.0
76.0,add,-0.056191008778985224,28.0,3.0,-0.06524551801961005,3.0,0.0,1.0,0.0,1.0
77.0,add,-0.06524551801961008,28.0,3.0,-0.06524551801961005,3.0,1.0,1.0,0.0,1.0
78.0,delete,0.029495650961480047,28.0,3.0,-0.06524551801961005,2.0,0.0,1.0,0.0,1.0
79.0,swap,0.18829451567229424,28.0,3.0,-0.06524551801961005,2.0,0.0,1.0,0.0,2.0
80.0,add,0.4515821590138726,29.0,4.0,0.5211892466491,3.0,0.0,1.0,1.0,0.0
81.0,add,0.5332572322921832,29.0,4.0,0.5211892466491,3.0,0.0,2.0,1.0,0.0
82.0,delete,0.3372894982680288,29.0,4.0,0.5211892466491,2.0,0.0,1.0,1.0,0.0
83.0,swap,-0.1124606925734224,29.0,4.0,0.5211892466491,2.0,1.0,1.0,1.0,0.0
84.0,swap,0.2848217821726909,30.0,1.0,0.15067390822868035,3.0,0.0,0.0,1.0,0.0
85.0,swap,0.2848217821726909,31.0,2.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
86.0,add,0.28482178217269083,31.0,2.0,0.2848217821726909,3.0,0.0,0.0,2.0,0.0
87.0,delete,0.2848217821726909,31.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,0.0
88.0,swap,-0.060574287960367845,31.0,2.0,0.2848217821726909,2.0,0.0,0.0,2.0,0.0
89.0,add,0.19500798941185357,32.0,3.0,0.2848217821726909,3.0,0.0,1.0,0.0,0.0
90.0,delete,-0.060574287960367845,32.0,3.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
91.0,swap,-0.015824144146880978,32.0,3.0,0.2848217821726909,2.0,1.0,0.0,0.0,0.0
92.0,swap,0.2848217821726908,33.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
93.0,add,0.28482178217269083,33.0,3.0,0.2848217821726909,3.0,0.0,0.0,2.0,0.0
94.0,delete,-0.060574287960367915,33.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
95.0,swap,0.35128817716602123,33.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,1.0
96.0,add,0.2848217821726908,34.0,3.0,0.28482178217269083,3.0,0.0,0.0,2.0,0.0
97.0,add,0.28482178217269083,34.0,3.0,0.28482178217269083,3.0,0.0,0.0,2.0,1.0
98.0,delete,-0.01582414414688095,34.0,3.0,0.28482178217269083,2.0,0.0,0.0,2.0,0.0
99.0,swap,-0.015824144146881033,34.0,3.0,0.28482178217269083,2.0,0.0,0.0,3.0,0.0
100.0,add,-0.015824144146880936,35.0,3.0,-0.015824144146880936,2.0,0.0,0.0,0.0,1.0
101.0,delete,-0.11704094364207562,35.0,3.0,-0.015824144146880936,1.0,0.0,0.0,0.0,0.0
102.0,swap,-0.11704094364207562,35.0,3.0,-0.015824144146880936,1.0,0.0,0.0,1.0,0.0
103.0,add,0.08738602678455475,36.0,3.0,0.28482178217269094,3.0,1.0,0.0,0.0,2.0
104.0,delete,0.28482178217269094,36.0,3.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
105.0,swap,0.05583105925443463,36.0,3.0,0.28482178217269094,2.0,0.0,1.0,0.0,2.0
106.0,swap,0.029495650961479963,37.0,2.0,0.35224003935469683,2.0,0.0,1.0,1.0,0.0
107.0,add,0.04207897977473342,38.0,3.0,0.04207897977473338,4.0,1.0,0.0,0.0,2.0
108.0,delete,-0.13563389586980037,38.0,3.0,0.04207897977473338,3.0,0.0,0.0,0.0,2.0
109.0,swap,0.10318270168930442,38.0,3.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
110.0,swap,-0.009845912056469258,39.0,3.0,0.029495650961479963,2.0,0.0,1.0,1.0,0.0
111.0,add,0.029495650961479963,39.0,3.0,0.029495650961479963,2.0,0.0,1.0,1.0,1.0
112.0,delete,-0.5298235222667251,39.0,3.0,0.029495650961479963,1.0,0.0,1.0,1.0,0.0
113.0,swap,-0.08454751055045961,39.0,3.0,0.029495650961479963,1.0,0.0,1.0,1.0,1.0
114.0,add,-0.06941708221888993,40.0,3.0,-0.013387741106246576,3.0,0.0,1.0,0.0,0.0
115.0,add,-0.013387741106246576,40.0,3.0,-0.013387741106246576,3.0,0.0,1.0,0.0,1.0
116.0,delete,0.19098590439123606,40.0,3.0,-0.013387741106246576,2.0,0.0,1.0,0.0,0.0
117.0,swap,0.1805612321042867,40.0,3.0,-0.013387741106246576,2.0,0.0,2.0,0.0,0.0
118.0,add,-0.022122513905986588,41.0,3.0,-0.027793014230856825,4.0,0.0,1.0,0.0,1.0
119.0,add,0.07746448778981038,41.0,3.0,-0.027793014230856825,4.0,0.0,1.0,0.0,2.0
120.0,delete,-0.1903903140464004,41.0,3.0,-0.027793014230856825,3.0,0.0,1.0,0.0,1.0
121.0,swap,-0.10898971323643569,41.0,3.0,-0.027793014230856825,4.0,0.0,2.0,0.0,0.0
122.0,swap,-0.060574287960367956,42.0,3.0,-0.060574287960367845,2.0,0.0,0.0,2.0,0.0
123.0,add,0.07126772136004861,42.0,3.0,-0.060574287960367845,2.0,1.0,0.0,2.0,0.0
124.0,delete,-0.060574287960367845,42.0,3.0,-0.060574287960367845,2.0,0.0,0.0,1.0,0.0
125.0,swap,-0.1287963324117873,42.0,3.0,-0.060574287960367845,1.0,0.0,1.0,2.0,0.0
126.0,swap,-0.01582414414688091,43.0,3.0,-0.015824144146880895,2.0,0.0,0.0,1.0,0.0
127.0,add,-0.01582414414688088,43.0,3.0,-0.015824144146880895,2.0,0.0,0.0,2.0,0.0
128.0,delete,-0.015824144146880895,43.0,3.0,-0.015824144146880895,2.0,0.0,0.0,0.0,0.0
129.0,swap,0.07481507118154807,43.0,3.0,-0.015824144146880895,2.0,0.0,1.0,0.0,0.0
130.0,delete,0.2848217821726909,44.0,2.0,0.18412700296464593,3.0,0.0,0.0,0.0,0.0
131.0,change,0.36386322763774953,45.0,2.0,0.18374823731345152,3.0,0.0,1.0,0.0,0.0
132.0,change,0.3166774311891767,46.0,3.0,0.36386322763774953,3.0,0.0,1.0,0.0,0.0
133.0,add,0.2782810897661399,46.0,3.0,0.36386322763774953,3.0,0.0,2.0,0.0,0.0
