budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701899,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
2.0,delete,74.622342475198,1.0,1.0,74.55590154701899,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.69106401058701,1.0,1.0,74.55590154701899,7.0,0.0,1.0,0.0,0.0
4.0,swap,74.69552789765281,2.0,2.0,74.69106401058701,7.0,0.0,1.0,0.0,0.0
5.0,add,74.68640916963135,2.0,2.0,74.69106401058701,7.0,0.0,1.0,1.0,0.0
6.0,delete,74.622342475198,2.0,2.0,74.69106401058701,7.0,0.0,0.0,0.0,0.0
7.0,swap,74.61286795220899,2.0,2.0,74.69106401058701,6.0,0.0,2.0,0.0,0.0
8.0,add,74.622342475198,3.0,2.0,74.622342475198,7.0,0.0,0.0,0.0,1.0
9.0,delete,74.52605412102984,3.0,2.0,74.622342475198,6.0,0.0,0.0,0.0,0.0
10.0,swap,74.52178298423452,3.0,2.0,74.622342475198,6.0,1.0,0.0,0.0,0.0
11.0,add,74.55270079901213,4.0,2.0,74.55590154701899,8.0,0.0,0.0,1.0,1.0
12.0,delete,74.622342475198,4.0,2.0,74.55590154701899,7.0,0.0,0.0,0.0,1.0
13.0,swap,74.63818683617332,4.0,2.0,74.55590154701899,7.0,1.0,0.0,0.0,1.0
14.0,swap,74.56869192653936,5.0,1.0,74.66164230105564,7.0,1.0,0.0,0.0,0.0
15.0,add,74.58394829575802,6.0,1.0,74.5922829143506,8.0,0.0,1.0,0.0,0.0
16.0,swap,74.57196609975803,7.0,2.0,74.56869192653936,7.0,1.0,0.0,0.0,0.0
17.0,add,74.57001026090616,7.0,2.0,74.56869192653936,7.0,1.0,0.0,1.0,0.0
18.0,delete,74.49349585661183,7.0,2.0,74.56869192653936,6.0,1.0,0.0,0.0,0.0
19.0,swap,74.5867232872628,7.0,2.0,74.56869192653936,6.0,1.0,0.0,0.0,1.0
20.0,delete,74.54076886114974,8.0,1.0,74.57313051391509,7.0,0.0,0.0,0.0,0.0
21.0,add,74.58491903071496,9.0,2.0,74.58394829575802,8.0,0.0,1.0,0.0,0.0
22.0,add,74.51555973985417,9.0,2.0,74.58394829575802,8.0,0.0,2.0,0.0,0.0
23.0,delete,74.62167335862111,9.0,2.0,74.58394829575802,7.0,0.0,1.0,0.0,0.0
24.0,swap,74.602892648222,9.0,2.0,74.58394829575802,7.0,1.0,1.0,0.0,0.0
25.0,add,74.54880510098957,10.0,2.0,74.54076886114974,7.0,0.0,0.0,1.0,0.0
26.0,delete,74.68121064875241,10.0,2.0,74.54076886114974,6.0,0.0,0.0,0.0,0.0
27.0,swap,74.36271810185391,10.0,2.0,74.54076886114974,6.0,0.0,0.0,0.0,1.0
28.0,swap,74.69547190713023,11.0,3.0,74.69552789765281,7.0,0.0,1.0,0.0,0.0
29.0,add,74.69552789765281,11.0,3.0,74.69552789765281,7.0,0.0,1.0,0.0,1.0
30.0,delete,74.65763418592886,11.0,3.0,74.69552789765281,6.0,0.0,1.0,0.0,0.0
31.0,swap,74.5844831099333,11.0,3.0,74.69552789765281,6.0,0.0,1.0,0.0,1.0
32.0,swap,74.6422061987484,12.0,3.0,74.63818683617332,7.0,1.0,0.0,0.0,1.0
33.0,add,74.63669574364299,12.0,3.0,74.63818683617332,7.0,1.0,0.0,1.0,1.0
34.0,delete,74.63103033960326,12.0,3.0,74.63818683617332,6.0,1.0,0.0,0.0,1.0
35.0,swap,74.69184310214362,12.0,3.0,74.63818683617332,6.0,1.0,0.0,1.0,1.0
36.0,swap,74.5529154024657,13.0,1.0,74.62372971692868,7.0,0.0,0.0,1.0,0.0
37.0,add,74.54750290715216,14.0,3.0,74.622342475198,7.0,0.0,1.0,0.0,1.0
38.0,delete,74.44448781867591,14.0,3.0,74.622342475198,6.0,0.0,0.0,0.0,1.0
39.0,swap,74.4444878186759,14.0,3.0,74.622342475198,6.0,0.0,0.0,1.0,1.0
40.0,add,74.55590154701899,15.0,1.0,74.60614616267009,8.0,1.0,0.0,0.0,0.0
41.0,swap,74.55281123448032,16.0,2.0,74.5529154024657,7.0,0.0,0.0,1.0,0.0
42.0,add,74.5516212738053,16.0,2.0,74.5529154024657,7.0,0.0,1.0,1.0,0.0
