budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.824392995344755,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
2.0,delete,6.217882006436479,1.0,1.0,5.824392995344755,9.0,0.0,0.0,0.0,0.0
3.0,swap,6.384873714194648,1.0,1.0,5.824392995344755,9.0,0.0,0.0,1.0,0.0
4.0,swap,6.384873714194658,2.0,2.0,6.384873714194648,9.0,0.0,0.0,1.0,0.0
5.0,add,6.384873714194647,2.0,2.0,6.384873714194648,9.0,1.0,0.0,1.0,0.0
6.0,delete,6.753017704765942,2.0,2.0,6.384873714194648,8.0,0.0,0.0,1.0,0.0
7.0,swap,6.7530177047660835,2.0,2.0,6.384873714194648,8.0,0.0,0.0,2.0,0.0
8.0,add,6.217882006436479,3.0,2.0,6.217882006436479,9.0,0.0,0.0,0.0,1.0
9.0,delete,6.515004926055902,3.0,2.0,6.217882006436479,8.0,0.0,0.0,0.0,0.0
10.0,swap,6.7420044650141495,3.0,2.0,6.217882006436479,8.0,0.0,0.0,1.0,0.0
11.0,swap,5.302681737720205,4.0,1.0,6.532131310423196,9.0,0.0,1.0,0.0,0.0
12.0,delete,6.384873714194658,5.0,1.0,6.423193350985752,9.0,0.0,0.0,0.0,0.0
13.0,add,6.351933803712542,6.0,2.0,6.384873714194658,9.0,0.0,1.0,0.0,0.0
14.0,delete,6.748016699565877,6.0,2.0,6.384873714194658,8.0,0.0,0.0,0.0,0.0
15.0,swap,6.0357656290883925,6.0,2.0,6.384873714194658,8.0,0.0,1.0,0.0,0.0
16.0,swap,6.740120424949561,7.0,3.0,6.7420044650141495,8.0,0.0,0.0,1.0,0.0
17.0,add,6.7420044650141495,7.0,3.0,6.7420044650141495,8.0,0.0,0.0,1.0,1.0
18.0,delete,7.135576724820632,7.0,3.0,6.7420044650141495,7.0,0.0,0.0,1.0,0.0
19.0,swap,7.355918131769467,7.0,3.0,6.7420044650141495,7.0,0.0,1.0,1.0,0.0
20.0,delete,6.254844185105917,8.0,1.0,6.5989152497548575,9.0,0.0,0.0,0.0,0.0
21.0,swap,6.577683857110079,9.0,2.0,6.943124842313591,8.0,0.0,0.0,0.0,1.0
22.0,swap,7.356097201888406,10.0,4.0,7.355918131769467,7.0,0.0,1.0,1.0,0.0
23.0,add,7.020689372005097,10.0,4.0,7.355918131769467,7.0,0.0,2.0,1.0,0.0
24.0,delete,7.153304952646992,10.0,4.0,7.355918131769467,6.0,0.0,1.0,1.0,0.0
25.0,swap,7.518244475053763,10.0,4.0,7.355918131769467,6.0,1.0,1.0,1.0,0.0
26.0,delete,7.134631899727894,11.0,4.0,7.135576724820632,7.0,0.0,0.0,1.0,0.0
27.0,add,7.135576724820632,11.0,4.0,7.135576724820632,7.0,0.0,0.0,1.0,1.0
28.0,delete,7.356937885501189,11.0,4.0,7.135576724820632,6.0,0.0,0.0,1.0,0.0
29.0,swap,7.308289478233515,11.0,4.0,7.135576724820632,6.0,1.0,0.0,1.0,0.0
30.0,swap,6.588031986527562,12.0,2.0,7.091220004182538,8.0,0.0,0.0,1.0,0.0
31.0,swap,6.726975820067317,13.0,3.0,7.2808508266727445,8.0,0.0,0.0,1.0,0.0
32.0,delete,7.025672824884636,14.0,3.0,7.214202542620773,7.0,0.0,0.0,1.0,0.0
33.0,add,6.515004926055902,15.0,3.0,6.515004926055902,8.0,0.0,0.0,0.0,1.0
34.0,delete,6.809754194847458,15.0,3.0,6.515004926055902,7.0,0.0,0.0,0.0,0.0
