budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
2.0,delete,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.8718367706460407,1.0,1.0,0.873597849947558,3.0,0.0,1.0,0.0,0.0
4.0,add,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,2.0
5.0,delete,0.2677858814627575,2.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
6.0,swap,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
7.0,swap,0.872413399224554,3.0,2.0,0.8718367706460407,3.0,0.0,1.0,0.0,0.0
8.0,add,0.5652323535022997,3.0,2.0,0.8718367706460407,3.0,0.0,2.0,0.0,0.0
9.0,delete,0.30346955575245227,3.0,2.0,0.8718367706460407,2.0,0.0,1.0,0.0,0.0
10.0,swap,0.09520371125192062,3.0,2.0,0.8718367706460407,2.0,0.0,2.0,0.0,0.0
11.0,add,0.08243363402153366,4.0,1.0,0.7221448578263578,4.0,0.0,1.0,0.0,0.0
12.0,add,0.3040764312848323,5.0,2.0,0.3040764312848323,3.0,0.0,0.0,1.0,0.0
13.0,delete,0.09431537009970281,5.0,2.0,0.3040764312848323,2.0,0.0,0.0,0.0,0.0
14.0,swap,0.09431537009970281,5.0,2.0,0.3040764312848323,2.0,0.0,0.0,0.0,1.0
15.0,add,0.873597849947558,6.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,2.0
16.0,delete,0.3040764312848323,6.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,2.0
17.0,swap,0.28631758553713704,6.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,2.0
18.0,swap,0.029277662195293236,7.0,1.0,0.5416311580754535,3.0,0.0,1.0,0.0,0.0
19.0,add,0.5147219833874086,8.0,3.0,0.873597849947558,4.0,0.0,1.0,0.0,1.0
20.0,delete,0.2677858814627575,8.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
21.0,swap,0.08208499862389862,8.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,2.0
22.0,swap,0.864204465016141,9.0,3.0,0.872413399224554,3.0,0.0,1.0,0.0,0.0
23.0,add,0.872413399224554,9.0,3.0,0.872413399224554,3.0,0.0,1.0,0.0,1.0
24.0,delete,0.272452705212437,9.0,3.0,0.872413399224554,2.0,0.0,1.0,0.0,0.0
25.0,swap,0.2677858814627575,9.0,3.0,0.872413399224554,3.0,0.0,0.0,0.0,1.0
