budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,stop,0.04207897977473338,1.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
2.0,add,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
3.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
4.0,swap,-0.18383730053407377,1.0,1.0,0.04207897977473338,3.0,0.0,1.0,0.0,0.0
5.0,add,0.04207897977473342,2.0,2.0,0.04207897977473339,4.0,0.0,0.0,1.0,0.0
6.0,stop,0.04207897977473339,2.0,1.0,0.04207897977473339,4.0,0.0,0.0,1.0,0.0
7.0,add,0.04207897977473343,2.0,2.0,0.04207897977473339,4.0,0.0,0.0,2.0,0.0
8.0,delete,0.28482178217269094,2.0,2.0,0.04207897977473339,3.0,0.0,0.0,1.0,0.0
9.0,swap,0.28482178217269083,2.0,2.0,0.04207897977473339,3.0,0.0,0.0,2.0,0.0
9.0,stop,0.04207897977473338,3.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
10.0,stop,-0.13563389586980037,4.0,1.0,-0.13563389586980037,3.0,0.0,0.0,0.0,0.0
11.0,add,-0.13563389586980037,4.0,2.0,-0.13563389586980037,3.0,0.0,0.0,1.0,0.0
12.0,delete,-0.48394415534774804,4.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,0.0
13.0,swap,-0.01582414414688091,4.0,2.0,-0.13563389586980037,2.0,0.0,0.0,1.0,0.0
13.0,stop,0.04207897977473338,5.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
14.0,swap,-0.16354725799778447,6.0,2.0,-0.18383730053407377,3.0,0.0,1.0,0.0,0.0
15.0,stop,-0.18383730053407377,6.0,1.0,-0.18383730053407377,3.0,0.0,1.0,0.0,0.0
16.0,add,-0.18383730053407377,6.0,2.0,-0.18383730053407377,3.0,0.0,1.0,0.0,1.0
17.0,delete,-0.4646830943646716,6.0,2.0,-0.18383730053407377,2.0,0.0,1.0,0.0,0.0
18.0,swap,-0.4646830943646716,6.0,2.0,-0.18383730053407377,2.0,1.0,1.0,0.0,0.0
18.0,stop,0.04207897977473338,7.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
19.0,add,0.04207897977473338,8.0,1.0,0.12299324724071924,4.0,1.0,0.0,0.0,0.0
19.0,stop,0.04207897977473338,9.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
20.0,add,0.042078979774733405,10.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
21.0,stop,0.04207897977473338,10.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
22.0,add,0.04207897977473342,10.0,2.0,0.04207897977473338,4.0,2.0,0.0,0.0,0.0
23.0,delete,-0.13563389586980046,10.0,2.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
24.0,swap,0.11756767755832612,10.0,2.0,0.04207897977473338,3.0,1.0,1.0,0.0,0.0
24.0,stop,0.04207897977473338,11.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
24.0,stop,0.04207897977473338,12.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
24.0,stop,0.04207897977473338,13.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
24.0,stop,0.04207897977473338,14.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
24.0,stop,0.04207897977473338,15.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
25.0,add,0.05953691996354151,16.0,1.0,0.07401743201931456,4.0,0.0,1.0,0.0,0.0
26.0,add,0.018301170120365112,17.0,2.0,0.05953691996354151,4.0,0.0,1.0,0.0,0.0
27.0,stop,0.05953691996354151,17.0,1.0,0.05953691996354151,4.0,0.0,1.0,0.0,0.0
28.0,add,0.05953691996354151,17.0,2.0,0.05953691996354151,4.0,0.0,1.0,0.0,1.0
29.0,delete,0.04207897977473338,17.0,2.0,0.05953691996354151,4.0,0.0,0.0,0.0,0.0
30.0,swap,-0.13023564664249682,17.0,2.0,0.05953691996354151,3.0,0.0,1.0,1.0,0.0
30.0,stop,0.04207897977473338,18.0,0.0,0.04207897977473336,4.0,0.0,0.0,0.0,0.0
30.0,stop,0.04207897977473338,19.0,0.0,0.04207897977473336,4.0,0.0,0.0,0.0,0.0
30.0,stop,0.04207897977473338,20.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
30.0,stop,0.04207897977473338,21.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
30.0,stop,0.04207897977473338,22.0,0.0,0.04207897977473337,4.0,0.0,0.0,0.0,0.0
30.0,stop,0.04207897977473338,23.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
31.0,delete,0.2848217821726909,24.0,3.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
32.0,stop,0.28482178217269094,24.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
33.0,add,0.28482178217269083,24.0,3.0,0.28482178217269094,3.0,1.0,0.0,1.0,0.0
34.0,delete,-0.01582414414688091,24.0,3.0,0.28482178217269094,2.0,0.0,0.0,1.0,0.0
35.0,swap,-0.060574287960367804,24.0,3.0,0.28482178217269094,2.0,0.0,0.0,2.0,0.0
36.0,swap,0.2848217821726908,25.0,3.0,0.28482178217269083,3.0,0.0,0.0,2.0,0.0
37.0,stop,0.28482178217269083,25.0,2.0,0.28482178217269083,3.0,0.0,0.0,2.0,0.0
38.0,add,0.4015593464540532,25.0,3.0,0.28482178217269083,3.0,1.0,0.0,2.0,0.0
39.0,delete,-0.06057428796036787,25.0,3.0,0.28482178217269083,2.0,0.0,0.0,2.0,0.0
40.0,swap,0.7123678045114317,25.0,3.0,0.28482178217269083,2.0,1.0,0.0,2.0,0.0
41.0,add,0.04207897977473338,26.0,3.0,0.04207897977473343,4.0,0.0,0.0,2.0,0.0
42.0,stop,0.04207897977473343,26.0,2.0,0.04207897977473343,4.0,0.0,0.0,2.0,0.0
43.0,add,0.04207897977473343,26.0,3.0,0.04207897977473343,4.0,0.0,0.0,2.0,1.0
44.0,delete,0.04207897977473339,26.0,3.0,0.04207897977473343,4.0,0.0,0.0,1.0,0.0
45.0,swap,-0.13563389586980043,26.0,3.0,0.04207897977473343,3.0,0.0,0.0,2.0,1.0
46.0,swap,0.12897158596944386,27.0,3.0,0.11756767755832612,3.0,1.0,1.0,0.0,0.0
47.0,stop,0.11756767755832612,27.0,2.0,0.11756767755832612,3.0,1.0,1.0,0.0,0.0
48.0,add,0.11756767755832612,27.0,3.0,0.11756767755832612,3.0,2.0,1.0,0.0,0.0
49.0,delete,0.16499731960784342,27.0,3.0,0.11756767755832612,3.0,1.0,0.0,0.0,0.0
50.0,swap,0.24884724220888788,27.0,3.0,0.11756767755832612,2.0,2.0,1.0,0.0,0.0
50.0,stop,0.04207897977473338,28.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
51.0,add,0.09672401980608174,29.0,3.0,0.05953691996354151,4.0,0.0,1.0,0.0,1.0
52.0,stop,0.05953691996354151,29.0,2.0,0.05953691996354151,4.0,0.0,1.0,0.0,1.0
53.0,add,0.05953691996354151,29.0,3.0,0.05953691996354151,4.0,0.0,1.0,0.0,2.0
54.0,delete,0.28960201185157924,29.0,3.0,0.05953691996354151,3.0,0.0,1.0,0.0,1.0
55.0,swap,-0.13459789541496223,29.0,3.0,0.05953691996354151,4.0,0.0,1.0,0.0,1.0
55.0,stop,0.04207897977473338,30.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
55.0,stop,0.04207897977473338,31.0,0.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
56.0,add,0.042078979774733405,32.0,1.0,0.10649914631251318,4.0,0.0,0.0,1.0,0.0
