budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,stop,74.5559015470189,1.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
2.0,add,74.55376807863513,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
3.0,delete,74.53988496986284,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
4.0,swap,74.62545539674896,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
5.0,swap,74.62629727581283,2.0,2.0,74.62545539674896,7.0,1.0,0.0,0.0,0.0
6.0,stop,74.62545539674896,2.0,1.0,74.62545539674896,7.0,1.0,0.0,0.0,0.0
7.0,add,74.6323849967825,2.0,2.0,74.62545539674896,7.0,1.0,1.0,0.0,0.0
8.0,delete,74.47040430241782,2.0,2.0,74.62545539674896,6.0,1.0,0.0,0.0,0.0
9.0,swap,74.52158305567627,2.0,2.0,74.62545539674896,6.0,1.0,0.0,0.0,1.0
9.0,stop,74.5559015470189,3.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
10.0,add,74.5534043190055,4.0,2.0,74.55376807863513,8.0,0.0,0.0,1.0,0.0
11.0,stop,74.55376807863513,4.0,1.0,74.55376807863513,8.0,0.0,0.0,1.0,0.0
12.0,add,74.55376807863513,4.0,2.0,74.55376807863513,8.0,0.0,0.0,1.0,1.0
13.0,delete,74.62027420950717,4.0,2.0,74.55376807863513,7.0,0.0,0.0,1.0,0.0
14.0,swap,74.62232189380842,4.0,2.0,74.55376807863513,7.0,1.0,0.0,1.0,0.0
15.0,stop,74.53988496986284,5.0,1.0,74.53988496986284,7.0,0.0,0.0,0.0,0.0
16.0,add,74.53319366469478,5.0,2.0,74.53988496986284,7.0,0.0,0.0,1.0,0.0
17.0,delete,74.67560497072984,5.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,0.0
18.0,swap,74.50231233450025,5.0,2.0,74.53988496986284,6.0,1.0,0.0,0.0,0.0
18.0,stop,74.5559015470189,6.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
18.0,stop,74.5559015470189,7.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
18.0,stop,74.5559015470189,8.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
19.0,delete,74.57922355224049,9.0,1.0,74.55817618193011,7.0,0.0,0.0,0.0,0.0
19.0,stop,74.5559015470189,10.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
20.0,swap,74.54075563184948,11.0,1.0,74.58359673736456,7.0,0.0,0.0,1.0,0.0
21.0,add,74.5559015470189,12.0,1.0,74.57621744303775,8.0,0.0,0.0,0.0,1.0
22.0,stop,74.57922355224049,13.0,1.0,74.57922355224049,7.0,0.0,0.0,0.0,0.0
23.0,add,74.71783436204052,13.0,2.0,74.57922355224049,7.0,0.0,0.0,0.0,1.0
24.0,delete,74.44448781867587,13.0,2.0,74.57922355224049,6.0,0.0,0.0,0.0,0.0
25.0,swap,74.51731502418144,13.0,2.0,74.57922355224049,6.0,1.0,0.0,0.0,0.0
25.0,stop,74.5559015470189,14.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
26.0,swap,74.54075098738676,15.0,2.0,74.54075563184948,7.0,0.0,0.0,1.0,0.0
27.0,stop,74.54075563184948,15.0,1.0,74.54075563184948,7.0,0.0,0.0,1.0,0.0
28.0,add,74.53814398429519,15.0,2.0,74.54075563184948,7.0,0.0,0.0,2.0,0.0
29.0,delete,74.38736594953305,15.0,2.0,74.54075563184948,6.0,0.0,0.0,1.0,0.0
30.0,swap,74.38676479587639,15.0,2.0,74.54075563184948,6.0,0.0,0.0,1.0,1.0
31.0,stop,74.5559015470189,16.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
32.0,add,74.54756100576326,16.0,2.0,74.5559015470189,8.0,0.0,0.0,1.0,1.0
33.0,delete,74.5559015470189,16.0,2.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
34.0,swap,74.56127895584031,16.0,2.0,74.5559015470189,7.0,1.0,0.0,0.0,1.0
34.0,stop,74.5559015470189,17.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
34.0,stop,74.5559015470189,18.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
34.0,stop,74.5559015470189,19.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
35.0,stop,74.71783436204052,20.0,2.0,74.71783436204052,7.0,0.0,0.0,0.0,1.0
36.0,add,74.71490763953662,20.0,3.0,74.71783436204052,7.0,0.0,0.0,0.0,2.0
37.0,delete,74.72839805055555,20.0,3.0,74.71783436204052,6.0,0.0,0.0,0.0,1.0
38.0,swap,74.77260019963416,20.0,3.0,74.71783436204052,6.0,1.0,0.0,0.0,1.0
39.0,delete,74.55316758757426,21.0,1.0,74.6116218193426,7.0,0.0,0.0,0.0,0.0
40.0,stop,74.55316758757426,22.0,1.0,74.55316758757426,7.0,0.0,0.0,0.0,0.0
41.0,add,74.55316758757426,22.0,2.0,74.55316758757426,7.0,0.0,0.0,1.0,0.0
42.0,delete,74.65642499256553,22.0,2.0,74.55316758757426,6.0,0.0,0.0,0.0,0.0
43.0,swap,74.68854868443448,22.0,2.0,74.55316758757426,6.0,0.0,0.0,0.0,1.0
43.0,stop,74.5559015470189,23.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
44.0,add,74.5559015470189,24.0,1.0,74.56671356917153,8.0,0.0,0.0,0.0,1.0
44.0,stop,74.5559015470189,25.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
45.0,stop,74.5559015470189,26.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
46.0,add,74.5559015470189,26.0,2.0,74.5559015470189,8.0,1.0,0.0,0.0,1.0
47.0,delete,74.49605353349583,26.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
48.0,swap,74.49605353349583,26.0,2.0,74.5559015470189,7.0,1.0,0.0,0.0,1.0
49.0,stop,74.68854868443448,27.0,2.0,74.68854868443448,6.0,0.0,0.0,0.0,1.0
50.0,add,74.63108981763686,27.0,3.0,74.68854868443448,6.0,0.0,1.0,0.0,1.0
51.0,delete,74.65407082633375,27.0,3.0,74.68854868443448,5.0,0.0,0.0,0.0,1.0
52.0,swap,74.68854868443444,27.0,3.0,74.68854868443448,6.0,0.0,0.0,1.0,0.0
52.0,stop,74.5559015470189,28.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
52.0,stop,74.57922355224049,29.0,1.0,74.57922355224049,7.0,0.0,0.0,0.0,0.0
53.0,stop,74.67560497072984,30.0,2.0,74.67560497072984,6.0,0.0,0.0,0.0,0.0
54.0,add,74.70929211336949,30.0,3.0,74.67560497072984,6.0,0.0,0.0,0.0,1.0
55.0,delete,74.65637330402247,30.0,3.0,74.67560497072984,5.0,0.0,0.0,0.0,0.0
56.0,swap,74.58555284227853,30.0,3.0,74.67560497072984,5.0,0.0,1.0,0.0,0.0
56.0,stop,74.5559015470189,31.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
57.0,stop,74.65642499256553,32.0,2.0,74.65642499256553,6.0,0.0,0.0,0.0,0.0
58.0,add,74.64536294113152,32.0,3.0,74.65642499256553,6.0,0.0,1.0,0.0,0.0
59.0,delete,74.60294294120673,32.0,3.0,74.65642499256553,5.0,0.0,0.0,0.0,0.0
60.0,swap,74.45336027628744,32.0,3.0,74.65642499256553,5.0,0.0,1.0,0.0,0.0
60.0,stop,74.5559015470189,33.0,0.0,74.55590154701892,8.0,0.0,0.0,0.0,0.0
61.0,swap,74.63416553902061,34.0,1.0,74.53634311708147,7.0,0.0,0.0,1.0,0.0
62.0,swap,74.63416553902061,35.0,2.0,74.63416553902061,7.0,0.0,0.0,1.0,0.0
63.0,stop,74.63416553902061,35.0,1.0,74.63416553902061,7.0,0.0,0.0,1.0,0.0
64.0,add,74.63416553902061,35.0,2.0,74.63416553902061,7.0,0.0,0.0,1.0,1.0
