budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,stop,74.5559015470189,1.0,0.0,74.5559015470189,8.0,0.0,0.0,0.0,0.0
2.0,add,74.55528324263064,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
3.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
4.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
5.0,add,74.57261195420483,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
6.0,add,74.52311383999778,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
7.0,add,74.55590154701889,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
8.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
9.0,add,74.60234456348579,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
10.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
11.0,add,74.57327695331372,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
12.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
13.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
14.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
15.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
16.0,add,74.53914513746572,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
17.0,add,74.54609523151865,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
18.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
19.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
20.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
21.0,add,74.5478695352056,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
22.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
23.0,add,74.55590154701889,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
24.0,add,74.47745221263668,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
25.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
26.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
27.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
28.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
29.0,add,74.53484327802148,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
30.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
31.0,add,74.54609523151865,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
32.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
33.0,add,74.55590290851059,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
34.0,add,74.5021517583147,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
35.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
36.0,add,74.55070268330887,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
37.0,add,74.5478695352056,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
38.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
39.0,add,74.55590154701889,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
40.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
41.0,add,74.55590154701889,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
42.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
43.0,add,74.5478695352056,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
44.0,add,74.55875758615066,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
45.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
46.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
47.0,add,74.55072601816535,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
48.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
49.0,add,74.55590154701889,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
50.0,add,74.55805747858165,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
51.0,add,74.54806480580707,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
52.0,add,74.56248849074487,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
53.0,add,74.59000369824548,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
54.0,delete,74.62234247519794,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
55.0,delete,74.53988496986284,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
56.0,delete,74.49605353349583,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
57.0,delete,74.54076886114966,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
58.0,delete,74.63416553902063,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
59.0,delete,74.57922355224049,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
60.0,delete,74.62027420950717,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
61.0,delete,74.55316758757426,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
62.0,swap,74.52413721830449,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
63.0,swap,74.61704527137262,1.0,1.0,74.5559015470189,7.0,0.0,1.0,0.0,0.0
64.0,swap,74.49605353349583,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
65.0,swap,74.53869412952346,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
66.0,swap,74.63416553902061,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
67.0,swap,74.66782217547768,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
68.0,swap,74.55316758757426,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
69.0,swap,74.49605353349584,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
70.0,swap,74.64682793817009,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
71.0,swap,74.63271280099423,1.0,1.0,74.5559015470189,7.0,0.0,1.0,0.0,0.0
72.0,swap,74.64724884559256,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
73.0,swap,74.5531675875743,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
74.0,swap,74.5368652609971,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
75.0,swap,74.72433022684693,1.0,1.0,74.5559015470189,7.0,0.0,1.0,0.0,0.0
76.0,swap,74.63416553902063,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
77.0,swap,74.46793342277985,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
78.0,swap,74.52053912416808,1.0,1.0,74.5559015470189,7.0,0.0,1.0,0.0,0.0
79.0,swap,74.62816729819826,1.0,1.0,74.5559015470189,7.0,0.0,1.0,0.0,0.0
80.0,swap,74.60822688223327,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
