budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
2.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
3.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
4.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
5.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
6.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
7.0,add_rx,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
8.0,add_rx,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
9.0,add_rx,0.042078979774733405,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
10.0,add_rx,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
11.0,add_ry,0.08729650460028406,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
12.0,add_ry,-0.09727311481821706,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
13.0,add_ry,0.18625428522814477,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
14.0,add_ry,0.26847702260414513,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
15.0,add_rz,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
16.0,add_rz,0.04207897977473336,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
17.0,add_rz,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
18.0,add_rz,0.042078979774733405,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
19.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
20.0,delete,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
21.0,delete,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
22.0,delete,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
23.0,add_cx,-0.07257653955246576,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,0.0,1.0
24.0,add_cx,-0.07257653955246574,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,0.0,1.0
25.0,add_cx,0.26847702260414513,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,0.0,1.0
26.0,add_cx,0.26847702260414513,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,0.0,1.0
27.0,add_cx,0.26847702260414513,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,0.0,1.0
28.0,add_cx,-0.1640650463911967,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,0.0,1.0
29.0,add_rx,0.2684770226041451,2.0,2.0,0.26847702260414513,4.0,1.0,1.0,0.0,0.0
30.0,add_rx,-0.1805698692632725,2.0,2.0,0.26847702260414513,4.0,1.0,1.0,0.0,0.0
31.0,add_rx,0.26847702260414513,2.0,2.0,0.26847702260414513,4.0,1.0,1.0,0.0,0.0
32.0,add_rx,0.2684770226041451,2.0,2.0,0.26847702260414513,4.0,1.0,1.0,0.0,0.0
33.0,add_ry,-0.0108177242243771,2.0,2.0,0.26847702260414513,4.0,0.0,2.0,0.0,0.0
34.0,add_ry,0.09049058466821262,2.0,2.0,0.26847702260414513,4.0,0.0,2.0,0.0,0.0
35.0,add_ry,0.11518298454291383,2.0,2.0,0.26847702260414513,4.0,0.0,2.0,0.0,0.0
36.0,add_ry,0.3281949197150623,2.0,2.0,0.26847702260414513,4.0,0.0,2.0,0.0,0.0
37.0,add_rz,0.2684770226041452,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,1.0,0.0
38.0,add_rz,0.26847702260414513,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,1.0,0.0
39.0,add_rz,0.26847702260414513,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,1.0,0.0
40.0,add_rz,0.26847702260414513,2.0,2.0,0.26847702260414513,4.0,0.0,1.0,1.0,0.0
41.0,delete,-0.02389137236758782,2.0,2.0,0.26847702260414513,3.0,0.0,1.0,0.0,0.0
42.0,delete,0.04207897977473338,2.0,2.0,0.26847702260414513,4.0,0.0,0.0,0.0,0.0
43.0,delete,0.1296460644528572,2.0,2.0,0.26847702260414513,3.0,0.0,1.0,0.0,0.0
44.0,delete,-0.06562832553622854,2.0,2.0,0.26847702260414513,3.0,0.0,1.0,0.0,0.0
45.0,delete,0.34681275200481315,2.0,2.0,0.26847702260414513,3.0,0.0,1.0,0.0,0.0
46.0,add_cx,-0.0808540709003046,3.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
47.0,add_cx,0.28482178217269094,3.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
48.0,add_cx,-0.08085407090030462,3.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
49.0,add_cx,-0.17894757144338067,3.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
50.0,add_cx,0.28482178217269094,3.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
51.0,add_cx,0.28482178217269094,3.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
52.0,add_rx,0.2848217821726909,3.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
53.0,add_rx,0.28482178217269094,3.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
54.0,add_rx,-0.18181582759417694,3.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
55.0,add_rx,0.28482178217269094,3.0,2.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
56.0,add_ry,0.375884970817978,3.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
57.0,add_ry,0.24051854963734923,3.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
