budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add_cx,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
2.0,add_rx,0.04207897977473336,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
3.0,add_ry,0.0936737900247869,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
4.0,add_rz,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
5.0,delete,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
6.0,add_cx,0.01594964716267744,2.0,2.0,0.0936737900247869,4.0,0.0,1.0,0.0,1.0
7.0,add_rx,0.09367379002478689,2.0,2.0,0.0936737900247869,4.0,1.0,1.0,0.0,0.0
8.0,add_ry,-0.0038855467978227004,2.0,2.0,0.0936737900247869,4.0,0.0,2.0,0.0,0.0
9.0,add_rz,0.09367379002478698,2.0,2.0,0.0936737900247869,4.0,0.0,1.0,1.0,0.0
10.0,delete,0.04207897977473338,2.0,2.0,0.0936737900247869,4.0,0.0,0.0,0.0,0.0
11.0,add_cx,0.04207897977473338,3.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,2.0
12.0,add_rx,0.04207897977473342,3.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
13.0,add_ry,0.13596414758540518,3.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
14.0,add_rz,0.042078979774733405,3.0,2.0,0.04207897977473338,4.0,0.0,0.0,1.0,1.0
15.0,delete,0.04207897977473338,3.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
16.0,add_cx,0.04207897977473336,4.0,2.0,0.04207897977473336,4.0,1.0,0.0,0.0,1.0
17.0,add_rx,0.04207897977473339,4.0,2.0,0.04207897977473336,4.0,2.0,0.0,0.0,0.0
18.0,add_ry,0.060983108127577505,4.0,2.0,0.04207897977473336,4.0,1.0,1.0,0.0,0.0
19.0,add_rz,0.042078979774733405,4.0,2.0,0.04207897977473336,4.0,1.0,0.0,1.0,0.0
20.0,delete,0.04207897977473338,4.0,2.0,0.04207897977473336,4.0,0.0,0.0,0.0,0.0
21.0,add_cx,0.04207897977473339,5.0,2.0,0.04207897977473339,4.0,0.0,0.0,1.0,1.0
22.0,add_rx,0.04207897977473339,5.0,2.0,0.04207897977473339,4.0,1.0,0.0,1.0,0.0
23.0,add_ry,0.17647371170349802,5.0,2.0,0.04207897977473339,4.0,0.0,1.0,1.0,0.0
24.0,add_rz,0.042078979774733405,5.0,2.0,0.04207897977473339,4.0,0.0,0.0,2.0,0.0
25.0,delete,-0.1356338958698004,5.0,2.0,0.04207897977473339,3.0,0.0,0.0,1.0,0.0
26.0,add_cx,-0.13563389586980043,6.0,2.0,-0.13563389586980043,3.0,0.0,0.0,0.0,1.0
27.0,add_rx,0.1614496161233039,6.0,2.0,-0.13563389586980043,3.0,1.0,0.0,0.0,0.0
28.0,add_ry,-0.13098733181683883,6.0,2.0,-0.13563389586980043,3.0,0.0,1.0,0.0,0.0
29.0,add_rz,-0.13563389586980043,6.0,2.0,-0.13563389586980043,3.0,0.0,0.0,1.0,0.0
30.0,delete,-0.060574287960367845,6.0,2.0,-0.13563389586980043,2.0,0.0,0.0,0.0,0.0
31.0,add_cx,0.04207897977473338,7.0,1.0,0.05772650774317869,4.0,0.0,0.0,0.0,1.0
32.0,add_ry,0.17704523273034523,8.0,1.0,0.05586074170232482,4.0,0.0,1.0,0.0,0.0
33.0,add_cx,0.17704523273034523,9.0,2.0,0.17704523273034523,4.0,0.0,1.0,0.0,1.0
34.0,add_rx,0.17704523273034534,9.0,2.0,0.17704523273034523,4.0,1.0,1.0,0.0,0.0
35.0,add_ry,0.17119068427555778,9.0,2.0,0.17704523273034523,4.0,0.0,2.0,0.0,0.0
36.0,add_rz,0.17704523273034523,9.0,2.0,0.17704523273034523,4.0,0.0,1.0,1.0,0.0
37.0,delete,0.04207897977473338,9.0,2.0,0.17704523273034523,4.0,0.0,0.0,0.0,0.0
38.0,add_rx,0.042078979774733405,10.0,1.0,0.04522966783354073,4.0,1.0,0.0,0.0,0.0
39.0,add_rz,0.04207897977473339,11.0,1.0,0.03485928915543853,4.0,0.0,0.0,1.0,0.0
40.0,add_cx,0.04207897977473338,12.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,2.0
41.0,add_rx,0.042078979774733405,12.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
42.0,add_ry,-0.07158236455518299,12.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
43.0,add_rz,0.04207897977473338,12.0,2.0,0.04207897977473338,4.0,0.0,0.0,1.0,1.0
44.0,delete,0.04207897977473338,12.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
45.0,add_cx,0.042078979774733405,13.0,2.0,0.042078979774733405,4.0,1.0,0.0,0.0,1.0
46.0,add_rx,0.04207897977473343,13.0,2.0,0.042078979774733405,4.0,2.0,0.0,0.0,0.0
47.0,add_ry,-0.1954668326729022,13.0,2.0,0.042078979774733405,4.0,1.0,1.0,0.0,0.0
48.0,add_rz,0.04207897977473338,13.0,2.0,0.042078979774733405,4.0,1.0,0.0,1.0,0.0
49.0,delete,0.2848217821726909,13.0,2.0,0.042078979774733405,3.0,1.0,0.0,0.0,0.0
50.0,add_cx,0.042078979774733405,14.0,2.0,0.04207897977473339,4.0,0.0,0.0,1.0,1.0
51.0,add_rx,0.04207897977473339,14.0,2.0,0.04207897977473339,4.0,1.0,0.0,1.0,0.0
52.0,add_ry,-0.022290007396582823,14.0,2.0,0.04207897977473339,4.0,0.0,1.0,1.0,0.0
53.0,add_rz,0.018456563521002833,14.0,2.0,0.04207897977473339,4.0,0.0,0.0,2.0,0.0
54.0,delete,0.28482178217269094,14.0,2.0,0.04207897977473339,3.0,0.0,0.0,1.0,0.0
55.0,add_ry,0.2574158479214691,15.0,1.0,0.10471792043213508,4.0,0.0,1.0,0.0,0.0
56.0,add_cx,-0.06697479179987287,16.0,2.0,0.2574158479214691,4.0,0.0,1.0,0.0,1.0
57.0,add_rx,0.2574158479214691,16.0,2.0,0.2574158479214691,4.0,1.0,1.0,0.0,0.0
