budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701899,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
2.0,add_rx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,1.0,0.0,0.0,0.0
3.0,add_ry,74.5218589801293,1.0,1.0,74.55590154701899,8.0,0.0,1.0,0.0,0.0
4.0,add_rz,74.55600557281541,1.0,1.0,74.55590154701899,8.0,0.0,0.0,1.0,0.0
5.0,delete,74.57922355224055,1.0,1.0,74.55590154701899,7.0,0.0,0.0,0.0,0.0
6.0,add_cx,74.56795387548833,2.0,2.0,74.57922355224055,7.0,0.0,0.0,0.0,1.0
7.0,add_rx,74.57922355224055,2.0,2.0,74.57922355224055,7.0,1.0,0.0,0.0,0.0
8.0,add_ry,74.57533144396554,2.0,2.0,74.57922355224055,7.0,0.0,1.0,0.0,0.0
9.0,add_rz,74.58528450468611,2.0,2.0,74.57922355224055,7.0,0.0,0.0,1.0,0.0
10.0,delete,74.63342952765274,2.0,2.0,74.57922355224055,6.0,0.0,0.0,0.0,0.0
11.0,add_cx,74.55600557281541,3.0,2.0,74.55600557281541,8.0,0.0,0.0,1.0,1.0
12.0,add_rx,74.55600557281541,3.0,2.0,74.55600557281541,8.0,1.0,0.0,1.0,0.0
13.0,add_ry,74.53605849976215,3.0,2.0,74.55600557281541,8.0,0.0,1.0,1.0,0.0
14.0,add_rz,74.56479322515479,3.0,2.0,74.55600557281541,8.0,0.0,0.0,2.0,0.0
15.0,delete,74.54008309745004,3.0,2.0,74.55600557281541,7.0,0.0,0.0,1.0,0.0
16.0,add_cx,74.54786953520569,4.0,2.0,74.55590154701899,8.0,0.0,0.0,0.0,2.0
17.0,add_rx,74.55590154701899,4.0,2.0,74.55590154701899,8.0,1.0,0.0,0.0,1.0
18.0,add_ry,74.49122522425432,4.0,2.0,74.55590154701899,8.0,0.0,1.0,0.0,1.0
19.0,add_rz,74.56505410681359,4.0,2.0,74.55590154701899,8.0,0.0,0.0,1.0,1.0
20.0,delete,74.63416553902067,4.0,2.0,74.55590154701899,7.0,0.0,0.0,0.0,1.0
21.0,add_cx,74.55590154701899,5.0,2.0,74.55590154701899,8.0,1.0,0.0,0.0,1.0
22.0,add_rx,74.55590154701899,5.0,2.0,74.55590154701899,8.0,2.0,0.0,0.0,0.0
23.0,add_ry,74.56884119516063,5.0,2.0,74.55590154701899,8.0,1.0,1.0,0.0,0.0
24.0,add_rz,74.57507277887147,5.0,2.0,74.55590154701899,8.0,1.0,0.0,1.0,0.0
25.0,delete,74.622342475198,5.0,2.0,74.55590154701899,7.0,1.0,0.0,0.0,0.0
