budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.824392995344755,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add_cx,5.824392995344755,1.0,1.0,5.824392995344755,10.0,0.0,0.0,0.0,1.0
2.0,add_rx,5.824392995344756,1.0,1.0,5.824392995344755,10.0,1.0,0.0,0.0,0.0
3.0,add_ry,5.487273629803834,1.0,1.0,5.824392995344755,10.0,0.0,1.0,0.0,0.0
4.0,add_rz,5.821985594079257,1.0,1.0,5.824392995344755,10.0,0.0,0.0,1.0,0.0
5.0,delete,6.217882006436479,1.0,1.0,5.824392995344755,9.0,0.0,0.0,0.0,0.0
6.0,add_cx,6.217882006436479,2.0,2.0,6.217882006436479,9.0,0.0,0.0,0.0,1.0
7.0,add_rx,6.217882006436479,2.0,2.0,6.217882006436479,9.0,1.0,0.0,0.0,0.0
8.0,add_ry,6.650823882529547,2.0,2.0,6.217882006436479,9.0,0.0,1.0,0.0,0.0
9.0,add_rz,6.209655019335497,2.0,2.0,6.217882006436479,9.0,0.0,0.0,1.0,0.0
10.0,delete,6.588031986527561,2.0,2.0,6.217882006436479,8.0,0.0,0.0,0.0,0.0
11.0,delete,5.53287725382069,3.0,1.0,6.350359484617006,9.0,0.0,0.0,0.0,0.0
12.0,add_cx,6.650823882529547,4.0,3.0,6.650823882529547,9.0,0.0,1.0,0.0,1.0
13.0,add_rx,6.592387999183127,4.0,3.0,6.650823882529547,9.0,1.0,1.0,0.0,0.0
14.0,add_ry,6.542227813571302,4.0,3.0,6.650823882529547,9.0,0.0,2.0,0.0,0.0
15.0,add_rz,6.650823882529547,4.0,3.0,6.650823882529547,9.0,0.0,1.0,1.0,0.0
16.0,delete,6.968063457755436,4.0,3.0,6.650823882529547,8.0,0.0,1.0,0.0,0.0
17.0,delete,6.25484418510609,5.0,1.0,6.419946766424307,9.0,0.0,0.0,0.0,0.0
18.0,add_cx,6.25484418510609,6.0,2.0,6.25484418510609,9.0,0.0,0.0,0.0,1.0
19.0,add_rx,6.254844185106088,6.0,2.0,6.25484418510609,9.0,1.0,0.0,0.0,0.0
20.0,add_ry,5.758966488907362,6.0,2.0,6.25484418510609,9.0,0.0,1.0,0.0,0.0
21.0,add_rz,6.255071998879722,6.0,2.0,6.25484418510609,9.0,0.0,0.0,1.0,0.0
22.0,delete,6.619670532950319,6.0,2.0,6.25484418510609,8.0,0.0,0.0,0.0,0.0
23.0,add_cx,5.824392995344756,7.0,2.0,5.824392995344756,10.0,1.0,0.0,0.0,1.0
24.0,add_rx,5.824392995344756,7.0,2.0,5.824392995344756,10.0,2.0,0.0,0.0,0.0
25.0,add_ry,5.852220335715919,7.0,2.0,5.824392995344756,10.0,1.0,1.0,0.0,0.0
26.0,add_rz,5.80186869765992,7.0,2.0,5.824392995344756,10.0,1.0,0.0,1.0,0.0
27.0,delete,5.532877253820689,7.0,2.0,5.824392995344756,9.0,1.0,0.0,0.0,0.0
28.0,add_cx,5.824392995344755,8.0,2.0,5.824392995344755,10.0,0.0,0.0,0.0,2.0
29.0,add_rx,5.824392995344755,8.0,2.0,5.824392995344755,10.0,1.0,0.0,0.0,1.0
30.0,add_ry,5.841142680074693,8.0,2.0,5.824392995344755,10.0,0.0,1.0,0.0,1.0
31.0,add_rz,5.80122719841269,8.0,2.0,5.824392995344755,10.0,0.0,0.0,1.0,1.0
32.0,delete,5.513755499676434,8.0,2.0,5.824392995344755,9.0,0.0,0.0,0.0,1.0
33.0,add_cx,5.821985594079257,9.0,2.0,5.821985594079257,10.0,0.0,0.0,1.0,1.0
34.0,add_rx,5.821985594079258,9.0,2.0,5.821985594079257,10.0,1.0,0.0,1.0,0.0
35.0,add_ry,6.098160835717821,9.0,2.0,5.821985594079257,10.0,0.0,1.0,1.0,0.0
36.0,add_rz,5.816468694741965,9.0,2.0,5.821985594079257,10.0,0.0,0.0,2.0,0.0
37.0,delete,6.384341274193537,9.0,2.0,5.821985594079257,9.0,0.0,0.0,1.0,0.0
38.0,add_cx,6.588031986527561,10.0,3.0,6.588031986527561,8.0,0.0,0.0,0.0,1.0
39.0,add_rx,6.588031986527561,10.0,3.0,6.588031986527561,8.0,1.0,0.0,0.0,0.0
40.0,add_ry,6.435180534328068,10.0,3.0,6.588031986527561,8.0,0.0,1.0,0.0,0.0
41.0,add_rz,6.567445519949799,10.0,3.0,6.588031986527561,8.0,0.0,0.0,1.0,0.0
42.0,delete,6.809754194847352,10.0,3.0,6.588031986527561,7.0,0.0,0.0,0.0,0.0
43.0,add_ry,6.298728746659486,11.0,2.0,6.6758584863497505,9.0,0.0,1.0,0.0,0.0
44.0,add_cx,6.217882006436479,12.0,3.0,6.217882006436479,9.0,0.0,0.0,0.0,2.0
45.0,add_rx,6.217882006436479,12.0,3.0,6.217882006436479,9.0,1.0,0.0,0.0,1.0
46.0,add_ry,6.55284610168973,12.0,3.0,6.217882006436479,9.0,0.0,1.0,0.0,1.0
47.0,add_rz,6.2061406104984895,12.0,3.0,6.217882006436479,9.0,0.0,0.0,1.0,1.0
48.0,delete,6.152764121624955,12.0,3.0,6.217882006436479,8.0,0.0,0.0,0.0,1.0
49.0,add_cx,6.217882006436479,13.0,3.0,6.217882006436479,9.0,1.0,0.0,0.0,1.0
50.0,add_rx,6.2178820064364775,13.0,3.0,6.217882006436479,9.0,2.0,0.0,0.0,0.0
51.0,add_ry,6.437757120019024,13.0,3.0,6.217882006436479,9.0,1.0,1.0,0.0,0.0
52.0,add_rz,6.202859152269294,13.0,3.0,6.217882006436479,9.0,1.0,0.0,1.0,0.0
53.0,delete,5.963141377338909,13.0,3.0,6.217882006436479,8.0,1.0,0.0,0.0,0.0
54.0,add_cx,6.209655019335497,14.0,3.0,6.209655019335497,9.0,0.0,0.0,1.0,1.0
55.0,add_rx,6.209655019335497,14.0,3.0,6.209655019335497,9.0,1.0,0.0,1.0,0.0
56.0,add_ry,6.707169573918497,14.0,3.0,6.209655019335497,9.0,0.0,1.0,1.0,0.0
57.0,add_rz,6.212869896770377,14.0,3.0,6.209655019335497,9.0,0.0,0.0,2.0,0.0
58.0,delete,6.569456870008958,14.0,3.0,6.209655019335497,8.0,0.0,0.0,1.0,0.0
59.0,delete,6.20264162547285,15.0,1.0,6.359503041808777,9.0,0.0,0.0,0.0,0.0
60.0,add_cx,6.20264162547285,16.0,2.0,6.20264162547285,9.0,0.0,0.0,0.0,1.0
61.0,add_rx,5.446470098173464,16.0,2.0,6.20264162547285,9.0,1.0,0.0,0.0,0.0
62.0,add_ry,5.7209595528610215,16.0,2.0,6.20264162547285,9.0,0.0,1.0,0.0,0.0
63.0,add_rz,6.202641625472848,16.0,2.0,6.20264162547285,9.0,0.0,0.0,1.0,0.0
64.0,delete,6.727003725807621,16.0,2.0,6.20264162547285,8.0,0.0,0.0,0.0,0.0
65.0,add_cx,6.619670532950319,17.0,3.0,6.619670532950319,8.0,0.0,0.0,0.0,1.0
66.0,add_rx,6.619670532950318,17.0,3.0,6.619670532950319,8.0,1.0,0.0,0.0,0.0
67.0,add_ry,6.874350328449746,17.0,3.0,6.619670532950319,8.0,0.0,1.0,0.0,0.0
68.0,add_rz,6.619670532950318,17.0,3.0,6.619670532950319,8.0,0.0,0.0,1.0,0.0
69.0,delete,6.897245600575026,17.0,3.0,6.619670532950319,7.0,0.0,0.0,0.0,0.0
70.0,delete,6.577683857110079,18.0,2.0,6.708379676804341,8.0,0.0,0.0,0.0,0.0
71.0,add_cx,6.577683857110079,19.0,3.0,6.577683857110079,8.0,0.0,0.0,0.0,1.0
72.0,add_rx,6.577683857110079,19.0,3.0,6.577683857110079,8.0,1.0,0.0,0.0,0.0
73.0,add_ry,6.696984184058925,19.0,3.0,6.577683857110079,8.0,0.0,1.0,0.0,0.0
74.0,add_rz,6.577407437257171,19.0,3.0,6.577683857110079,8.0,0.0,0.0,1.0,0.0
75.0,delete,6.809754194847458,19.0,3.0,6.577683857110079,7.0,0.0,0.0,0.0,0.0
76.0,add_cx,6.255071998879722,20.0,3.0,6.255071998879722,9.0,0.0,0.0,1.0,1.0
77.0,add_rx,6.255071998879724,20.0,3.0,6.255071998879722,9.0,1.0,0.0,1.0,0.0
78.0,add_ry,6.305633581081256,20.0,3.0,6.255071998879722,9.0,0.0,1.0,1.0,0.0
79.0,add_rz,6.240023797801814,20.0,3.0,6.255071998879722,9.0,0.0,0.0,2.0,0.0
80.0,delete,6.023052014985853,20.0,3.0,6.255071998879722,8.0,0.0,0.0,1.0,0.0
81.0,add_cx,6.231543842644163,21.0,3.0,6.25484418510609,9.0,0.0,0.0,0.0,2.0
82.0,add_rx,6.254844185106089,21.0,3.0,6.25484418510609,9.0,1.0,0.0,0.0,1.0
83.0,add_ry,6.3477824701340975,21.0,3.0,6.25484418510609,9.0,0.0,1.0,0.0,1.0
84.0,add_rz,6.254513421344217,21.0,3.0,6.25484418510609,9.0,0.0,0.0,1.0,1.0
85.0,delete,6.006283012775667,21.0,3.0,6.25484418510609,8.0,0.0,0.0,0.0,1.0
86.0,add_cx,6.254844185106088,22.0,3.0,6.254844185106088,9.0,1.0,0.0,0.0,1.0
87.0,add_rx,6.25484418510609,22.0,3.0,6.254844185106088,9.0,2.0,0.0,0.0,0.0
88.0,add_ry,6.025178158824847,22.0,3.0,6.254844185106088,9.0,1.0,1.0,0.0,0.0
89.0,add_rz,6.25435628900731,22.0,3.0,6.254844185106088,9.0,1.0,0.0,1.0,0.0
90.0,delete,6.566686250028924,22.0,3.0,6.254844185106088,8.0,1.0,0.0,0.0,0.0
91.0,add_cx,6.968063457755436,23.0,4.0,6.968063457755436,8.0,0.0,1.0,0.0,1.0
92.0,add_rx,6.968063457755436,23.0,4.0,6.968063457755436,8.0,1.0,1.0,0.0,0.0
93.0,add_ry,7.187374059360653,23.0,4.0,6.968063457755436,8.0,0.0,2.0,0.0,0.0
94.0,add_rz,6.96581675997426,23.0,4.0,6.968063457755436,8.0,0.0,1.0,1.0,0.0
95.0,delete,6.853515578980493,23.0,4.0,6.968063457755436,7.0,0.0,1.0,0.0,0.0
96.0,add_ry,6.150779321776608,24.0,2.0,6.774726081548689,9.0,0.0,1.0,0.0,0.0
97.0,add_cx,6.650823882529547,25.0,4.0,6.650823882529547,9.0,0.0,1.0,0.0,2.0
98.0,add_rx,6.650823882529547,25.0,4.0,6.650823882529547,9.0,1.0,1.0,0.0,1.0
99.0,add_ry,6.647996465295187,25.0,4.0,6.650823882529547,9.0,0.0,2.0,0.0,1.0
100.0,add_rz,6.648918816915118,25.0,4.0,6.650823882529547,9.0,0.0,1.0,1.0,1.0
101.0,delete,6.96806345775556,25.0,4.0,6.650823882529547,8.0,0.0,1.0,0.0,1.0
102.0,delete,6.515004926055902,26.0,2.0,6.596079368117984,8.0,0.0,0.0,0.0,0.0
103.0,add_cx,6.2754284041975525,27.0,3.0,6.298728746659486,9.0,0.0,1.0,0.0,1.0
104.0,add_rx,5.896771255767982,27.0,3.0,6.298728746659486,9.0,1.0,1.0,0.0,0.0
105.0,add_ry,6.251306977888875,27.0,3.0,6.298728746659486,9.0,0.0,2.0,0.0,0.0
106.0,add_rz,6.3071523828430704,27.0,3.0,6.298728746659486,9.0,0.0,1.0,1.0,0.0
107.0,delete,5.865214558291571,27.0,3.0,6.298728746659486,8.0,0.0,1.0,0.0,0.0
108.0,add_cx,6.515004926055902,28.0,3.0,6.515004926055902,8.0,0.0,0.0,0.0,1.0
109.0,add_rx,6.515004926055902,28.0,3.0,6.515004926055902,8.0,1.0,0.0,0.0,0.0
110.0,add_ry,6.5128754690529265,28.0,3.0,6.515004926055902,8.0,0.0,1.0,0.0,0.0
111.0,add_rz,6.515004926055903,28.0,3.0,6.515004926055902,8.0,0.0,0.0,1.0,0.0
112.0,delete,6.809754194847352,28.0,3.0,6.515004926055902,7.0,0.0,0.0,0.0,0.0
113.0,delete,6.588031986527706,29.0,2.0,6.579927131402649,8.0,0.0,0.0,0.0,0.0
114.0,add_cx,6.588031986527706,30.0,3.0,6.588031986527706,8.0,0.0,0.0,0.0,1.0
115.0,add_rx,6.567296847739322,30.0,3.0,6.588031986527706,8.0,1.0,0.0,0.0,0.0
116.0,add_ry,6.710613376127624,30.0,3.0,6.588031986527706,8.0,0.0,1.0,0.0,0.0
117.0,add_rz,6.584859677711132,30.0,3.0,6.588031986527706,8.0,0.0,0.0,1.0,0.0
118.0,delete,6.408101364036566,30.0,3.0,6.588031986527706,7.0,0.0,0.0,0.0,0.0
119.0,add_cx,6.809754194847352,31.0,4.0,6.809754194847352,7.0,0.0,0.0,0.0,1.0
120.0,add_rx,6.8097541948473514,31.0,4.0,6.809754194847352,7.0,1.0,0.0,0.0,0.0
121.0,add_ry,6.610428391490945,31.0,4.0,6.809754194847352,7.0,0.0,1.0,0.0,0.0
122.0,add_rz,6.8097541948473514,31.0,4.0,6.809754194847352,7.0,0.0,0.0,1.0,0.0
123.0,delete,7.038878621721962,31.0,4.0,6.809754194847352,6.0,0.0,0.0,0.0,0.0
124.0,delete,6.384873714194658,32.0,1.0,6.439084404952343,9.0,0.0,0.0,0.0,0.0
125.0,add_cx,6.384873714194658,33.0,2.0,6.384873714194658,9.0,0.0,0.0,0.0,1.0
126.0,add_rx,6.384873714194659,33.0,2.0,6.384873714194658,9.0,1.0,0.0,0.0,0.0
127.0,add_ry,6.219537475313459,33.0,2.0,6.384873714194658,9.0,0.0,1.0,0.0,0.0
128.0,add_rz,6.387983147528209,33.0,2.0,6.384873714194658,9.0,0.0,0.0,1.0,0.0
129.0,delete,6.718049907171056,33.0,2.0,6.384873714194658,8.0,0.0,0.0,0.0,0.0
130.0,add_cx,6.718049907171056,34.0,3.0,6.718049907171056,8.0,0.0,0.0,0.0,1.0
131.0,add_rx,6.718049907171056,34.0,3.0,6.718049907171056,8.0,1.0,0.0,0.0,0.0
132.0,add_ry,6.593395902496534,34.0,3.0,6.718049907171056,8.0,0.0,1.0,0.0,0.0
133.0,add_rz,6.718049907171055,34.0,3.0,6.718049907171056,8.0,0.0,0.0,1.0,0.0
134.0,delete,7.015544558654746,34.0,3.0,6.718049907171056,7.0,0.0,0.0,0.0,0.0
135.0,add_cx,6.387983147528209,35.0,3.0,6.387983147528209,9.0,0.0,0.0,1.0,1.0
136.0,add_rx,6.38798314752821,35.0,3.0,6.387983147528209,9.0,1.0,0.0,1.0,0.0
137.0,add_ry,6.209713017817017,35.0,3.0,6.387983147528209,9.0,0.0,1.0,1.0,0.0
