budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add_cx,0.9346645654712499,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
2.0,add_rx,0.934664565471252,1.0,1.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
3.0,add_ry,0.5834871011550333,1.0,1.0,0.9346645654712499,4.0,0.0,1.0,0.0,0.0
4.0,add_rz,0.9288459652466221,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,1.0,0.0
5.0,delete,0.41493656343447627,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
6.0,add_cx,0.934664565471252,2.0,2.0,0.934664565471252,4.0,1.0,0.0,0.0,1.0
7.0,add_rx,0.9346645654712504,2.0,2.0,0.934664565471252,4.0,2.0,0.0,0.0,0.0
8.0,add_ry,0.08335340675815854,2.0,2.0,0.934664565471252,4.0,1.0,1.0,0.0,0.0
9.0,add_rz,0.9288459652466206,2.0,2.0,0.934664565471252,4.0,1.0,0.0,1.0,0.0
10.0,delete,0.2677858814627586,2.0,2.0,0.934664565471252,3.0,1.0,0.0,0.0,0.0
11.0,add_cx,0.9346645654712499,3.0,2.0,0.9346645654712499,4.0,0.0,0.0,0.0,2.0
12.0,add_rx,0.9346645654712509,3.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
13.0,add_ry,0.9038001679195364,3.0,2.0,0.9346645654712499,4.0,0.0,1.0,0.0,1.0
14.0,add_rz,0.9318978893120227,3.0,2.0,0.9346645654712499,4.0,0.0,0.0,1.0,1.0
15.0,delete,0.2865047968601896,3.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
16.0,add_cx,0.9288459652466221,4.0,2.0,0.9288459652466221,4.0,0.0,0.0,1.0,1.0
17.0,add_rx,0.9288459652466227,4.0,2.0,0.9288459652466221,4.0,1.0,0.0,1.0,0.0
18.0,add_ry,0.08588171171965614,4.0,2.0,0.9288459652466221,4.0,0.0,1.0,1.0,0.0
19.0,add_rz,0.9230635877588187,4.0,2.0,0.9288459652466221,4.0,0.0,0.0,2.0,0.0
20.0,delete,0.9346645654712499,4.0,2.0,0.9288459652466221,4.0,0.0,0.0,0.0,0.0
21.0,add_cx,0.5834871011550333,5.0,2.0,0.5834871011550333,4.0,0.0,1.0,0.0,1.0
22.0,add_rx,0.5834871011550337,5.0,2.0,0.5834871011550333,4.0,1.0,1.0,0.0,0.0
23.0,add_ry,0.621609289423927,5.0,2.0,0.5834871011550333,4.0,0.0,2.0,0.0,0.0
24.0,add_rz,0.5812212052880082,5.0,2.0,0.5834871011550333,4.0,0.0,1.0,1.0,0.0
25.0,delete,0.10073344097207913,5.0,2.0,0.5834871011550333,3.0,0.0,1.0,0.0,0.0
26.0,add_cx,0.41493656343447627,6.0,2.0,0.41493656343447627,3.0,0.0,0.0,0.0,1.0
27.0,add_rx,0.41493656343447655,6.0,2.0,0.41493656343447627,3.0,1.0,0.0,0.0,0.0
28.0,add_ry,0.13750926783614062,6.0,2.0,0.41493656343447627,3.0,0.0,1.0,0.0,0.0
29.0,add_rz,0.4123534442381372,6.0,2.0,0.41493656343447627,3.0,0.0,0.0,1.0,0.0
30.0,delete,0.11888131581666003,6.0,2.0,0.41493656343447627,2.0,0.0,0.0,0.0,0.0
31.0,add_cx,0.9346645654712499,7.0,1.0,0.8210327584175832,4.0,0.0,0.0,0.0,1.0
32.0,add_cx,0.9346645654712499,8.0,2.0,0.9346645654712499,4.0,0.0,0.0,0.0,2.0
33.0,add_rx,0.9346645654712499,8.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
34.0,add_ry,0.14693414683907546,8.0,2.0,0.9346645654712499,4.0,0.0,1.0,0.0,1.0
35.0,add_rz,0.9318978893120227,8.0,2.0,0.9346645654712499,4.0,0.0,0.0,1.0,1.0
36.0,delete,0.2865047968601896,8.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
37.0,add_rz,0.9291595560712466,9.0,1.0,0.788357960114932,4.0,0.0,0.0,1.0,0.0
38.0,add_cx,0.9291595560712466,10.0,2.0,0.9291595560712466,4.0,0.0,0.0,1.0,1.0
39.0,add_rx,0.929159556071247,10.0,2.0,0.9291595560712466,4.0,1.0,0.0,1.0,0.0
40.0,add_ry,0.9130374911104919,10.0,2.0,0.9291595560712466,4.0,0.0,1.0,1.0,0.0
41.0,add_rz,0.912892186516541,10.0,2.0,0.9291595560712466,4.0,0.0,0.0,2.0,0.0
42.0,delete,0.9346645654712499,10.0,2.0,0.9291595560712466,4.0,0.0,0.0,0.0,0.0
43.0,add_rz,0.9288459652466221,11.0,1.0,0.8565183893334679,4.0,0.0,0.0,1.0,0.0
44.0,add_cx,0.9233752263754419,12.0,2.0,0.9288459652466221,4.0,0.0,0.0,1.0,1.0
45.0,add_rx,0.9288459652466221,12.0,2.0,0.9288459652466221,4.0,1.0,0.0,1.0,0.0
46.0,add_ry,0.9549583151415793,12.0,2.0,0.9288459652466221,4.0,0.0,1.0,1.0,0.0
47.0,add_rz,0.9260965125738887,12.0,2.0,0.9288459652466221,4.0,0.0,0.0,2.0,0.0
48.0,delete,0.2677858814627587,12.0,2.0,0.9288459652466221,3.0,0.0,0.0,1.0,0.0
49.0,add_cx,0.9346645654712499,13.0,3.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
50.0,add_rx,0.934664565471252,13.0,3.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
51.0,add_ry,0.1115668259386927,13.0,3.0,0.9346645654712499,4.0,0.0,1.0,0.0,0.0
52.0,add_rz,0.9291595560712466,13.0,3.0,0.9346645654712499,4.0,0.0,0.0,1.0,0.0
53.0,delete,0.2865047968601896,13.0,3.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
54.0,add_rx,0.9346645654712499,14.0,1.0,0.6806631583135486,4.0,1.0,0.0,0.0,0.0
55.0,add_cx,0.9346645654712499,15.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
56.0,add_rx,0.9346645654712504,15.0,2.0,0.9346645654712499,4.0,2.0,0.0,0.0,0.0
57.0,add_ry,0.22022357103265763,15.0,2.0,0.9346645654712499,4.0,1.0,1.0,0.0,0.0
58.0,add_rz,0.9318978893120227,15.0,2.0,0.9346645654712499,4.0,1.0,0.0,1.0,0.0
59.0,delete,0.41493656343447655,15.0,2.0,0.9346645654712499,3.0,1.0,0.0,0.0,0.0
60.0,add_cx,0.9346645654712499,16.0,1.0,0.7579605899942113,4.0,0.0,0.0,0.0,1.0
61.0,add_cx,0.9346645654712499,17.0,2.0,0.9346645654712499,4.0,0.0,0.0,0.0,2.0
62.0,add_rx,0.9346645654712499,17.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
63.0,add_ry,0.2519357137700413,17.0,2.0,0.9346645654712499,4.0,0.0,1.0,0.0,1.0
64.0,add_rz,0.9288459652466221,17.0,2.0,0.9346645654712499,4.0,0.0,0.0,1.0,1.0
65.0,delete,0.9346645654712499,17.0,2.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
66.0,add_cx,0.9346645654712509,18.0,3.0,0.9346645654712509,4.0,1.0,0.0,0.0,2.0
67.0,add_rx,0.9346645654712499,18.0,3.0,0.9346645654712509,4.0,2.0,0.0,0.0,1.0
68.0,add_ry,0.27214133486421144,18.0,3.0,0.9346645654712509,4.0,1.0,1.0,0.0,1.0
69.0,add_rz,0.9318978893120227,18.0,3.0,0.9346645654712509,4.0,1.0,0.0,1.0,1.0
70.0,delete,0.41493656343447655,18.0,3.0,0.9346645654712509,3.0,1.0,0.0,0.0,1.0
71.0,add_cx,0.9549583151415793,19.0,3.0,0.9549583151415793,4.0,0.0,1.0,1.0,1.0
72.0,add_rx,0.954958315141577,19.0,3.0,0.9549583151415793,4.0,1.0,1.0,1.0,0.0
73.0,add_ry,0.36337501332720856,19.0,3.0,0.9549583151415793,4.0,0.0,2.0,1.0,0.0
74.0,add_rz,0.951863422859403,19.0,3.0,0.9549583151415793,4.0,0.0,1.0,2.0,0.0
75.0,delete,0.9288459652466221,19.0,3.0,0.9549583151415793,4.0,0.0,0.0,1.0,0.0
76.0,add_cx,0.9346645654712499,20.0,3.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
77.0,add_rx,0.9346645654712499,20.0,3.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
78.0,add_ry,0.4166754638696425,20.0,3.0,0.9346645654712499,4.0,0.0,1.0,0.0,0.0
79.0,add_rz,0.9288459652466221,20.0,3.0,0.9346645654712499,4.0,0.0,0.0,1.0,0.0
80.0,delete,0.41493656343447627,20.0,3.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
81.0,add_rx,0.9346645654712504,21.0,1.0,0.7045858891728499,4.0,1.0,0.0,0.0,0.0
82.0,add_cx,0.9346645654712504,22.0,2.0,0.9346645654712504,4.0,1.0,0.0,0.0,1.0
83.0,add_rx,0.9346645654712509,22.0,2.0,0.9346645654712504,4.0,2.0,0.0,0.0,0.0
84.0,add_ry,0.43088525411503936,22.0,2.0,0.9346645654712504,4.0,1.0,1.0,0.0,0.0
85.0,add_rz,0.9288459652466211,22.0,2.0,0.9346645654712504,4.0,1.0,0.0,1.0,0.0
86.0,delete,0.41493656343447627,22.0,2.0,0.9346645654712504,3.0,1.0,0.0,0.0,0.0
87.0,add_cx,0.9230635877588181,23.0,3.0,0.9288459652466221,4.0,1.0,0.0,1.0,1.0
88.0,add_rx,0.9288459652466206,23.0,3.0,0.9288459652466221,4.0,2.0,0.0,1.0,0.0
89.0,add_ry,0.6046301139982123,23.0,3.0,0.9288459652466221,4.0,1.0,1.0,1.0,0.0
90.0,add_rz,0.9230635877588166,23.0,3.0,0.9288459652466221,4.0,1.0,0.0,2.0,0.0
91.0,delete,0.28472120846179305,23.0,3.0,0.9288459652466221,3.0,1.0,0.0,1.0,0.0
92.0,add_cx,0.9346645654712499,24.0,3.0,0.9346645654712499,4.0,0.0,0.0,0.0,3.0
