budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701902,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,stop,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
2.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
3.0,add_rx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
4.0,add_ry,74.57590896922318,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
5.0,add_rz,74.53961079994947,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
6.0,delete,74.63416553902071,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
7.0,stop,74.63416553902071,2.0,2.0,74.63416553902071,7.0,0.0,0.0,0.0,0.0
8.0,add_cx,74.63416553902071,2.0,2.0,74.63416553902071,7.0,0.0,0.0,0.0,1.0
9.0,add_rx,74.6341655390207,2.0,2.0,74.63416553902071,7.0,1.0,0.0,0.0,0.0
10.0,add_ry,74.6169580139564,2.0,2.0,74.63416553902071,7.0,0.0,1.0,0.0,0.0
11.0,add_rz,74.63100431411662,2.0,2.0,74.63416553902071,7.0,0.0,0.0,1.0,0.0
12.0,delete,74.67560497072995,2.0,2.0,74.63416553902071,6.0,0.0,0.0,0.0,0.0
13.0,stop,74.57590896922318,3.0,2.0,74.57590896922318,8.0,0.0,1.0,0.0,0.0
14.0,add_cx,74.57590896922318,3.0,2.0,74.57590896922318,8.0,0.0,1.0,0.0,1.0
15.0,add_rx,74.57590896922315,3.0,2.0,74.57590896922318,8.0,1.0,1.0,0.0,0.0
16.0,add_ry,74.65558536277847,3.0,2.0,74.57590896922318,8.0,0.0,2.0,0.0,0.0
17.0,add_rz,74.61904527170435,3.0,2.0,74.57590896922318,8.0,0.0,1.0,1.0,0.0
18.0,delete,74.62603174533832,3.0,2.0,74.57590896922318,7.0,0.0,1.0,0.0,0.0
19.0,stop,74.55590154701902,4.0,2.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
20.0,add_cx,74.55590154701902,4.0,2.0,74.55590154701902,8.0,0.0,0.0,0.0,2.0
21.0,add_rx,74.55590154701902,4.0,2.0,74.55590154701902,8.0,1.0,0.0,0.0,1.0
22.0,add_ry,74.5364462497251,4.0,2.0,74.55590154701902,8.0,0.0,1.0,0.0,1.0
23.0,add_rz,74.5408409779282,4.0,2.0,74.55590154701902,8.0,0.0,0.0,1.0,1.0
24.0,delete,74.63416553902071,4.0,2.0,74.55590154701902,7.0,0.0,0.0,0.0,1.0
25.0,stop,74.55590154701902,5.0,2.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
26.0,add_cx,74.55590154701902,5.0,2.0,74.55590154701902,8.0,1.0,0.0,0.0,1.0
27.0,add_rx,74.55590154701902,5.0,2.0,74.55590154701902,8.0,2.0,0.0,0.0,0.0
28.0,add_ry,74.53954008404298,5.0,2.0,74.55590154701902,8.0,1.0,1.0,0.0,0.0
29.0,add_rz,74.5544769897027,5.0,2.0,74.55590154701902,8.0,1.0,0.0,1.0,0.0
30.0,delete,74.55316758757442,5.0,2.0,74.55590154701902,7.0,1.0,0.0,0.0,0.0
30.0,stop,74.55590154701902,6.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
31.0,stop,74.53961079994947,7.0,2.0,74.53961079994947,8.0,0.0,0.0,1.0,0.0
32.0,add_cx,74.53961079994947,7.0,2.0,74.53961079994947,8.0,0.0,0.0,1.0,1.0
33.0,add_rx,74.53961079994947,7.0,2.0,74.53961079994947,8.0,1.0,0.0,1.0,0.0
34.0,add_ry,74.57507098914638,7.0,2.0,74.53961079994947,8.0,0.0,1.0,1.0,0.0
35.0,add_rz,74.5944684800093,7.0,2.0,74.53961079994947,8.0,0.0,0.0,2.0,0.0
36.0,delete,74.5984392681288,7.0,2.0,74.53961079994947,7.0,0.0,0.0,1.0,0.0
36.0,stop,74.55590154701902,8.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
36.0,stop,74.55590154701902,9.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
36.0,stop,74.55590154701902,10.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
37.0,delete,74.62234247519807,11.0,1.0,74.63717563641225,7.0,0.0,0.0,0.0,0.0
38.0,stop,74.62234247519807,12.0,2.0,74.62234247519807,7.0,0.0,0.0,0.0,0.0
39.0,add_cx,74.62234247519807,12.0,2.0,74.62234247519807,7.0,0.0,0.0,0.0,1.0
40.0,add_rx,74.62234247519805,12.0,2.0,74.62234247519807,7.0,1.0,0.0,0.0,0.0
41.0,add_ry,74.48225812567392,12.0,2.0,74.62234247519807,7.0,0.0,1.0,0.0,0.0
42.0,add_rz,74.62204961001883,12.0,2.0,74.62234247519807,7.0,0.0,0.0,1.0,0.0
43.0,delete,74.70086219795931,12.0,2.0,74.62234247519807,6.0,0.0,0.0,0.0,0.0
43.0,stop,74.55590154701902,13.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
44.0,add_ry,74.55473883455602,14.0,1.0,74.6006140366734,8.0,0.0,1.0,0.0,0.0
44.0,stop,74.55590154701902,15.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
45.0,stop,74.55473883455602,16.0,2.0,74.55473883455602,8.0,0.0,1.0,0.0,0.0
46.0,add_cx,74.54493548827767,16.0,2.0,74.55473883455602,8.0,0.0,1.0,0.0,1.0
47.0,add_rx,74.55473883455602,16.0,2.0,74.55473883455602,8.0,1.0,1.0,0.0,0.0
48.0,add_ry,74.55927292932202,16.0,2.0,74.55473883455602,8.0,0.0,2.0,0.0,0.0
49.0,add_rz,74.54766861564194,16.0,2.0,74.55473883455602,8.0,0.0,1.0,1.0,0.0
50.0,delete,74.54144780373967,16.0,2.0,74.55473883455602,7.0,0.0,1.0,0.0,0.0
51.0,add_cx,74.55590154701902,17.0,1.0,74.56215127925,8.0,0.0,0.0,0.0,1.0
52.0,add_rz,74.54269031582957,18.0,1.0,74.56091741958319,8.0,0.0,0.0,1.0,0.0
52.0,stop,74.55590154701902,19.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
53.0,add_rx,74.55590154701902,20.0,1.0,74.55297012134231,8.0,1.0,0.0,0.0,0.0
54.0,stop,74.55590154701902,21.0,2.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
55.0,add_cx,74.5478695352057,21.0,2.0,74.55590154701902,8.0,0.0,0.0,0.0,2.0
56.0,add_rx,74.55590154701902,21.0,2.0,74.55590154701902,8.0,1.0,0.0,0.0,1.0
57.0,add_ry,74.5542058508117,21.0,2.0,74.55590154701902,8.0,0.0,1.0,0.0,1.0
58.0,add_rz,74.5499069228002,21.0,2.0,74.55590154701902,8.0,0.0,0.0,1.0,1.0
59.0,delete,74.62027420950731,21.0,2.0,74.55590154701902,7.0,0.0,0.0,0.0,1.0
60.0,stop,74.54269031582957,22.0,2.0,74.54269031582957,8.0,0.0,0.0,1.0,0.0
61.0,add_cx,74.54269031582957,22.0,2.0,74.54269031582957,8.0,0.0,0.0,1.0,1.0
62.0,add_rx,74.54269031582956,22.0,2.0,74.54269031582957,8.0,1.0,0.0,1.0,0.0
63.0,add_ry,74.57849102593339,22.0,2.0,74.54269031582957,8.0,0.0,1.0,1.0,0.0
64.0,add_rz,74.51952451253574,22.0,2.0,74.54269031582957,8.0,0.0,0.0,2.0,0.0
