budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.824392995344757,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,stop,5.824392995344757,1.0,1.0,5.824392995344757,10.0,0.0,0.0,0.0,0.0
2.0,add_cx,5.824392995344757,1.0,1.0,5.824392995344757,10.0,0.0,0.0,0.0,1.0
3.0,add_rx,5.824392995344757,1.0,1.0,5.824392995344757,10.0,1.0,0.0,0.0,0.0
4.0,add_ry,6.246986205982708,1.0,1.0,5.824392995344757,10.0,0.0,1.0,0.0,0.0
5.0,add_rz,5.8316434076266965,1.0,1.0,5.824392995344757,10.0,0.0,0.0,1.0,0.0
6.0,delete,6.254844185105919,1.0,1.0,5.824392995344757,9.0,0.0,0.0,0.0,0.0
7.0,stop,6.254844185105919,2.0,2.0,6.254844185105919,9.0,0.0,0.0,0.0,0.0
8.0,add_cx,6.254844185105919,2.0,2.0,6.254844185105919,9.0,0.0,0.0,0.0,1.0
9.0,add_rx,6.254844185105919,2.0,2.0,6.254844185105919,9.0,1.0,0.0,0.0,0.0
10.0,add_ry,6.0488298370579745,2.0,2.0,6.254844185105919,9.0,0.0,1.0,0.0,0.0
11.0,add_rz,6.25484418510592,2.0,2.0,6.254844185105919,9.0,0.0,0.0,1.0,0.0
12.0,delete,6.748016699565878,2.0,2.0,6.254844185105919,8.0,0.0,0.0,0.0,0.0
13.0,stop,6.246986205982708,3.0,2.0,6.246986205982708,10.0,0.0,1.0,0.0,0.0
14.0,add_cx,6.246986205982708,3.0,2.0,6.246986205982708,10.0,0.0,1.0,0.0,1.0
15.0,add_rx,6.246986205982708,3.0,2.0,6.246986205982708,10.0,1.0,1.0,0.0,0.0
16.0,add_ry,6.409543498865984,3.0,2.0,6.246986205982708,10.0,0.0,2.0,0.0,0.0
17.0,add_rz,6.246673661330163,3.0,2.0,6.246986205982708,10.0,0.0,1.0,1.0,0.0
18.0,delete,6.609040892027326,3.0,2.0,6.246986205982708,9.0,0.0,1.0,0.0,0.0
19.0,add_ry,5.734596256720651,4.0,1.0,6.321886125164901,10.0,0.0,1.0,0.0,0.0
20.0,delete,5.513755499676435,5.0,1.0,6.295866780307636,9.0,0.0,0.0,0.0,0.0
21.0,stop,5.8316434076266965,6.0,2.0,5.8316434076266965,10.0,0.0,0.0,1.0,0.0
22.0,add_cx,5.8316434076266965,6.0,2.0,5.8316434076266965,10.0,0.0,0.0,1.0,1.0
23.0,add_rx,5.831643407626697,6.0,2.0,5.8316434076266965,10.0,1.0,0.0,1.0,0.0
24.0,add_ry,5.570899699795044,6.0,2.0,5.8316434076266965,10.0,0.0,1.0,1.0,0.0
25.0,add_rz,5.827139694011477,6.0,2.0,5.8316434076266965,10.0,0.0,0.0,2.0,0.0
26.0,delete,5.824392995344757,6.0,2.0,5.8316434076266965,10.0,0.0,0.0,0.0,0.0
27.0,stop,5.824392995344757,7.0,2.0,5.824392995344757,10.0,0.0,0.0,0.0,1.0
28.0,add_cx,5.824392995344757,7.0,2.0,5.824392995344757,10.0,0.0,0.0,0.0,2.0
29.0,add_rx,5.824392995344757,7.0,2.0,5.824392995344757,10.0,1.0,0.0,0.0,1.0
30.0,add_ry,5.7208240479648484,7.0,2.0,5.824392995344757,10.0,0.0,1.0,0.0,1.0
31.0,add_rz,5.809515672559548,7.0,2.0,5.824392995344757,10.0,0.0,0.0,1.0,1.0
32.0,delete,6.254844185105919,7.0,2.0,5.824392995344757,9.0,0.0,0.0,0.0,1.0
