budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701902,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,stop,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
2.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
3.0,add_cx,74.60234456348591,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
4.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
5.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
6.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
7.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
8.0,add_cx,74.5478695352057,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
9.0,add_cx,74.5478695352057,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
10.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
11.0,add_cx,74.54609523151876,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
12.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
13.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
14.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
15.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
16.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
17.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
18.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
19.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
20.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
21.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
22.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
23.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
24.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
25.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
26.0,add_cx,74.54609523151876,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
27.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
28.0,add_cx,74.5478695352057,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
29.0,add_cx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
30.0,add_rx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
31.0,add_rx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
32.0,add_rx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
33.0,add_rx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
34.0,add_rx,74.555901547019,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
35.0,add_rx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
36.0,add_rx,74.555901547019,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
37.0,add_rx,74.55590154701902,1.0,1.0,74.55590154701902,8.0,1.0,0.0,0.0,0.0
38.0,add_ry,74.61888485665423,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
39.0,add_ry,74.54944438647955,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
40.0,add_ry,74.49334964561598,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
41.0,add_ry,74.51613924806833,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
42.0,add_ry,74.61141686807294,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
43.0,add_ry,74.51985774206004,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
44.0,add_ry,74.5446721700738,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
45.0,add_ry,74.53613024485556,1.0,1.0,74.55590154701902,8.0,0.0,1.0,0.0,0.0
46.0,add_rz,74.56072598192532,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
47.0,add_rz,74.55588921111273,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
48.0,add_rz,74.54956365116028,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
49.0,add_rz,74.55001908230501,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
50.0,add_rz,74.55535784112726,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
51.0,add_rz,74.58848272283551,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
52.0,add_rz,74.57532500339553,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
53.0,add_rz,74.54506112720439,1.0,1.0,74.55590154701902,8.0,0.0,0.0,1.0,0.0
54.0,delete,74.57922355224056,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
55.0,delete,74.49605353349591,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
56.0,delete,74.54076886114981,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
57.0,delete,74.62027420950731,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
58.0,delete,74.53988496986294,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
59.0,delete,74.62234247519807,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
60.0,delete,74.55316758757442,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
61.0,delete,74.63416553902071,1.0,1.0,74.55590154701902,7.0,0.0,0.0,0.0,0.0
61.0,stop,74.55590154701902,2.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
61.0,stop,74.55590154701902,3.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
61.0,stop,74.55590154701902,4.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
61.0,stop,74.55590154701902,5.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
61.0,stop,74.55590154701902,6.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
61.0,stop,74.55590154701902,7.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
61.0,stop,74.55590154701902,8.0,1.0,74.55590154701902,8.0,0.0,0.0,0.0,0.0
62.0,stop,74.63416553902071,9.0,2.0,74.63416553902071,7.0,0.0,0.0,0.0,0.0
63.0,add_cx,74.63416553902071,9.0,2.0,74.63416553902071,7.0,0.0,0.0,0.0,1.0
64.0,add_cx,74.63416553902071,9.0,2.0,74.63416553902071,7.0,0.0,0.0,0.0,1.0
