budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,a,0.04207897977473339,1.0,2.0,0.04207897977473339,4.0,0.0,0.0,1.0,0.0
2.0,a,0.04207897977473342,2.0,2.0,0.04207897977473342,4.0,1.0,0.0,0.0,0.0
3.0,a,0.04207897977473339,3.0,2.0,0.04207897977473339,4.0,0.0,0.0,1.0,0.0
4.0,a,0.04207897977473342,4.0,2.0,0.04207897977473342,4.0,1.0,0.0,0.0,0.0
5.0,a,0.04207897977473339,5.0,3.0,0.04207897977473339,4.0,1.0,0.0,1.0,0.0
6.0,a,0.04207897977473343,6.0,3.0,0.04207897977473343,4.0,1.0,0.0,1.0,0.0
7.0,a,0.04207897977473339,7.0,3.0,0.04207897977473339,4.0,1.0,0.0,1.0,0.0
8.0,a,0.04207897977473343,8.0,3.0,0.04207897977473343,4.0,1.0,0.0,1.0,0.0
9.0,a,0.042078979774733384,9.0,2.0,0.04207897977473339,4.0,0.0,0.0,1.0,0.0
10.0,a,0.04207897977473343,10.0,4.0,0.04207897977473343,4.0,1.0,0.0,1.0,1.0
11.0,a,0.11571575437482619,11.0,2.0,0.11571575437482619,4.0,0.0,1.0,0.0,0.0
12.0,a,0.11571575437482619,12.0,2.0,0.11571575437482619,4.0,0.0,1.0,0.0,0.0
13.0,a,0.11571575437482619,13.0,3.0,0.11571575437482619,4.0,1.0,1.0,0.0,0.0
14.0,a,0.11571575437482619,14.0,3.0,0.11571575437482619,4.0,1.0,1.0,0.0,0.0
15.0,a,0.11571575437482619,15.0,2.0,0.1157157543748262,4.0,0.0,1.0,0.0,0.0
16.0,a,-0.1206054615326637,16.0,4.0,-0.1206054615326637,4.0,1.0,2.0,0.0,0.0
17.0,a,0.11571575437482619,17.0,2.0,0.0819555806737562,4.0,0.0,1.0,0.0,0.0
18.0,a,0.09037107556458733,18.0,4.0,0.09037107556458733,4.0,1.0,1.0,1.0,0.0
19.0,a,0.042078979774733426,19.0,2.0,0.042078979774733426,4.0,1.0,0.0,0.0,0.0
20.0,a,0.1157157543748262,20.0,2.0,0.08617560238638995,4.0,0.0,1.0,0.0,0.0
21.0,a,0.09037107556458733,21.0,4.0,0.09037107556458733,4.0,1.0,1.0,1.0,0.0
22.0,a,0.11571575437482619,22.0,2.0,0.0894578414962162,4.0,0.0,1.0,0.0,0.0
23.0,a,0.04207897977473342,23.0,2.0,0.04207897977473342,4.0,1.0,0.0,0.0,0.0
24.0,a,0.11571575437482619,24.0,3.0,0.056635450397953715,4.0,1.0,1.0,0.0,0.0
25.0,a,0.04207897977473339,25.0,2.0,0.05415200372219688,4.0,0.0,0.0,1.0,0.0
26.0,a,0.11571575437482619,26.0,2.0,0.0942320074741453,4.0,0.0,1.0,0.0,0.0
27.0,a,0.04207897977473343,27.0,4.0,0.04207897977473343,4.0,1.0,0.0,1.0,1.0
28.0,a,0.11571575437482619,28.0,3.0,0.11571575437482619,4.0,1.0,1.0,0.0,0.0
29.0,a,0.09037107556458734,29.0,5.0,0.09037107556458734,4.0,2.0,1.0,1.0,0.0
30.0,a,0.11571575437482619,30.0,3.0,0.11571575437482619,4.0,1.0,1.0,0.0,0.0
31.0,a,0.04207897977473339,31.0,2.0,0.05656660851168958,4.0,0.0,0.0,1.0,0.0
32.0,a,0.04207897977473343,32.0,3.0,0.04207897977473343,4.0,1.0,0.0,1.0,0.0
33.0,a,0.07045298335716707,33.0,4.0,0.07045298335716707,4.0,2.0,1.0,0.0,0.0
34.0,a,0.07045298335716707,34.0,4.0,0.07045298335716707,4.0,2.0,1.0,0.0,0.0
35.0,a,0.042078979774733384,35.0,3.0,0.06622502766966036,4.0,1.0,0.0,1.0,0.0
36.0,a,0.04207897977473342,36.0,2.0,0.04207897977473342,4.0,1.0,0.0,0.0,0.0
