budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701902,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,a,74.55631281886745,1.0,2.0,74.55631281886745,8.0,0.0,1.0,0.0,0.0
2.0,a,74.53829903698487,2.0,2.0,74.53829903698487,8.0,0.0,0.0,0.0,1.0
3.0,a,74.55631281886745,3.0,2.0,74.55631281886745,8.0,0.0,1.0,0.0,0.0
4.0,a,74.53829903698487,4.0,2.0,74.53829903698487,8.0,0.0,0.0,0.0,1.0
5.0,a,74.59412164455085,5.0,3.0,74.59412164455085,8.0,0.0,1.0,1.0,0.0
6.0,a,74.53829903698488,6.0,3.0,74.53829903698488,8.0,1.0,0.0,0.0,1.0
7.0,a,74.59412164455085,7.0,3.0,74.59412164455085,8.0,0.0,1.0,1.0,0.0
8.0,a,74.53829903698488,8.0,3.0,74.53829903698488,8.0,1.0,0.0,0.0,1.0
9.0,a,74.63254265314146,9.0,4.0,74.63254265314146,8.0,0.0,2.0,1.0,0.0
10.0,a,74.55631281886745,10.0,2.0,74.58162073314092,8.0,0.0,1.0,0.0,0.0
11.0,a,74.53829903698487,11.0,2.0,74.53829903698487,8.0,0.0,0.0,0.0,1.0
12.0,a,74.53829903698487,12.0,2.0,74.53829903698487,8.0,0.0,0.0,0.0,1.0
13.0,a,74.51219376283733,13.0,3.0,74.51219376283733,8.0,0.0,0.0,1.0,1.0
14.0,a,74.51219376283733,14.0,3.0,74.51219376283733,8.0,0.0,0.0,1.0,1.0
15.0,a,74.54927216264765,15.0,4.0,74.54927216264765,8.0,1.0,0.0,1.0,1.0
16.0,a,74.53829903698487,16.0,2.0,74.52785692732586,8.0,0.0,0.0,0.0,1.0
17.0,a,74.63254265314146,17.0,4.0,74.63254265314146,8.0,0.0,2.0,1.0,0.0
18.0,a,74.63817464118598,18.0,5.0,74.63817464118598,8.0,1.0,2.0,1.0,0.0
19.0,a,74.53829903698487,19.0,2.0,74.540127891262,8.0,0.0,0.0,0.0,1.0
20.0,a,74.55631281886745,20.0,2.0,74.59075050133782,8.0,0.0,1.0,0.0,0.0
21.0,a,74.50351216131413,21.0,4.0,74.50351216131413,8.0,0.0,0.0,2.0,1.0
22.0,a,74.54927216264765,22.0,4.0,74.54927216264765,8.0,1.0,0.0,1.0,1.0
23.0,a,74.59412164455085,23.0,3.0,74.61427081352024,8.0,0.0,1.0,1.0,0.0
24.0,a,74.63817464118598,24.0,5.0,74.63817464118598,8.0,1.0,2.0,1.0,0.0
25.0,a,74.53829903698487,25.0,2.0,74.52587083356117,8.0,0.0,0.0,0.0,1.0
26.0,a,74.53829903698487,26.0,2.0,74.54104231840057,8.0,0.0,0.0,0.0,1.0
27.0,a,74.59748449834483,27.0,3.0,74.59748449834483,8.0,0.0,1.0,0.0,1.0
28.0,a,74.59748449834483,28.0,3.0,74.59748449834483,8.0,0.0,1.0,0.0,1.0
29.0,a,74.50351216131413,29.0,4.0,74.50351216131413,8.0,0.0,0.0,2.0,1.0
30.0,a,74.54927216264765,30.0,5.0,74.54927216264765,8.0,2.0,0.0,1.0,1.0
31.0,a,74.60276269276059,31.0,4.0,74.60276269276059,8.0,0.0,1.0,1.0,1.0
32.0,a,74.60276269276059,32.0,4.0,74.60276269276059,8.0,0.0,1.0,1.0,1.0
33.0,a,74.53829903698487,33.0,2.0,74.54159097468371,8.0,0.0,0.0,0.0,1.0
34.0,a,74.6057535200342,34.0,5.0,74.6057535200342,8.0,0.0,1.0,2.0,1.0
35.0,a,74.53829903698487,35.0,2.0,74.52476744813636,8.0,0.0,0.0,0.0,1.0
36.0,a,74.59748449834483,36.0,3.0,74.60062206676498,8.0,0.0,1.0,0.0,1.0
