budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.8243929953447555,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,a,5.707346628806658,1.0,2.0,5.707346628806658,10.0,0.0,1.0,0.0,0.0
2.0,a,5.8243929953447555,2.0,2.0,5.8243929953447555,10.0,1.0,0.0,0.0,0.0
3.0,a,5.8243929953447555,3.0,2.0,5.8243929953447555,10.0,1.0,0.0,0.0,0.0
4.0,a,5.707346628806658,4.0,2.0,5.707346628806658,10.0,0.0,1.0,0.0,0.0
5.0,a,5.823862420630164,5.0,3.0,5.823862420630164,10.0,1.0,0.0,1.0,0.0
6.0,a,5.823862420630164,6.0,3.0,5.823862420630164,10.0,1.0,0.0,1.0,0.0
7.0,a,5.8243929953447555,7.0,2.0,5.824180765458919,10.0,1.0,0.0,0.0,0.0
8.0,a,5.703854744732748,8.0,3.0,5.703854744732748,10.0,0.0,1.0,1.0,0.0
9.0,a,6.197756119515987,9.0,4.0,6.197756119515987,10.0,1.0,1.0,1.0,0.0
10.0,a,6.197756119515987,10.0,4.0,6.197756119515987,10.0,1.0,1.0,1.0,0.0
11.0,a,5.833105390347539,11.0,2.0,5.833105390347539,10.0,0.0,0.0,1.0,0.0
12.0,a,5.833105390347539,12.0,2.0,5.833105390347539,10.0,0.0,0.0,1.0,0.0
13.0,a,5.83310539034754,13.0,3.0,5.83310539034754,10.0,1.0,0.0,1.0,0.0
14.0,a,5.83310539034754,14.0,3.0,5.83310539034754,10.0,1.0,0.0,1.0,0.0
15.0,a,6.108728033449704,15.0,5.0,6.108728033449704,10.0,1.0,2.0,1.0,0.0
16.0,a,6.108728033449704,16.0,5.0,6.108728033449704,10.0,1.0,2.0,1.0,0.0
17.0,a,6.197756119515987,17.0,4.0,6.162144885089473,10.0,1.0,1.0,1.0,0.0
18.0,a,6.197756119515987,18.0,4.0,6.1680800908272255,10.0,1.0,1.0,1.0,0.0
19.0,a,5.8243929953447555,19.0,3.0,5.8243929953447555,10.0,1.0,0.0,0.0,1.0
20.0,a,5.8243929953447555,20.0,3.0,5.8243929953447555,10.0,1.0,0.0,0.0,1.0
21.0,a,5.83310539034754,21.0,4.0,5.83310539034754,10.0,1.0,0.0,1.0,1.0
22.0,a,6.103713478217826,22.0,6.0,6.103713478217826,10.0,1.0,2.0,2.0,0.0
23.0,a,6.197756119515987,23.0,4.0,6.163743767837146,10.0,1.0,1.0,1.0,0.0
24.0,a,6.197756119515987,24.0,4.0,6.167522918023684,10.0,1.0,1.0,1.0,0.0
25.0,a,5.823862420630164,25.0,4.0,5.823862420630164,10.0,1.0,0.0,1.0,1.0
26.0,a,5.8243929953447555,26.0,4.0,5.8243929953447555,10.0,1.0,0.0,0.0,2.0
27.0,a,5.823862420630164,27.0,4.0,5.823862420630164,10.0,1.0,0.0,1.0,1.0
28.0,a,5.833105390347538,28.0,2.0,5.83310539034754,10.0,0.0,0.0,1.0,0.0
29.0,a,6.103713478217826,29.0,6.0,6.103713478217826,10.0,1.0,2.0,2.0,0.0
30.0,a,6.197756119515987,30.0,4.0,6.1644705327224525,10.0,1.0,1.0,1.0,0.0
31.0,a,5.955912205793169,31.0,5.0,5.955912205793169,10.0,1.0,2.0,1.0,0.0
32.0,a,5.955912205793169,32.0,5.0,5.955912205793169,10.0,1.0,2.0,1.0,0.0
33.0,a,5.8243929953447555,33.0,2.0,5.991133371727802,10.0,1.0,0.0,0.0,0.0
34.0,a,5.8243929953447555,34.0,4.0,5.8243929953447555,10.0,1.0,0.0,0.0,2.0
35.0,a,5.703854744732748,35.0,3.0,5.703854744732748,10.0,0.0,1.0,1.0,0.0
36.0,a,5.83310539034754,36.0,4.0,5.83310539034754,10.0,1.0,0.0,1.0,1.0
37.0,a,6.197756119515987,37.0,4.0,6.137054027932093,10.0,1.0,1.0,1.0,0.0
38.0,a,6.108728033449704,38.0,5.0,6.106722211356953,10.0,1.0,2.0,1.0,0.0
39.0,a,6.346661318204114,39.0,2.0,6.346661318204114,10.0,0.0,1.0,0.0,0.0
40.0,a,6.346661318204114,40.0,2.0,6.346661318204114,10.0,0.0,1.0,0.0,0.0
41.0,a,6.717211929000634,41.0,3.0,6.717211929000634,10.0,0.0,2.0,0.0,0.0
42.0,a,6.717211929000634,42.0,3.0,6.717211929000634,10.0,0.0,2.0,0.0,0.0
43.0,a,6.717355594556183,43.0,4.0,6.717355594556183,10.0,0.0,2.0,1.0,0.0
44.0,a,6.717355594556183,44.0,4.0,6.717355594556183,10.0,0.0,2.0,1.0,0.0
45.0,a,6.717355594556183,45.0,5.0,6.717355594556183,10.0,0.0,2.0,1.0,1.0
46.0,a,6.717211929000634,46.0,3.0,6.717283761778408,10.0,0.0,2.0,0.0,0.0
47.0,a,6.717355594556183,47.0,5.0,6.717355594556183,10.0,0.0,2.0,1.0,1.0
48.0,a,6.717211929000634,48.0,3.0,6.717283761778408,10.0,0.0,2.0,0.0,0.0
49.0,a,6.717355594556184,49.0,4.0,6.717355594556183,10.0,0.0,2.0,1.0,0.0
50.0,a,6.346661318204115,50.0,3.0,6.346661318204115,10.0,1.0,1.0,0.0,0.0
51.0,a,6.346661318204115,51.0,3.0,6.346661318204115,10.0,1.0,1.0,0.0,0.0
52.0,a,6.717211929000634,52.0,3.0,6.717283761778407,10.0,0.0,2.0,0.0,0.0
53.0,a,6.717355594556183,53.0,6.0,6.717355594556183,10.0,1.0,2.0,1.0,1.0
54.0,a,6.286138400543515,54.0,4.0,6.286138400543515,10.0,0.0,2.0,0.0,1.0
55.0,a,6.717211929000634,55.0,3.0,6.684118733991109,10.0,0.0,2.0,0.0,0.0
56.0,a,6.717355594556183,56.0,4.0,6.7173555945561825,10.0,0.0,2.0,1.0,0.0
57.0,a,6.717211929000634,57.0,3.0,6.688540737696082,10.0,0.0,2.0,0.0,0.0
58.0,a,6.717355594556183,58.0,6.0,6.717355594556183,10.0,1.0,2.0,1.0,1.0
59.0,a,6.717211929000634,59.0,3.0,6.6919222699410605,10.0,0.0,2.0,0.0,0.0
60.0,a,6.286138400543515,60.0,4.0,6.286138400543515,10.0,0.0,2.0,0.0,1.0
61.0,a,6.3617400824000345,61.0,4.0,6.3617400824000345,10.0,1.0,2.0,0.0,0.0
62.0,a,6.346661318204114,62.0,2.0,6.589327652623424,10.0,0.0,1.0,0.0,0.0
63.0,a,6.717355594556183,63.0,4.0,6.7173555945561825,10.0,0.0,2.0,1.0,0.0
64.0,a,6.717211929000634,64.0,3.0,6.674169225654919,10.0,0.0,2.0,0.0,0.0
65.0,a,6.717355594556184,65.0,5.0,6.717355594556183,10.0,0.0,2.0,1.0,1.0
66.0,a,6.717211929000634,66.0,3.0,6.678088728938872,10.0,0.0,2.0,0.0,0.0
67.0,a,6.7173555945561825,67.0,4.0,6.7173555945561825,10.0,0.0,2.0,1.0,0.0
68.0,a,6.7172119290006345,68.0,3.0,6.6813549816755,10.0,0.0,2.0,0.0,0.0
69.0,a,6.959182950759749,69.0,5.0,6.959182950759749,10.0,0.0,3.0,1.0,0.0
70.0,a,6.959182950759749,70.0,5.0,6.959182950759749,10.0,0.0,3.0,1.0,0.0
71.0,a,6.183969774060454,71.0,6.0,6.183969774060454,10.0,1.0,3.0,1.0,0.0
72.0,a,6.717211929000634,72.0,3.0,6.684716684456878,10.0,0.0,2.0,0.0,0.0
73.0,a,6.717211929000633,73.0,3.0,6.6858372101308,10.0,0.0,2.0,0.0,0.0
74.0,a,6.717211929000633,74.0,3.0,6.686883034093127,10.0,0.0,2.0,0.0,0.0
75.0,a,6.717211929000632,75.0,3.0,6.687861385541757,10.0,0.0,2.0,0.0,0.0
76.0,a,6.959182950759749,76.0,5.0,6.765379656584925,10.0,0.0,3.0,1.0,0.0
77.0,a,6.959182950759749,77.0,5.0,6.8041403154198905,10.0,0.0,3.0,1.0,0.0
78.0,a,6.346661318204114,78.0,3.0,6.346661318204114,10.0,0.0,1.0,0.0,1.0
79.0,a,6.346661318204114,79.0,3.0,6.346661318204114,10.0,0.0,1.0,0.0,1.0
80.0,a,6.346661318204115,80.0,4.0,6.346661318204115,10.0,1.0,1.0,0.0,1.0
81.0,a,6.959182950759749,81.0,5.0,6.829980754643199,10.0,0.0,3.0,1.0,0.0
82.0,a,6.959182950759749,82.0,5.0,6.848438211231278,10.0,0.0,3.0,1.0,0.0
83.0,a,6.9591829507597485,83.0,5.0,6.8622813036723365,10.0,0.0,3.0,1.0,0.0
84.0,a,6.9591829507597485,84.0,5.0,6.873048153348716,10.0,0.0,3.0,1.0,0.0
85.0,a,6.9591829507597485,85.0,5.0,6.881661633089818,10.0,0.0,3.0,1.0,0.0
86.0,a,6.9591829507597485,86.0,5.0,6.888709025605267,10.0,0.0,3.0,1.0,0.0
