budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0,,0.9346645654712499,0,0,0,4,0,0,0,0
1,a,0.9288459652466221,1,2,0.9288459652466221,4,0,0,1,0
2,a,0.9346645654712499,2,2,0.9346645654712499,4,0,0,0,1
3,a,0.9346645654712499,3,2,0.9346645654712499,4,0,0,0,1
4,a,0.9288459652466221,4,2,0.9288459652466221,4,0,0,1,0
5,a,0.39087911669028375,5,3,0.39087911669028375,4,0,1,0,1
6,a,0.9230635877588187,6,3,0.9230635877588187,4,0,0,2,0
7,a,0.9230635877588187,7,3,0.9230635877588187,4,0,0,2,0
8,a,0.9288459652466221,8,2,0.9265330142515007,4,0,0,1,0
9,a,0.9230635877588181,9,4,0.9230635877588181,4,1,0,2,0
10,a,0.9288459652466221,10,2,0.9263678034661348,4,0,0,1,0
11,a,0.8577715187941756,11,2,0.8577715187941756,4,0,1,0,0
12,a,0.8577715187941756,12,2,0.8577715187941756,4,0,1,0,0
13,a,0.8577715187941756,13,3,0.8577715187941756,4,0,1,0,1
14,a,0.8577715187941756,14,3,0.8577715187941756,4,0,1,0,1
15,a,0.8577715187941756,15,2,0.8577715187941756,4,0,1,0,0
16,a,0.9230635877588181,16,4,0.9230635877588181,4,1,0,2,0
17,a,0.9288459652466221,17,2,0.9262760196964872,4,0,0,1,0
18,a,0.19341378753187324,18,4,0.19341378753187324,4,0,2,0,1
19,a,0.9230635877588188,19,3,0.9230635877588185,4,0,0,2,0
20,a,0.9346645654712499,20,2,0.7987182032760084,4,0,0,0,1
21,a,0.9346645654712499,21,2,0.8259074757150566,4,0,0,0,1
22,a,0.9288459652466221,22,2,0.9262176118430752,4,0,0,1,0
23,a,0.9346645654712498,23,2,0.8440336573410888,4,0,0,0,1
24,a,0.9288459652466221,24,3,0.9288459652466221,4,0,0,1,1
25,a,0.9346645654712499,25,2,0.8569809299311119,4,0,0,0,1
26,a,0.9288459652466221,26,3,0.9288459652466221,4,0,0,1,1
27,a,0.9346645654712499,27,2,0.8666913843736291,4,0,0,0,1
28,a,0.2291791876553422,28,4,0.2291791876553422,4,0,1,1,1
29,a,0.9346645654712499,29,2,0.8742439600511426,4,0,0,0,1
30,a,0.9346645654712498,30,2,0.8802860205931532,4,0,0,0,1
31,a,0.9346645654712498,31,2,0.8852295246729802,4,0,0,0,1
32,a,0.9346645654712499,32,3,0.9346645654712499,4,1,0,0,1
33,a,0.9346645654712499,33,3,0.9346645654712499,4,1,0,0,1
34,a,0.278216614065777,34,4,0.278216614065777,4,1,1,0,1
35,a,0.9203312513506027,35,5,0.9203312513506027,4,1,0,3,0
36,a,0.9288459652466221,36,2,0.8827776290637275,4,0,0,1,0
37,a,0.9230635877588187,37,3,0.9226732539862162,4,0,0,2,0
38,a,0.9288459652466221,38,2,0.8875750898902823,4,0,0,1,0
39,a,0.9346645654712504,39,2,0.9346645654712504,4,1,0,0,0
40,a,0.9346645654712504,40,2,0.9346645654712504,4,1,0,0,0
41,a,0.39930069718460015,41,3,0.39930069718460015,4,1,1,0,0
42,a,0.9346645654712504,42,2,0.8008235983995878,4,1,0,0,0
43,a,0.9346645654712504,43,2,0.8275917918139204,4,1,0,0,0
44,a,0.9346645654712503,44,2,0.8454372540901419,4,1,0,0,0
45,a,0.9346645654712503,45,2,0.8581840128588717,4,1,0,0,0
46,a,0.9346645654712502,46,2,0.867744081935419,4,1,0,0,0
47,a,0.9346645654712502,47,2,0.875179691217178,4,1,0,0,0
48,a,0.9346645654712502,48,2,0.8811281786425852,4,1,0,0,0
49,a,0.9346645654712502,49,2,0.8859951228997365,4,1,0,0,0
50,a,0.9346645654712504,50,3,0.9346645654712504,4,1,0,0,1
51,a,0.9346645654712504,51,3,0.9346645654712504,4,1,0,0,1
52,a,0.9346645654712504,52,4,0.9346645654712504,4,1,0,0,2
53,a,0.9346645654712504,53,4,0.9346645654712504,4,1,0,0,2
54,a,0.9346645654712504,54,3,0.9346645654712503,4,1,0,0,1
55,a,0.35950664849158825,55,5,0.35950664849158825,4,1,1,0,2
56,a,0.9203312513506027,56,5,0.9203312513506027,4,1,0,3,0
57,a,0.8577715187941756,57,2,0.7628632714709894,4,0,1,0,0
58,a,0.9288459652466222,58,2,0.8912764417311154,4,0,0,1,0
59,a,0.9230635877588187,59,3,0.9224564018903261,4,0,0,2,0
60,a,0.9288459652466223,60,2,0.8944290176194432,4,0,0,1,0
61,a,0.8577715187941756,61,2,0.7747268023863877,4,0,1,0,0
62,a,0.9230635877588181,62,4,0.921970653195532,4,1,0,2,0
63,a,0.9346645654712501,63,2,0.8729689107342328,4,1,0,0,0
64,a,0.9346645654712499,64,2,0.8546490054588206,4,0,0,0,1
65,a,0.9288459652466223,65,2,0.8970561641930496,4,0,0,1,0
66,a,0.9346645654712499,66,2,0.8596499779595974,4,0,0,0,1
67,a,0.9346645654712501,67,2,0.8762160504572337,4,1,0,0,0
68,a,0.8577715187941756,68,2,0.7839539930983641,4,0,1,0,0
69,a,0.9346645654712499,69,2,0.8640626007544006,4,0,0,0,1
70,a,0.9346645654712501,70,2,0.8791384762079346,4,1,0,0,0
71,a,0.9230635877588186,71,3,0.9225667993209611,4,0,0,2,0
72,a,0.9346645654712499,72,2,0.8679849321275588,4,0,0,0,1
73,a,0.9346645654712501,73,2,0.881782575696664,4,1,0,0,0
74,a,0.9288459652466224,74,2,0.8992791343707166,4,0,0,1,0
75,a,0.9346645654712499,75,2,0.8714943865140687,4,0,0,0,1
76,a,0.9346645654712504,76,3,0.8524991487598701,4,1,0,0,1
77,a,0.08540909227174275,77,4,0.08540909227174275,4,0,1,2,0
78,a,0.9346645654712499,78,3,0.7705525776198817,4,1,0,0,1
79,a,0.8577715187941755,79,2,0.7913357456679452,4,0,1,0,0
80,a,0.9346645654712501,80,2,0.8863810095901065,4,1,0,0,0
81,a,0.9346645654712499,81,3,0.8033749751901553,4,1,0,0,1
82,a,0.9346645654712503,82,3,0.8627698258487926,4,1,0,0,1
83,a,0.9346645654712498,83,3,0.8252565735703378,4,1,0,0,1
84,a,0.9346645654712501,84,2,0.890243694060598,4,1,0,0,0
85,a,0.9346645654712499,85,2,0.8824805045935783,4,0,0,0,1
86,a,0.39930069718460015,86,3,0.39930069718460015,4,1,1,0,0
87,a,0.9346645654712499,87,3,0.8408862866990395,4,1,0,0,1
88,a,0.8577715187941755,88,2,0.7973753614066935,4,0,1,0,0
89,a,0.9346645654712499,89,2,0.8866552294637918,4,0,0,0,1
90,a,0.9346645654712499,90,3,0.8526085715455658,4,1,0,0,1
91,a,0.39087911669028375,91,3,0.39087911669028375,4,0,1,0,1
92,a,0.48075353923207786,92,3,0.48075353923207786,4,0,2,0,0
93,a,0.9346645654712503,93,3,0.8707581302512879,4,1,0,0,1
94,a,0.9346645654712501,94,2,0.8758829349872163,4,1,0,0,0
95,a,0.9346645654712502,95,3,0.877148773773284,4,1,0,0,1
96,a,0.9346645654712502,96,2,0.8798017103528186,4,1,0,0,0
97,a,0.9346645654712502,97,3,0.8823774821094628,4,1,0,0,1
98,a,0.9346645654712503,98,2,0.8832306387977207,4,1,0,0,0
99,a,0.9346645654712498,99,2,0.8723781780081277,4,0,0,0,1
100,a,0.8536712600011059,100,4,0.8536712600011059,4,1,1,0,1
101,a,0.9346645654712499,101,3,0.8617259042039751,4,1,0,0,1
102,a,0.9346645654712499,102,2,0.9346645654712499,4,0,0,0,1
103,a,0.9346645654712499,103,2,0.9346645654712499,4,0,0,0,1
104,a,0.08772496012180364,104,3,0.08772496012180364,4,0,1,0,1
105,a,0.9346645654712499,105,2,0.7229296641338884,4,0,0,0,1
106,a,0.9346645654712499,106,2,0.7652766444013607,4,0,0,0,1
107,a,0.9346645654712498,107,2,0.7935079645796755,4,0,0,0,1
108,a,0.9346645654712499,108,2,0.8136731932784719,4,0,0,0,1
109,a,0.9346645654712499,109,2,0.8287971148025691,4,0,0,0,1
110,a,0.9346645654712499,110,2,0.840560164876867,4,0,0,0,1
111,a,0.9346645654712498,111,2,0.8499706049363052,4,0,0,0,1
112,a,0.9346645654712498,112,2,0.8576700558940274,4,0,0,0,1
113,a,0.9346645654712499,113,3,0.9346645654712499,4,0,0,0,2
114,a,0.9346645654712499,114,3,0.9346645654712499,4,0,0,0,2
115,a,0.3488453313525036,115,4,0.3488453313525036,4,0,1,0,2
116,a,0.9346645654712499,116,2,0.8391473095067037,4,0,0,0,1
117,a,0.9346645654712499,117,2,0.8451171380044878,4,0,0,0,1
118,a,0.9346645654712499,118,2,0.8503846337378268,4,0,0,0,1
119,a,0.9346645654712499,119,3,0.7882097569415634,4,0,0,0,2
120,a,0.9346645654712499,120,3,0.8175007186475007,4,0,0,0,2
121,a,0.9346645654712499,121,2,0.8630266234978402,4,0,0,0,1
122,a,0.9346645654712498,122,3,0.8370280264514589,4,0,0,0,2
123,a,0.9346645654712499,123,3,0.8509761034542862,4,0,0,0,2
124,a,0.9346645654712499,124,2,0.872370702885676,4,0,0,0,1
125,a,0.9346645654712499,125,3,0.8614371612064067,4,0,0,0,2
126,a,0.9346645654712499,126,2,0.8773542118925218,4,0,0,0,1
127,a,0.9346645654712499,127,3,0.8695735394580559,4,0,0,0,2
128,a,0.9346645654712499,128,2,0.8815994232687238,4,0,0,0,1
129,a,0.9346645654712498,129,3,0.8760826420593754,4,0,0,0,2
130,a,0.9346645654712498,130,2,0.8852590882482082,4,0,0,0,1
131,a,0.9346645654712498,131,3,0.8814082714604549,4,0,0,0,2
132,a,0.9346645654712497,132,2,0.8884465383916301,4,0,0,0,1
133,a,0.9346645654712509,133,4,0.9346645654712509,4,1,0,0,2
134,a,0.9346645654712497,134,2,0.8912476309419102,4,0,0,0,1
135,a,0.9346645654712495,135,2,0.8925245996045377,4,0,0,0,1
136,a,0.9346645654712509,136,4,0.9346645654712509,4,1,0,0,2
137,a,0.9346645654712495,137,2,0.8948657088193551,4,0,0,0,1
138,a,0.9318978893120221,138,5,0.9318978893120221,4,1,0,1,2
139,a,0.9346645654712494,139,2,0.8968875782178962,4,0,0,0,1
140,a,0.9318978893120221,140,5,0.9318978893120221,4,1,0,1,2
141,a,0.9288459652466224,141,2,0.8712683053984642,4,0,0,1,0
142,a,0.9346645654712499,142,3,0.9346645654712499,4,1,0,0,1
143,a,0.9346645654712497,143,2,0.8765306038390024,4,0,0,0,1
144,a,0.9288459652466224,144,2,0.8732537419449524,4,0,0,1,0
145,a,0.9346645654712499,145,3,0.9346645654712499,4,1,0,0,1
146,a,0.9346645654712498,146,3,0.8690197703307027,4,1,0,0,1
147,a,0.9288459652466226,147,2,0.8751068160550081,4,0,0,1,0
148,a,0.9346645654712499,148,4,0.9346645654712499,4,1,0,0,2
149,a,0.9346645654712497,149,2,0.8801639764410177,4,0,0,0,1
150,a,0.9288459652466221,150,3,0.7539292708488021,4,0,0,1,1
151,a,0.9346645654712499,151,4,0.9346645654712499,4,1,0,0,2
152,a,0.9346645654712498,152,3,0.8749874789798433,4,1,0,0,1
153,a,0.9346645654712503,153,2,0.8838740078529241,4,1,0,0,0
154,a,0.9346645654712499,154,3,0.9346645654712498,4,1,0,0,1
155,a,0.9346645654712495,155,2,0.883369893442796,4,0,0,0,1
156,a,0.9288459652466221,156,3,0.7889126097283661,4,0,0,1,1
157,a,0.9346645654712504,157,2,0.8853251666420192,4,1,0,0,0
158,a,0.9346645654712499,158,4,0.9346645654712499,4,1,0,0,2
159,a,0.15913196798437326,159,5,0.15913196798437326,4,1,1,0,2
160,a,0.9288459652466221,160,3,0.8122348356480754,4,0,0,1,1
161,a,0.9346645654712504,161,2,0.8866957054983868,4,1,0,0,0
162,a,0.9346645654712495,162,2,0.8862195974443767,4,0,0,0,1
163,a,0.8536712600011059,163,4,0.8536712600011059,4,1,1,0,1
164,a,0.9288459652466226,164,2,0.8814290689010804,4,0,0,1,0
165,a,0.9346645654712499,165,4,0.9346645654712499,4,1,0,0,2
166,a,0.9288459652466221,166,3,0.8288935684478679,4,0,0,1,1
167,a,0.9346645654712494,167,2,0.8887693326036858,4,0,0,0,1
168,a,0.9288459652466226,168,2,0.8840633409202773,4,0,0,1,0
169,a,0.929159556071246,169,5,0.929159556071246,4,1,0,1,2
170,a,0.9288459652466221,170,3,0.8413876180477121,4,0,0,1,1
171,a,0.9346645654712504,171,3,0.9346645654712504,4,1,0,0,1
172,a,0.9346645654712505,172,2,0.8870889795635337,4,1,0,0,0
173,a,0.9288459652466226,173,2,0.8864203211479796,4,0,0,1,0
174,a,0.9346645654712504,174,3,0.9346645654712504,4,1,0,0,1
175,a,0.9346645654712505,175,2,0.8883088663816804,4,1,0,0,0
176,a,0.9288459652466206,176,4,0.9288459652466206,4,1,0,1,1
177,a,0.9288459652466221,177,3,0.8511052121809244,4,0,0,1,1
178,a,0.9346645654712509,178,3,0.9346645654712509,4,2,0,0,0
