budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,a,0.04207897977473342,1.0,2.0,0.04207897977473342,4.0,0.0,0.0,1.0,0.0
2.0,a,0.20721699083639095,2.0,2.0,0.20721699083639095,4.0,0.0,1.0,0.0,0.0
3.0,a,0.20721699083639095,3.0,2.0,0.20721699083639095,4.0,0.0,1.0,0.0,0.0
4.0,a,-0.009576465058971799,4.0,3.0,-0.009576465058971799,4.0,0.0,2.0,0.0,0.0
5.0,a,0.04207897977473342,5.0,2.0,0.04207897977473342,4.0,0.0,0.0,1.0,0.0
6.0,a,0.20721699083639092,6.0,2.0,0.15301862686255024,4.0,0.0,1.0,0.0,0.0
7.0,a,0.04207897977473342,7.0,3.0,0.04207897977473342,4.0,0.0,0.0,2.0,0.0
8.0,a,0.20721699083639095,8.0,2.0,0.1638582996573184,4.0,0.0,1.0,0.0,0.0
9.0,a,-0.009576465058971799,9.0,3.0,-0.009576465058971799,4.0,0.0,2.0,0.0,0.0
10.0,a,0.04207897977473342,10.0,3.0,0.04207897977473342,4.0,0.0,0.0,2.0,0.0
11.0,a,0.17338509498610627,11.0,2.0,0.17338509498610627,4.0,0.0,1.0,0.0,0.0
12.0,a,0.17338509498610627,12.0,2.0,0.17338509498610627,4.0,0.0,1.0,0.0,0.0
13.0,a,-0.04731262028844395,13.0,3.0,-0.04731262028844395,4.0,0.0,2.0,0.0,0.0
14.0,a,0.1733850949861063,14.0,2.0,0.11821066616746871,4.0,0.0,1.0,0.0,0.0
15.0,a,0.17338509498610627,15.0,2.0,0.12924555193119622,4.0,0.0,1.0,0.0,0.0
16.0,a,-0.04731262028844395,16.0,3.0,-0.04731262028844395,4.0,0.0,2.0,0.0,0.0
17.0,a,0.20721699083639095,17.0,2.0,0.14527600343771588,4.0,0.0,1.0,0.0,0.0
18.0,a,0.20721699083639097,18.0,2.0,0.15301862686255027,4.0,0.0,1.0,0.0,0.0
19.0,a,0.20721699083639097,19.0,2.0,0.15904066730408814,4.0,0.0,1.0,0.0,0.0
20.0,a,0.20721699083639097,20.0,2.0,0.1638582996573184,4.0,0.0,1.0,0.0,0.0
21.0,a,0.042078979774733426,21.0,2.0,0.04207897977473342,4.0,0.0,0.0,1.0,0.0
22.0,a,0.17338509498610627,22.0,2.0,0.11032860490766334,4.0,0.0,1.0,0.0,0.0
23.0,a,0.20721699083639097,23.0,2.0,0.16779999885541594,4.0,0.0,1.0,0.0,0.0
24.0,a,0.20721699083639095,24.0,3.0,0.20721699083639095,4.0,1.0,1.0,0.0,0.0
25.0,a,0.17338509498610624,25.0,2.0,0.1182106661674687,4.0,0.0,1.0,0.0,0.0
26.0,a,0.20721699083639095,26.0,3.0,0.20721699083639095,4.0,1.0,1.0,0.0,0.0
27.0,a,0.20721699083639095,27.0,4.0,0.20721699083639095,4.0,1.0,1.0,1.0,0.0
28.0,a,0.17338509498610624,28.0,2.0,0.12434115825842842,4.0,0.0,1.0,0.0,0.0
29.0,a,0.20721699083639095,29.0,4.0,0.20721699083639095,4.0,1.0,1.0,1.0,0.0
30.0,a,0.04207897977473343,30.0,4.0,0.04207897977473343,4.0,0.0,0.0,3.0,0.0
31.0,a,0.17338509498610624,31.0,2.0,0.1292455519311962,4.0,0.0,1.0,0.0,0.0
32.0,a,0.20721699083639092,32.0,3.0,0.20721699083639095,4.0,1.0,1.0,0.0,0.0
33.0,a,0.20721699083639095,33.0,5.0,0.20721699083639095,4.0,1.0,1.0,2.0,0.0
34.0,a,0.17338509498610624,34.0,2.0,0.13325823766346076,4.0,0.0,1.0,0.0,0.0
35.0,a,0.20721699083639095,35.0,3.0,0.20721699083639097,4.0,1.0,1.0,0.0,0.0
36.0,a,0.09647405887062131,36.0,4.0,0.09647405887062131,4.0,0.0,3.0,0.0,0.0
37.0,a,0.149627572477061,37.0,3.0,0.149627572477061,4.0,0.0,2.0,0.0,0.0
38.0,a,0.149627572477061,38.0,3.0,0.149627572477061,4.0,0.0,2.0,0.0,0.0
39.0,a,0.04207897977473338,39.0,2.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
40.0,a,0.04207897977473338,40.0,2.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
41.0,a,0.042078979774733405,41.0,3.0,0.042078979774733405,4.0,1.0,0.0,1.0,0.0
42.0,a,0.042078979774733405,42.0,3.0,0.042078979774733405,4.0,1.0,0.0,1.0,0.0
43.0,a,0.17669025015814005,43.0,4.0,0.17669025015814005,4.0,1.0,1.0,1.0,0.0
44.0,a,0.04207897977473338,44.0,2.0,0.06451419150530117,4.0,0.0,0.0,1.0,0.0
45.0,a,0.17669025015814005,45.0,4.0,0.17669025015814005,4.0,1.0,1.0,1.0,0.0
46.0,a,0.007415034266081241,46.0,5.0,0.007415034266081241,4.0,1.0,2.0,1.0,0.0
47.0,a,0.04207897977473342,47.0,2.0,0.04207897977473342,4.0,0.0,0.0,1.0,0.0
48.0,a,0.20721699083639095,48.0,5.0,0.20721699083639095,4.0,1.0,1.0,2.0,0.0
49.0,a,0.20721699083639095,49.0,3.0,0.20721699083639097,4.0,1.0,1.0,0.0,0.0
50.0,a,0.14962757247706096,50.0,4.0,0.14962757247706096,4.0,1.0,2.0,0.0,0.0
51.0,a,0.20721699083639095,51.0,2.0,0.18247472521109573,4.0,0.0,1.0,0.0,0.0
