budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701902,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,a,74.55848044894364,1.0,2.0,74.55848044894364,8.0,0.0,1.0,0.0,0.0
2.0,a,74.55590154701902,2.0,2.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
3.0,a,74.55848044894364,3.0,2.0,74.55848044894364,8.0,0.0,1.0,0.0,0.0
4.0,a,74.55590154701902,4.0,2.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
5.0,a,74.56434779456073,5.0,3.0,74.56434779456073,8.0,0.0,1.0,0.0,1.0
6.0,a,74.55590154701902,6.0,3.0,74.55590154701902,8.0,0.0,0.0,0.0,2.0
7.0,a,74.56434779456073,7.0,3.0,74.56434779456073,8.0,0.0,1.0,0.0,1.0
8.0,a,74.55590154701902,8.0,3.0,74.55590154701902,8.0,0.0,0.0,0.0,2.0
9.0,a,74.54328647696902,9.0,4.0,74.54328647696902,8.0,0.0,2.0,0.0,1.0
10.0,a,74.55590154701902,10.0,2.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
11.0,a,74.55462723483501,11.0,2.0,74.55462723483501,8.0,0.0,1.0,0.0,0.0
12.0,a,74.55462723483501,12.0,2.0,74.55462723483501,8.0,0.0,1.0,0.0,0.0
13.0,a,74.47815113289252,13.0,3.0,74.47815113289252,8.0,0.0,1.0,1.0,0.0
14.0,a,74.47815113289252,14.0,3.0,74.47815113289252,8.0,0.0,1.0,1.0,0.0
15.0,a,74.55848044894364,15.0,2.0,74.55790390215356,8.0,0.0,1.0,0.0,0.0
16.0,a,74.55590154701902,16.0,4.0,74.55590154701902,8.0,1.0,0.0,0.0,2.0
17.0,a,74.55462723483501,17.0,2.0,74.52403679405802,8.0,0.0,1.0,0.0,0.0
18.0,a,74.55848044894364,18.0,2.0,74.55798626598072,8.0,0.0,1.0,0.0,0.0
19.0,a,74.55590154701902,19.0,2.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
20.0,a,74.55462723483501,20.0,2.0,74.52913520085418,8.0,0.0,1.0,0.0,0.0
21.0,a,74.54328647696902,21.0,4.0,74.54328647696902,8.0,0.0,2.0,0.0,1.0
22.0,a,74.55590154701902,22.0,4.0,74.55590154701902,8.0,1.0,0.0,0.0,2.0
23.0,a,74.49883245896294,23.0,4.0,74.49883245896294,8.0,0.0,1.0,2.0,0.0
24.0,a,74.55848044894364,24.0,2.0,74.55640786530863,8.0,0.0,1.0,0.0,0.0
25.0,a,74.55590154701902,25.0,2.0,74.55590154701902,8.0,0.0,0.0,0.0,1.0
26.0,a,74.55462723483501,26.0,2.0,74.52853386236539,8.0,0.0,1.0,0.0,0.0
27.0,a,74.56434779456073,27.0,3.0,74.55592326752404,8.0,0.0,1.0,0.0,1.0
28.0,a,74.55590154701902,28.0,3.0,74.55590154701902,8.0,0.0,0.0,0.0,2.0
29.0,a,74.55848044894366,29.0,2.0,74.55731809375291,8.0,0.0,1.0,0.0,0.0
30.0,a,74.49883245896294,30.0,4.0,74.49883245896294,8.0,0.0,1.0,2.0,0.0
31.0,a,74.55590154701902,31.0,2.0,74.55590154701903,8.0,0.0,0.0,0.0,1.0
32.0,a,74.5428889917099,32.0,3.0,74.5428889917099,8.0,0.0,2.0,0.0,0.0
33.0,a,74.54787763411865,33.0,3.0,74.54787763411865,8.0,0.0,0.0,1.0,1.0
34.0,a,74.55462723483502,34.0,2.0,74.52817305927212,8.0,0.0,1.0,0.0,0.0
35.0,a,74.5428889917099,35.0,3.0,74.5428889917099,8.0,0.0,2.0,0.0,0.0
