budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.8243929953447555,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,a,6.13055717324997,1.0,2.0,6.13055717324997,10.0,0.0,1.0,0.0,0.0
2.0,a,5.8243929953447555,2.0,2.0,5.8243929953447555,10.0,0.0,0.0,0.0,1.0
3.0,a,6.13055717324997,3.0,2.0,6.13055717324997,10.0,0.0,1.0,0.0,0.0
4.0,a,6.1305571732499695,4.0,3.0,6.1305571732499695,10.0,1.0,1.0,0.0,0.0
5.0,a,6.1305571732499695,5.0,3.0,6.1305571732499695,10.0,1.0,1.0,0.0,0.0
6.0,a,6.130557173249971,6.0,2.0,6.13055717324997,10.0,0.0,1.0,0.0,0.0
7.0,a,5.8243929953447555,7.0,2.0,5.8243929953447555,10.0,0.0,0.0,0.0,1.0
8.0,a,6.130557173249971,8.0,4.0,6.130557173249971,10.0,2.0,1.0,0.0,0.0
9.0,a,6.13055717324997,9.0,2.0,6.1305571732499695,10.0,0.0,1.0,0.0,0.0
10.0,a,6.130557173249971,10.0,4.0,6.130557173249971,10.0,2.0,1.0,0.0,0.0
11.0,a,5.824395465784498,11.0,2.0,5.824395465784498,10.0,0.0,0.0,1.0,0.0
12.0,a,5.824395465784498,12.0,2.0,5.824395465784498,10.0,0.0,0.0,1.0,0.0
13.0,a,6.13055717324997,13.0,2.0,6.1305571732499695,10.0,0.0,1.0,0.0,0.0
14.0,a,6.13055717324997,14.0,5.0,6.13055717324997,10.0,3.0,1.0,0.0,0.0
15.0,a,6.1305571732499695,15.0,2.0,6.1305571732499695,10.0,0.0,1.0,0.0,0.0
16.0,a,6.130557173249971,16.0,3.0,6.130557173249971,10.0,1.0,1.0,0.0,0.0
17.0,a,6.130557173249971,17.0,3.0,6.130557173249971,10.0,1.0,1.0,0.0,0.0
18.0,a,6.340367412494763,18.0,4.0,6.340367412494763,10.0,1.0,2.0,0.0,0.0
19.0,a,6.340367412494763,19.0,4.0,6.340367412494763,10.0,1.0,2.0,0.0,0.0
20.0,a,6.044766577899099,20.0,5.0,6.044766577899099,10.0,2.0,2.0,0.0,0.0
21.0,a,6.340367412494763,21.0,4.0,6.266467203845847,10.0,1.0,2.0,0.0,0.0
22.0,a,6.340367412494763,22.0,4.0,6.2812472455756305,10.0,1.0,2.0,0.0,0.0
23.0,a,6.340367412494763,23.0,4.0,6.291100606728819,10.0,1.0,2.0,0.0,0.0
24.0,a,6.130557173249971,24.0,3.0,6.237586128902537,10.0,1.0,1.0,0.0,0.0
25.0,a,6.044766577899099,25.0,5.0,6.044766577899099,10.0,2.0,2.0,0.0,0.0
26.0,a,5.833881720688484,26.0,3.0,5.833881720688484,10.0,0.0,0.0,2.0,0.0
27.0,a,6.042587204752943,27.0,3.0,6.042587204752943,10.0,0.0,1.0,0.0,1.0
28.0,a,6.1305571732499695,28.0,3.0,6.1305571732499695,10.0,1.0,1.0,0.0,0.0
29.0,a,6.340367412494763,29.0,4.0,6.266467203845847,10.0,1.0,2.0,0.0,0.0
