budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0,,0.873597849947558,0,0,0,4,0,0,0,0
1,a,0.8696825154081719,1,2,0.8696825154081719,4,0,0,1,0
2,a,0.5781236775773264,2,2,0.5781236775773264,4,0,1,0,0
3,a,0.8696825154081719,3,2,0.8696825154081719,4,0,0,1,0
4,a,0.8696825154081768,4,3,0.8696825154081768,4,1,0,1,0
5,a,0.8696825154081768,5,3,0.8696825154081768,4,1,0,1,0
6,a,0.8696825154081749,6,4,0.8696825154081749,4,2,0,1,0
7,a,0.5781236775773264,7,2,0.5781236775773264,4,0,1,0,0
8,a,0.8696825154081719,8,2,0.869682515408174,4,0,0,1,0
9,a,0.8696825154081749,9,4,0.8696825154081749,4,2,0,1,0
10,a,0.8696825154081719,10,2,0.8696825154081739,4,0,0,1,0
11,a,0.08208724373867651,11,2,0.08208724373867651,4,0,1,0,0
12,a,0.8696825154081768,12,3,0.869682515408176,4,1,0,1,0
13,a,0.8696825154081719,13,2,0.869682515408174,4,0,0,1,0
14,a,0.41168142365385857,14,5,0.41168142365385857,4,2,1,1,0
15,a,0.5781236775773264,15,3,0.5781236775773264,4,0,1,0,1
16,a,0.7057572921323433,16,3,0.7057572921323433,4,0,1,1,0
17,a,0.7057572921323433,17,3,0.7057572921323433,4,0,1,1,0
18,a,0.7057572921323441,18,4,0.7057572921323441,4,1,1,1,0
19,a,0.8696825154081719,19,2,0.8063640646360534,4,0,0,1,0
20,a,0.869682515408172,20,2,0.8103214678093108,4,0,0,1,0
21,a,0.869682515408172,21,2,0.8138132941386556,4,0,0,1,0
22,a,0.869682515408172,22,2,0.8169171397647399,4,0,0,1,0
23,a,0.5781236775773264,23,3,0.5781236775773264,4,0,1,0,1
24,a,0.7057572921323441,24,4,0.7057572921323441,4,1,1,1,0
25,a,0.869682515408172,25,2,0.8139974161652915,4,0,0,1,0
26,a,0.8696825154081721,26,2,0.8166490875578096,4,0,0,1,0
27,a,0.8696825154081721,27,2,0.8190596979146444,4,0,0,1,0
28,a,0.8696825154081768,28,3,0.8042537880147022,4,1,0,1,0
29,a,0.8696825154081721,29,2,0.8232782660391051,4,0,0,1,0
30,a,0.8696825154081769,30,3,0.8124323789388864,4,1,0,1,0
31,a,0.8696825154081721,31,2,0.8268478236828797,4,0,0,1,0
32,a,0.8696825154081768,32,3,0.818793505213252,4,1,0,1,0
33,a,0.6592761060381034,33,5,0.6592761060381034,4,1,1,2,0
34,a,0.8696825154081721,34,2,0.8240236052623904,4,0,0,1,0
35,a,0.8696825154081768,35,3,0.8238824062327446,4,1,0,1,0
36,a,0.8696825154081721,36,2,0.8269693414008281,4,0,0,1,0
37,a,0.8696825154081768,37,3,0.8280460525214203,4,1,0,1,0
38,a,0.8696825154081721,38,2,0.8295580186133945,4,0,0,1,0
39,a,0.873597849947558,39,2,0.873597849947558,4,1,0,0,0
40,a,0.873597849947558,40,2,0.873597849947558,4,1,0,0,0
41,a,0.2679333545130702,41,3,0.2679333545130702,4,1,1,0,0
42,a,0.873597849947558,42,2,0.722181726088936,4,1,0,0,0
43,a,0.873597849947558,43,2,0.7524649508606605,4,1,0,0,0
44,a,0.8735978499475581,44,2,0.7726537673751434,4,1,0,0,0
45,a,0.873597849947558,45,2,0.7870743505997739,4,1,0,0,0
46,a,0.873597849947558,46,2,0.797889788018247,4,1,0,0,0
47,a,0.873597849947558,47,2,0.8063017948992814,4,1,0,0,0
48,a,0.873597849947558,48,2,0.8130314004041092,4,1,0,0,0
49,a,0.8735978499475581,49,2,0.8185374412716954,4,1,0,0,0
50,a,0.07292393175936032,50,3,0.07292393175936032,4,1,1,0,0
51,a,0.873597849947558,51,2,0.7654179719765821,4,1,0,0,0
52,a,0.873597849947558,52,2,0.7731451061173661,4,1,0,0,0
53,a,0.873597849947558,53,2,0.7798419557060455,4,1,0,0,0
54,a,0.873597849947558,54,2,0.7857016990961401,4,1,0,0,0
55,a,0.873597849947558,55,2,0.7908720609109293,4,1,0,0,0
56,a,0.873597849947558,56,2,0.7954679380796309,4,1,0,0,0
57,a,0.873597849947558,57,2,0.7995800387042586,4,1,0,0,0
58,a,0.873597849947558,58,2,0.8032809292664236,4,1,0,0,0
59,a,0.8735978499475581,59,2,0.8066293540607633,4,1,0,0,0
60,a,0.8735978499475581,60,2,0.8096733766010722,4,1,0,0,0
61,a,0.5781236775773264,61,2,0.5781236775773264,4,0,1,0,0
62,a,0.8735978499475581,62,2,0.8124527015291803,4,1,0,0,0
63,a,0.873597849947558,63,2,0.8150004160466127,4,1,0,0,0
64,a,0.873597849947558,64,2,0.8173443134026505,4,1,0,0,0
65,a,0.873597849947558,65,2,0.81950791096207,4,1,0,0,0
66,a,0.873597849947558,66,2,0.8215112420356065,4,1,0,0,0
67,a,0.873597849947558,67,2,0.823371478032462,4,1,0,0,0
68,a,0.873597849947558,68,2,0.8251034218916032,4,1,0,0,0
69,a,0.873597849947558,69,2,0.8267199028268017,4,1,0,0,0
70,a,0.873597849947558,70,2,0.8282320946694067,4,1,0,0,0
71,a,0.873597849947558,71,2,0.829649774521849,4,1,0,0,0
72,a,0.2679333545130702,72,3,0.2679333545130702,4,1,1,0,0
73,a,0.8696825154081768,73,4,0.8696825154081768,4,2,0,1,0
74,a,0.8696825154081721,74,2,0.8318508470016676,4,0,0,1,0
75,a,0.8696825154081768,75,4,0.8696825154081768,4,2,0,1,0
76,a,0.869682515408172,76,2,0.8338958020506679,4,0,0,1,0
77,a,0.8657855661243126,77,5,0.8657855661243126,4,2,0,2,0
78,a,0.869682515408172,78,2,0.8356310963437742,4,0,0,1,0
79,a,0.866164230387068,79,3,0.866164230387068,4,0,0,1,1
80,a,0.866164230387068,80,3,0.866164230387068,4,0,0,1,1
81,a,0.866164230387068,81,4,0.866164230387068,4,1,0,1,1
82,a,0.866164230387068,82,4,0.866164230387068,4,1,0,1,1
83,a,0.866164230387068,83,3,0.866164230387068,4,0,0,1,1
84,a,0.8626601785249273,84,5,0.8626601785249273,4,1,0,1,2
85,a,0.866164230387068,85,3,0.8656636515496193,4,0,0,1,1
86,a,0.8626601785249273,86,5,0.8626601785249273,4,1,0,1,2
87,a,0.866164230387068,87,3,0.8653855521954812,4,0,0,1,1
88,a,0.866164230387068,88,4,0.8647626096422117,4,1,0,1,1
89,a,0.866164230387068,89,3,0.865527130048497,4,0,0,1,1
90,a,0.11331466732081702,90,4,0.11331466732081702,4,0,1,1,1
91,a,0.873597849947558,91,2,0.8144212937988174,4,1,0,0,0
92,a,0.873597849947558,92,2,0.8161120525459243,4,1,0,0,0
93,a,0.873597849947558,93,2,0.8177088802515252,4,1,0,0,0
94,a,0.873597849947558,94,2,0.8192193929460126,4,1,0,0,0
95,a,0.4777719507615609,95,4,0.4777719507615609,4,0,2,0,1
96,a,0.873597849947558,96,2,0.8206504049723691,4,1,0,0,0
97,a,0.873597849947558,97,2,0.8220080317666046,4,1,0,0,0
98,a,0.873597849947558,98,3,0.873597849947558,4,2,0,0,0
99,a,0.873597849947558,99,3,0.873597849947558,4,2,0,0,0
100,a,0.08235180567367241,100,4,0.08235180567367241,4,2,1,0,0
101,a,0.7057572921323433,101,3,0.6980104277833035,4,0,1,1,0
102,a,0.7082376277142539,102,2,0.7082376277142539,4,0,1,0,0
103,a,0.7082376277142539,103,2,0.7082376277142539,4,0,1,0,0
104,a,0.7082376277142539,104,3,0.7082376277142539,4,1,1,0,0
105,a,0.7082376277142539,105,3,0.7082376277142539,4,1,1,0,0
106,a,0.7082376277142539,106,2,0.7082376277142539,4,0,1,0,0
107,a,0.7082376277142539,107,4,0.7082376277142539,4,1,1,0,1
108,a,0.7082376277142539,108,2,0.7082376277142538,4,0,1,0,0
109,a,0.7082376277142539,109,4,0.7082376277142539,4,1,1,0,1
110,a,0.7082376277142539,110,2,0.7082376277142539,4,0,1,0,0
111,a,0.7082376277142539,111,3,0.7082376277142539,4,1,1,0,0
112,a,0.7082376277142539,112,2,0.708237627714254,4,0,1,0,0
113,a,0.7082376277142535,113,3,0.7082376277142535,4,1,1,0,0
114,a,0.7082376277142535,114,3,0.7082376277142535,4,1,1,0,0
115,a,0.08208724373867651,115,2,0.08208724373867651,4,0,1,0,0
116,a,0.7082376277142539,116,4,0.7082376277142539,4,2,1,0,0
117,a,0.8657855661243126,117,5,0.8657855661243126,4,2,0,2,0
118,a,0.869682515408172,118,2,0.8271287264615986,4,0,0,1,0
119,a,0.8696825154081768,119,4,0.868123735694631,4,2,0,1,0
120,a,0.8696825154081721,120,2,0.8286485046382621,4,0,0,1,0
