budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701902,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,a,74.55590154701902,1.0,1.0,37.27795077350951,8.0,1.0,0.0,0.0,0.0
2.0,a,74.55590154701902,2.0,1.0,49.70393436467935,8.0,1.0,0.0,0.0,0.0
3.0,a,74.55590154701902,3.0,2.0,74.55590154701902,8.0,2.0,0.0,0.0,0.0
4.0,a,74.55590154701902,4.0,2.0,74.55590154701902,8.0,1.0,0.0,0.0,1.0
5.0,a,74.55590154701902,5.0,2.0,74.55590154701902,8.0,2.0,0.0,0.0,0.0
6.0,a,74.54736271694786,6.0,2.0,74.55305527032863,8.0,1.0,0.0,1.0,0.0
7.0,a,74.52898453282785,7.0,3.0,74.54244303992343,8.0,2.0,1.0,0.0,0.0
8.0,a,74.58410767858473,8.0,3.0,74.57000461280188,8.0,1.0,0.0,1.0,1.0
9.0,a,74.49705293939924,9.0,3.0,74.52220782817355,8.0,1.0,0.0,1.0,1.0
10.0,a,74.57851057398629,10.0,3.0,74.56720606050266,8.0,2.0,0.0,0.0,1.0
11.0,a,74.48167027373795,11.0,1.0,68.33309970421492,8.0,0.0,1.0,0.0,0.0
12.0,a,74.48167027373795,12.0,2.0,74.48167027373795,8.0,0.0,1.0,0.0,1.0
13.0,a,74.48167027373796,13.0,2.0,74.48167027373795,8.0,1.0,1.0,0.0,0.0
14.0,a,74.5274031733065,14.0,3.0,74.50453672352222,8.0,2.0,1.0,0.0,0.0
15.0,a,74.56674532147444,15.0,3.0,74.56705248082659,8.0,2.0,1.0,0.0,0.0
16.0,a,74.63543189816417,16.0,3.0,74.59181370792264,8.0,1.0,1.0,0.0,1.0
17.0,a,74.60940501821528,17.0,4.0,74.62241845818973,8.0,1.0,1.0,1.0,1.0
18.0,a,74.5478695352057,18.0,3.0,74.54425187168418,8.0,2.0,0.0,0.0,1.0
19.0,a,74.52618813932247,19.0,3.0,74.50392920653022,8.0,0.0,1.0,0.0,2.0
20.0,a,74.54736271694786,20.0,3.0,74.53059279109833,8.0,2.0,0.0,1.0,0.0
21.0,a,74.61060643743045,21.0,4.0,74.59455850570836,8.0,2.0,1.0,0.0,1.0
22.0,a,74.58410767858473,22.0,4.0,74.58410767858473,8.0,2.0,0.0,1.0,1.0
23.0,a,74.48167027373795,23.0,3.0,74.49691457359414,8.0,2.0,1.0,0.0,0.0
24.0,a,74.49598080316618,24.0,4.0,74.52192516918595,8.0,2.0,1.0,0.0,1.0
25.0,a,74.62171874236913,25.0,4.0,74.5845407296585,8.0,2.0,1.0,1.0,0.0
26.0,a,74.66454412360639,26.0,4.0,74.63646034666195,8.0,1.0,1.0,0.0,2.0
27.0,a,74.5993634140322,27.0,2.0,74.58352166840747,8.0,1.0,1.0,0.0,0.0
28.0,a,74.49677532894282,28.0,4.0,74.53176032520864,8.0,2.0,2.0,0.0,0.0
29.0,a,74.37679355843211,29.0,3.0,74.46155065716418,8.0,0.0,1.0,0.0,2.0
30.0,a,74.63769189880257,30.0,3.0,74.61852765641738,8.0,1.0,2.0,0.0,0.0
31.0,a,74.51531720259072,31.0,3.0,74.5841241718085,8.0,1.0,2.0,0.0,0.0
32.0,a,74.52898453282785,32.0,4.0,74.52898453282785,8.0,2.0,1.0,0.0,1.0
33.0,a,74.64575859020455,33.0,4.0,74.64172524450356,8.0,1.0,2.0,0.0,1.0
34.0,a,74.45266100752252,34.0,4.0,74.48398910505662,8.0,1.0,3.0,0.0,0.0
35.0,a,74.55590154701902,35.0,2.0,74.54817193782814,8.0,2.0,0.0,0.0,0.0
36.0,a,74.49810542199296,36.0,4.0,74.4975791806961,8.0,1.0,0.0,2.0,1.0
37.0,a,74.48475648260974,37.0,3.0,74.52032901481438,8.0,2.0,1.0,0.0,0.0
38.0,a,74.52459656397822,38.0,4.0,74.52599986864236,8.0,2.0,2.0,0.0,0.0
39.0,a,74.4828391574272,39.0,1.0,72.67947788914924,8.0,0.0,0.0,1.0,0.0
40.0,a,74.4828391574272,40.0,2.0,74.4828391574272,8.0,0.0,0.0,1.0,1.0
41.0,a,74.50339292554858,41.0,2.0,74.48969041346766,8.0,0.0,0.0,2.0,0.0
42.0,a,74.52815563170144,42.0,3.0,74.515774278625,8.0,0.0,0.0,3.0,0.0
43.0,a,74.55044297889502,43.0,3.0,74.5166410681611,8.0,0.0,0.0,1.0,2.0
44.0,a,74.48283915742721,44.0,3.0,74.50537376458314,8.0,1.0,0.0,1.0,1.0
45.0,a,74.5001775951665,45.0,3.0,74.51057538413885,8.0,0.0,1.0,2.0,0.0
46.0,a,74.5218079094891,46.0,4.0,74.52498177059528,8.0,0.0,0.0,4.0,0.0
47.0,a,74.55044297889502,47.0,4.0,74.55044297889502,8.0,0.0,0.0,1.0,3.0
48.0,a,74.56474596107884,48.0,4.0,74.52379255925302,8.0,1.0,1.0,1.0,1.0
49.0,a,74.50802769022415,49.0,4.0,74.50410264269533,8.0,0.0,2.0,2.0,0.0
50.0,a,74.61417852605868,50.0,4.0,74.59413129440938,8.0,1.0,0.0,1.0,2.0
51.0,a,74.52618813932247,51.0,4.0,74.52618813932247,8.0,1.0,1.0,0.0,2.0
52.0,a,74.62243769648371,52.0,3.0,74.55436524203749,8.0,2.0,1.0,0.0,0.0
53.0,a,74.63769189880256,53.0,4.0,74.64038079593657,8.0,2.0,2.0,0.0,0.0
54.0,a,74.64273054952601,54.0,4.0,74.63258412300486,8.0,2.0,2.0,0.0,0.0
55.0,a,74.65424437377773,55.0,5.0,74.65939424869205,8.0,1.0,2.0,0.0,2.0
56.0,a,74.62243769648374,56.0,4.0,74.62920198083116,8.0,3.0,1.0,0.0,0.0
57.0,a,74.64575859020455,57.0,5.0,74.64575859020455,8.0,2.0,2.0,0.0,1.0
58.0,a,74.59405232670771,58.0,5.0,74.60172867246149,8.0,1.0,2.0,1.0,1.0
59.0,a,74.40528842881672,59.0,4.0,74.44502245571323,8.0,2.0,2.0,0.0,0.0
60.0,a,74.48283915742721,60.0,2.0,74.51321252505896,8.0,1.0,0.0,1.0,0.0
