budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.8243929953447555,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,a,5.8243929953447555,1.0,1.0,2.9121964976723778,10.0,0.0,0.0,0.0,1.0
2.0,a,5.824392995344756,2.0,1.0,3.8829286635631703,10.0,1.0,0.0,0.0,0.0
3.0,a,5.824392995344756,3.0,2.0,5.824392995344756,10.0,2.0,0.0,0.0,0.0
4.0,a,5.992177142202823,4.0,2.0,5.90828506877379,10.0,0.0,1.0,0.0,1.0
5.0,a,6.268132352584662,5.0,2.0,6.028234163377413,10.0,0.0,1.0,0.0,1.0
6.0,a,6.376112949551121,6.0,3.0,6.322122651067891,10.0,0.0,2.0,0.0,1.0
7.0,a,6.27763509700855,7.0,3.0,6.307293466381444,10.0,0.0,1.0,0.0,2.0
8.0,a,6.382004589314707,8.0,4.0,6.379058769432914,10.0,0.0,2.0,1.0,1.0
9.0,a,5.783832161073743,9.0,4.0,6.030733629041146,10.0,0.0,1.0,0.0,3.0
10.0,a,5.992177142202823,10.0,3.0,5.992177142202823,10.0,0.0,1.0,0.0,2.0
11.0,a,5.833895739768634,11.0,1.0,5.531595513311777,10.0,0.0,0.0,0.0,1.0
12.0,a,5.795471281639572,12.0,2.0,5.8146835107041035,10.0,0.0,0.0,0.0,2.0
13.0,a,6.376681001451487,13.0,4.0,6.378266180105772,10.0,0.0,2.0,1.0,1.0
14.0,a,6.385452218202152,14.0,5.0,6.383728403758429,10.0,0.0,2.0,1.0,2.0
15.0,a,6.376888744899976,15.0,5.0,6.3767848731757315,10.0,0.0,2.0,2.0,1.0
16.0,a,5.368021988289271,16.0,2.0,6.11695903184384,10.0,0.0,1.0,0.0,1.0
17.0,a,6.6888405050392565,17.0,5.0,6.485432437518704,10.0,0.0,3.0,1.0,1.0
18.0,a,6.6888405050392565,18.0,6.0,6.6888405050392565,10.0,1.0,3.0,1.0,1.0
19.0,a,6.687989036934787,19.0,6.0,6.688556682337766,10.0,0.0,3.0,2.0,1.0
20.0,a,6.268132352584662,20.0,3.0,6.380045126140363,10.0,1.0,1.0,0.0,1.0
21.0,a,6.2681323525846615,21.0,4.0,6.2681323525846615,10.0,2.0,1.0,0.0,1.0
22.0,a,6.698044701291312,22.0,7.0,6.693442603165284,10.0,1.0,3.0,2.0,1.0
23.0,a,6.589532420355171,23.0,7.0,6.638760728644979,10.0,1.0,3.0,2.0,1.0
24.0,a,6.556657777896983,24.0,4.0,6.364307494355436,10.0,1.0,2.0,0.0,1.0
25.0,a,6.58217379251988,25.0,5.0,6.569415785208431,10.0,1.0,3.0,0.0,1.0
26.0,a,6.83103479586173,26.0,5.0,6.656622122092863,10.0,1.0,3.0,0.0,1.0
27.0,a,6.867678854389057,27.0,6.0,6.849356825125394,10.0,1.0,4.0,0.0,1.0
28.0,a,6.826759749247413,28.0,6.0,6.8418244664994,10.0,1.0,3.0,1.0,1.0
29.0,a,6.870219394322319,29.0,7.0,6.868949124355688,10.0,1.0,4.0,0.0,2.0
30.0,a,6.58217379251988,30.0,6.0,6.58217379251988,10.0,2.0,3.0,0.0,1.0
31.0,a,6.826759749247416,31.0,7.0,6.826759749247414,10.0,2.0,3.0,1.0,1.0
32.0,a,6.863788269204757,32.0,7.0,6.867228839305377,10.0,1.0,4.0,0.0,2.0
33.0,a,6.268132352584663,33.0,4.0,6.634303602746953,10.0,2.0,1.0,0.0,1.0
34.0,a,6.858046006618496,34.0,7.0,6.837188501704442,10.0,1.0,4.0,1.0,1.0
35.0,a,6.869125871988517,35.0,8.0,6.869672633155418,10.0,1.0,4.0,1.0,2.0
36.0,a,6.10847327587365,36.0,5.0,6.7202409441408415,10.0,1.0,2.0,0.0,2.0
37.0,a,6.178371556527076,37.0,5.0,6.22325195455587,10.0,2.0,2.0,0.0,1.0
38.0,a,6.173148488617794,38.0,5.0,6.220640420601228,10.0,3.0,1.0,0.0,1.0
39.0,a,5.826551746773099,39.0,1.0,6.19150671855614,10.0,0.0,0.0,1.0,0.0
40.0,a,5.54077228927161,40.0,2.0,5.683662018022354,10.0,0.0,1.0,1.0,0.0
41.0,a,6.392887597936903,41.0,6.0,6.389169908069528,10.0,0.0,2.0,2.0,2.0
42.0,a,7.108061368881158,42.0,8.0,6.983053687749827,10.0,1.0,5.0,1.0,1.0
43.0,a,6.759250031159161,43.0,8.0,6.908452468886272,10.0,1.0,5.0,1.0,1.0
44.0,a,6.863789030872739,44.0,8.0,6.863788650038748,10.0,1.0,4.0,1.0,2.0
45.0,a,6.83103479586173,45.0,6.0,6.864628993137874,10.0,1.0,3.0,0.0,2.0
46.0,a,5.8243929953447555,46.0,2.0,6.458374495085782,10.0,0.0,0.0,0.0,2.0
47.0,a,6.829893136709935,47.0,7.0,6.830463966285833,10.0,1.0,4.0,0.0,2.0
48.0,a,6.284169380514154,48.0,6.0,6.482838988517972,10.0,1.0,4.0,0.0,1.0
49.0,a,6.56725562395462,49.0,7.0,6.742727852175428,10.0,1.0,4.0,0.0,2.0
50.0,a,6.826759749247416,50.0,8.0,6.826759749247416,10.0,2.0,3.0,1.0,2.0
51.0,a,6.154559859483872,51.0,3.0,6.549911382248922,10.0,1.0,1.0,0.0,1.0
52.0,a,5.790495581601021,52.0,4.0,5.9725277205424465,10.0,1.0,1.0,0.0,2.0
53.0,a,6.87021939432232,53.0,8.0,6.869854886877719,10.0,2.0,4.0,0.0,2.0
54.0,a,7.104509290302355,54.0,9.0,7.106285329591756,10.0,1.0,5.0,2.0,1.0
55.0,a,6.830528522894682,55.0,9.0,7.014366394026065,10.0,1.0,6.0,1.0,1.0
56.0,a,6.363823128579293,56.0,8.0,6.69713347621893,10.0,1.0,5.0,0.0,2.0
57.0,a,6.829893136709935,57.0,8.0,6.829893136709935,10.0,1.0,4.0,0.0,3.0
58.0,a,6.827595478220041,58.0,8.0,6.827038325571625,10.0,2.0,3.0,2.0,1.0
59.0,a,7.107421028465862,59.0,10.0,7.105965159384109,10.0,1.0,5.0,3.0,1.0
60.0,a,7.104509290302353,60.0,10.0,7.10547986969019,10.0,2.0,5.0,2.0,1.0
61.0,a,6.828249850677351,61.0,7.0,6.917370842938642,10.0,1.0,3.0,2.0,1.0
62.0,a,6.287208237090437,62.0,8.0,6.557729043883894,10.0,1.0,4.0,2.0,1.0
63.0,a,6.829893852621187,63.0,8.0,6.8298933753470195,10.0,1.0,4.0,1.0,2.0
64.0,a,6.827353584101491,64.0,9.0,6.828623718361339,10.0,1.0,4.0,1.0,3.0
65.0,a,6.686830733392717,65.0,8.0,6.627043178673668,10.0,1.0,5.0,0.0,2.0
66.0,a,6.875527785438904,66.0,9.0,6.872873589880612,10.0,2.0,5.0,0.0,2.0
