budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0,,0.9346645654712499,0,0,0,4,0,0,0,0
1,a,0.9291595560712466,1,1,0.4645797780356233,4,0,0,1,0
2,a,0.9346645654712499,2,1,0.6212747071808321,4,1,0,0,0
3,a,0.929159556071246,3,2,0.9319120607712479,4,1,0,1,0
4,a,0.9233752263754409,4,2,0.9262673912233437,4,0,0,2,0
5,a,0.9019866204706946,5,2,0.9219369140043968,4,1,1,0,0
6,a,0.9233752263754409,6,2,0.9253033362740428,4,0,0,2,0
7,a,0.9233752263754409,7,3,0.9233752263754409,4,1,0,2,0
8,a,0.929159556071246,8,3,0.929159556071246,4,2,0,1,0
9,a,0.917626906070931,9,3,0.920501066223186,4,0,0,2,1
10,a,0.8704511688617886,10,3,0.8862188946662416,4,1,1,0,1
11,a,0.9288459652466221,11,1,0.8425982977884457,4,0,0,1,0
12,a,0.9288459652466221,12,2,0.9288459652466221,4,0,0,1,1
13,a,0.9260965125738887,13,2,0.9279294810223776,4,0,0,2,0
14,a,0.9230635877588187,14,3,0.9259547765027204,4,0,0,2,1
15,a,0.9206423876690314,15,3,0.92336945012146,4,0,0,3,0
16,a,0.1369935977935951,16,3,0.662967716933012,4,0,1,1,1
17,a,0.9237517424177084,17,3,0.9235007317228634,4,0,0,2,1
18,a,0.912504839418833,18,3,0.923607983853775,4,1,1,1,0
19,a,0.9233752263754424,19,3,0.9214591196072716,4,1,0,2,0
20,a,0.9019866204706946,20,3,0.8914748032677259,4,1,1,0,1
21,a,0.8627024669477912,21,4,0.8932271046827498,4,0,1,2,1
22,a,0.9233752263754409,22,4,0.9262673912233435,4,2,0,2,0
23,a,0.920642387669034,23,4,0.9220088070222382,4,1,0,3,0
24,a,0.8721272473616518,24,4,0.8870569339161731,4,1,1,0,2
25,a,0.5534970681676175,25,4,0.7355619871192742,4,0,1,2,1
26,a,0.9125048394188324,26,4,0.9125048394188326,4,2,1,1,0
27,a,0.9233752263754409,27,4,0.9253033362740425,4,2,0,2,0
28,a,0.9346645654712509,28,2,0.912163335986531,4,2,0,0,0
29,a,0.16505888885801845,29,3,0.5498617271646347,4,2,1,0,0
30,a,0.917626906070931,30,4,0.920501066223186,4,1,0,2,1
31,a,0.9291595560712466,31,2,0.887305624582356,4,0,0,1,1
32,a,0.9291595560712466,32,3,0.9291595560712466,4,0,0,1,2
33,a,0.6320238787051964,33,3,0.8262542596493722,4,0,1,2,0
34,a,0.929159556071247,34,3,0.9291595560712467,4,1,0,1,1
35,a,0.9264095979537564,35,4,0.9277845770125017,4,1,0,2,1
36,a,0.9291595560712466,36,4,0.9291595560712466,4,0,0,1,3
37,a,0.9291595560712466,37,4,0.9291595560712466,4,0,0,1,3
38,a,0.10867554910824682,38,4,0.6498925605182062,4,1,1,2,0
39,a,0.9346645654712499,39,1,0.8210396561874171,4,0,0,0,1
40,a,0.9346645654712499,40,2,0.9346645654712499,4,0,0,0,2
41,a,0.1480407247384777,41,2,0.6724566185603259,4,0,1,0,1
42,a,0.10772079996362838,42,3,0.5211926827174391,4,0,1,0,2
43,a,0.8704511688617906,43,4,0.8704511688617896,4,2,1,0,1
44,a,0.9180142548678344,44,4,0.9193283212684329,4,0,0,3,1
45,a,0.15086226794742985,45,4,0.6631729701614318,4,0,1,3,0
46,a,0.8985666721426546,46,4,0.9078587836601066,4,1,1,1,1
47,a,0.10985046482894961,47,4,0.6279881108870986,4,1,2,0,1
48,a,0.929159556071247,48,4,0.9282429033654168,4,1,0,1,2
49,a,0.545986056792672,49,5,0.7375728064319593,4,0,1,1,3
50,a,0.9233752263754424,50,4,0.9224642801399728,4,2,0,2,0
51,a,0.9176269060709326,51,5,0.9205010662231875,4,2,0,3,0
52,a,0.1387969051075789,52,5,0.5297196463883064,4,1,1,3,0
53,a,0.07875440876132042,53,5,0.5010648175683806,4,2,1,2,0
54,a,0.9291595560712466,54,5,0.9291595560712468,4,2,0,1,2
55,a,0.920642387669032,55,5,0.9235259928113941,4,1,0,2,2
56,a,0.9256938042437002,56,5,0.9280043054620646,4,2,0,1,2
57,a,0.9291595560712481,57,3,0.8960006912690947,4,1,0,1,1
58,a,0.6607686583979596,58,4,0.7949641072346039,4,1,1,1,1
59,a,0.9230635877588166,59,4,0.9230635877588176,4,1,0,2,1
60,a,0.8480663353082535,60,4,0.8980645036086295,4,0,1,2,1
61,a,0.9230635877588187,61,2,0.7632984940529105,4,0,0,2,0
62,a,0.917626906070931,62,3,0.9203452469148748,4,0,0,2,1
63,a,0.9230635877588171,63,3,0.9212513605295222,4,1,0,2,0
64,a,0.9157564131127633,64,4,0.9194100004357902,4,1,1,2,0
65,a,0.9176269060709316,65,4,0.9176269060709312,4,1,0,2,1
66,a,0.9230635877588166,66,4,0.920627862876799,4,2,0,2,0
67,a,0.917626906070933,67,4,0.9176269060709318,4,1,0,2,1
68,a,0.9230635877588166,68,5,0.9230635877588166,4,2,0,2,1
69,a,0.2538504580678129,69,5,0.585738682069373,4,1,1,2,1
70,a,0.9264095979537554,70,4,0.8387792708076544,4,1,0,2,1
71,a,0.9237517424177089,71,5,0.9250806701857321,4,1,0,2,2
72,a,0.9237517424177084,72,4,0.903401983927736,4,0,0,2,2
73,a,0.9237517424177104,73,5,0.9237517424177094,4,1,0,2,2
74,a,0.8576247546342496,74,5,0.8601636107910204,4,0,1,2,2
75,a,0.9264095979537564,75,5,0.9244871945255149,4,2,0,2,1
76,a,0.8689275336856334,76,5,0.9063629580190325,4,1,1,2,1
77,a,0.9233752263754409,77,5,0.9236262370702866,4,0,0,2,3
78,a,0.9264095979537564,78,6,0.9277845770125015,4,2,0,2,2
79,a,0.863038873782173,79,5,0.8611220317880713,4,0,1,2,2
80,a,0.9291595560712466,80,5,0.9291595560712466,4,0,0,1,4
81,a,0.929159556071245,81,2,0.8535382250235175,4,1,0,1,0
82,a,0.912892186516541,82,3,0.921025871293893,4,1,0,2,0
83,a,0.9555166060259974,83,3,0.9325227828712611,4,2,0,1,0
84,a,0.9555166060259964,84,4,0.955516606025997,4,3,0,1,0
85,a,0.91289218651654,85,4,0.9128921865165405,4,2,0,2,0
86,a,0.9555166060259964,86,4,0.9555166060259968,4,3,0,1,0
87,a,0.9072091266491239,87,4,0.9109978332274017,4,1,0,3,0
88,a,0.9555166060259938,88,5,0.9555166060259951,4,4,0,1,0
89,a,0.91289218651654,89,5,0.91289218651654,4,3,0,2,0
90,a,0.9495681948591949,90,5,0.9525424004425956,4,3,0,2,0
91,a,0.9295384307353006,91,5,0.9468572142624302,4,3,0,1,1
92,a,0.929159556071245,92,3,0.9337814873366428,4,1,0,1,1
93,a,0.18523409533906335,93,4,0.5571968257051542,4,1,1,1,1
94,a,0.0855137677350651,94,5,0.5006350904239142,4,1,2,2,0
95,a,0.9072091266491225,95,5,0.9072091266491231,4,2,0,3,0
96,a,0.9555166060259964,96,5,0.9535338023037293,4,3,0,1,1
