budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,a,0.04207897977473342,1.0,1.0,0.02103948988736671,4.0,1.0,0.0,0.0,0.0
2.0,a,0.04207897977473336,2.0,1.0,0.028052653183155595,4.0,0.0,0.0,1.0,0.0
3.0,a,0.04207897977473342,3.0,2.0,0.04207897977473342,4.0,1.0,0.0,0.0,1.0
4.0,a,0.012550621481401944,4.0,2.0,0.027314800628067654,4.0,1.0,0.0,1.0,0.0
5.0,a,0.042078979774733405,5.0,2.0,0.04207897977473341,4.0,1.0,0.0,1.0,0.0
6.0,a,0.2074269965094494,6.0,2.0,0.0873521992551949,4.0,0.0,1.0,1.0,0.0
7.0,a,0.19561747510810573,7.0,3.0,0.20152223580877757,4.0,0.0,1.0,2.0,0.0
8.0,a,0.19211885346179416,8.0,3.0,0.19838777502644978,4.0,0.0,1.0,2.0,0.0
9.0,a,0.012550621481401882,9.0,3.0,0.012550621481401913,4.0,2.0,0.0,1.0,0.0
10.0,a,0.04207897977473342,10.0,3.0,0.04207897977473342,4.0,2.0,0.0,0.0,1.0
11.0,a,0.04207897977473338,11.0,1.0,0.07272820389087946,4.0,0.0,0.0,0.0,1.0
12.0,a,0.11526733026307293,12.0,2.0,0.07867315501890315,4.0,0.0,1.0,0.0,1.0
13.0,a,-0.017370619109704596,13.0,2.0,0.046658563642700566,4.0,0.0,1.0,0.0,1.0
14.0,a,0.11526733026307293,14.0,3.0,0.11526733026307293,4.0,0.0,1.0,0.0,2.0
15.0,a,-0.017370619109704596,15.0,3.0,-0.017370619109704596,4.0,0.0,1.0,0.0,2.0
16.0,a,0.019302587634369095,16.0,4.0,0.10746003137123741,4.0,1.0,1.0,2.0,0.0
17.0,a,0.042078979774733405,17.0,3.0,0.042078979774733405,4.0,1.0,0.0,1.0,1.0
18.0,a,0.20352090822471977,18.0,4.0,0.19781988084325697,4.0,0.0,1.0,3.0,0.0
19.0,a,0.09270709080368361,19.0,3.0,0.10774725044327649,4.0,0.0,1.0,0.0,2.0
20.0,a,0.13239609595469806,20.0,4.0,0.17601195254707067,4.0,0.0,2.0,2.0,0.0
21.0,a,0.04207897977473346,21.0,3.0,0.04207897977473343,4.0,2.0,0.0,0.0,1.0
22.0,a,0.01255062148140191,22.0,3.0,0.012550621481401911,4.0,1.0,0.0,2.0,0.0
23.0,a,0.20585116206766027,23.0,4.0,0.1605592461653666,4.0,0.0,2.0,0.0,2.0
24.0,a,0.08936412332798374,24.0,4.0,0.09103560706583368,4.0,1.0,1.0,0.0,2.0
25.0,a,0.11372727328970081,25.0,3.0,0.06596174427972254,4.0,1.0,1.0,1.0,0.0
26.0,a,0.05402412446775533,26.0,3.0,0.006427628749448712,4.0,0.0,2.0,0.0,1.0
27.0,a,0.02449693705418521,27.0,4.0,0.07980566659888667,4.0,0.0,2.0,2.0,0.0
28.0,a,0.11372727328970084,28.0,4.0,0.11372727328970082,4.0,1.0,1.0,2.0,0.0
29.0,a,0.11526733026307288,29.0,4.0,0.14546194086460204,4.0,0.0,1.0,1.0,2.0
30.0,a,0.04207897977473346,30.0,4.0,0.04207897977473346,4.0,2.0,0.0,0.0,2.0
31.0,a,0.042078979774733405,31.0,2.0,0.09139080649508284,4.0,1.0,0.0,1.0,0.0
32.0,a,0.12695112843640807,32.0,4.0,0.10300744752269181,4.0,0.0,1.0,1.0,2.0
33.0,a,0.04207897977473339,33.0,2.0,0.0803430284352306,4.0,0.0,0.0,1.0,1.0
34.0,a,0.042078979774733405,34.0,4.0,0.042078979774733405,4.0,1.0,0.0,1.0,2.0
35.0,a,0.04207897977473343,35.0,3.0,0.04207897977473342,4.0,2.0,0.0,1.0,0.0
36.0,a,0.04207897977473339,36.0,3.0,0.04207897977473339,4.0,0.0,0.0,1.0,2.0
37.0,a,0.21347005976251904,37.0,3.0,0.09920933977066197,4.0,1.0,1.0,1.0,0.0
38.0,a,0.21347005976251904,38.0,4.0,0.21347005976251904,4.0,1.0,1.0,1.0,1.0
39.0,a,0.04207897977473338,39.0,1.0,0.07945173656975671,4.0,0.0,0.0,0.0,1.0
40.0,a,0.042078979774733405,40.0,2.0,0.04207897977473339,4.0,1.0,0.0,0.0,1.0
41.0,a,0.04207897977473339,41.0,2.0,0.042078979774733384,4.0,1.0,0.0,0.0,1.0
42.0,a,0.04207897977473338,42.0,3.0,0.04207897977473339,4.0,2.0,0.0,0.0,1.0
43.0,a,0.04207897977473339,43.0,3.0,0.04207897977473339,4.0,1.0,0.0,0.0,2.0
44.0,a,0.19388346495887532,44.0,3.0,0.09268047483611404,4.0,1.0,1.0,0.0,1.0
45.0,a,0.07528180797849235,45.0,3.0,0.05314658917598638,4.0,1.0,1.0,0.0,1.0
46.0,a,0.19388346495887526,46.0,4.0,0.1938834649588753,4.0,1.0,1.0,1.0,1.0
47.0,a,0.19388346495887532,47.0,4.0,0.1938834649588753,4.0,1.0,1.0,0.0,2.0
48.0,a,0.04207897977473338,48.0,4.0,0.04207897977473338,4.0,2.0,0.0,0.0,2.0
49.0,a,0.07528180797849235,49.0,4.0,0.07528180797849235,4.0,1.0,1.0,0.0,2.0
50.0,a,0.04207897977473339,50.0,2.0,0.08556390577139537,4.0,0.0,0.0,1.0,1.0
51.0,a,0.13618194903755057,51.0,3.0,0.08913046440614197,4.0,0.0,1.0,1.0,1.0
52.0,a,0.042078979774733405,52.0,3.0,0.07344663619567245,4.0,0.0,0.0,2.0,1.0
53.0,a,0.21347005976251904,53.0,4.0,0.21347005976251907,4.0,2.0,1.0,1.0,0.0
54.0,a,0.04207897977473343,54.0,4.0,0.04207897977473343,4.0,3.0,0.0,1.0,0.0
55.0,a,0.042078979774733447,55.0,4.0,0.04207897977473343,4.0,2.0,0.0,1.0,1.0
56.0,a,0.21000674864005925,56.0,5.0,0.21173840420128914,4.0,1.0,1.0,2.0,1.0
57.0,a,0.18464459358654767,57.0,4.0,0.09859760753397477,4.0,2.0,1.0,1.0,0.0
58.0,a,0.21021135919723694,58.0,5.0,0.211840709479878,4.0,2.0,1.0,2.0,0.0
59.0,a,0.26129785469561445,59.0,4.0,0.19873990186658252,4.0,0.0,2.0,1.0,1.0
60.0,a,0.0142743901271431,60.0,4.0,0.13725139795343605,4.0,1.0,1.0,1.0,1.0
61.0,a,0.012550621481401882,61.0,4.0,0.012550621481401895,4.0,1.0,0.0,3.0,0.0
62.0,a,0.04207897977473339,62.0,3.0,0.042078979774733384,4.0,0.0,0.0,1.0,2.0
63.0,a,0.04207897977473342,63.0,2.0,0.054020362027227986,4.0,1.0,0.0,0.0,1.0
64.0,a,0.06992950892217042,64.0,4.0,0.056004244348451915,4.0,0.0,0.0,3.0,1.0
65.0,a,0.19536166294274876,65.0,5.0,0.19944128558373425,4.0,0.0,1.0,4.0,0.0
66.0,a,0.21347005976251904,66.0,5.0,0.21238382624075833,4.0,2.0,1.0,2.0,0.0
67.0,a,0.14048062105124837,67.0,5.0,0.1364383585029732,4.0,0.0,2.0,3.0,0.0
68.0,a,0.059921455477538146,68.0,4.0,0.05100021762613577,4.0,0.0,0.0,2.0,2.0
69.0,a,0.031897618757833424,69.0,4.0,0.038685192769100096,4.0,2.0,0.0,2.0,0.0
70.0,a,-0.14730039991034666,70.0,3.0,-0.05261071006780662,4.0,1.0,1.0,0.0,1.0
71.0,a,0.04207897977473339,71.0,4.0,0.04207897977473339,4.0,1.0,0.0,0.0,3.0
72.0,a,0.03999102345378604,72.0,4.0,0.04700757396077068,4.0,1.0,2.0,0.0,1.0
73.0,a,0.45077088894259326,73.0,5.0,0.2832178200366873,4.0,1.0,1.0,3.0,0.0
74.0,a,0.45077088894259326,74.0,6.0,0.45077088894259326,4.0,2.0,1.0,3.0,0.0
75.0,a,0.19435205476757283,75.0,3.0,0.20055133088283983,4.0,0.0,1.0,2.0,0.0
76.0,a,0.19435205476757283,76.0,4.0,0.19435205476757283,4.0,0.0,1.0,2.0,1.0
77.0,a,0.21081744781000505,77.0,4.0,0.1998405191150502,4.0,1.0,1.0,2.0,0.0
78.0,a,0.19349334938832619,78.0,5.0,0.20215539859916562,4.0,1.0,1.0,3.0,0.0
79.0,a,0.14114826843008096,79.0,5.0,0.16775016159882689,4.0,0.0,2.0,2.0,1.0
80.0,a,0.5777481261573961,80.0,6.0,0.4930966346808609,4.0,2.0,1.0,3.0,0.0
81.0,a,0.5737360637800891,81.0,7.0,0.5757420949687426,4.0,2.0,1.0,4.0,0.0
82.0,a,0.08867035649450011,82.0,7.0,0.2697206227185467,4.0,2.0,1.0,3.0,1.0
83.0,a,0.18861999011897962,83.0,6.0,0.1919908265308642,4.0,0.0,2.0,4.0,0.0
84.0,a,-0.1350853834714984,84.0,4.0,0.2549257560499885,4.0,0.0,2.0,2.0,0.0
85.0,a,0.012550621481401895,85.0,4.0,0.06991527884978381,4.0,2.0,0.0,2.0,0.0
86.0,a,0.2134700597625191,86.0,5.0,0.21231562272169913,4.0,1.0,1.0,1.0,2.0
87.0,a,0.04207897977473336,87.0,2.0,0.16043437173361197,4.0,0.0,0.0,1.0,1.0
88.0,a,0.042078979774733405,88.0,3.0,0.042078979774733384,4.0,1.0,0.0,1.0,1.0
89.0,a,0.04207897977473336,89.0,3.0,0.04207897977473338,4.0,0.0,0.0,1.0,2.0
90.0,a,0.19388346495887526,90.0,5.0,0.19388346495887526,4.0,1.0,1.0,1.0,2.0
91.0,a,-0.09949072636325224,91.0,5.0,0.04719636929781154,4.0,2.0,1.0,0.0,2.0
92.0,a,0.04207897977473338,92.0,4.0,0.04207897977473339,4.0,2.0,0.0,1.0,1.0
93.0,a,0.04207897977473339,93.0,4.0,0.04207897977473339,4.0,0.0,0.0,1.0,3.0
94.0,a,0.04207897977473336,94.0,4.0,0.04207897977473336,4.0,0.0,0.0,1.0,3.0
95.0,a,0.042078979774733405,95.0,4.0,0.0420789797747334,4.0,1.0,0.0,1.0,2.0
96.0,a,0.20585116206766033,96.0,5.0,0.2058511620676603,4.0,0.0,2.0,1.0,2.0
97.0,a,0.016842484533975723,97.0,5.0,0.0660549073985243,4.0,0.0,2.0,1.0,2.0
98.0,a,0.042078979774733405,98.0,3.0,-0.02104748012029328,4.0,2.0,0.0,0.0,1.0
99.0,a,0.26129785469561445,99.0,5.0,0.26129785469561445,4.0,0.0,2.0,1.0,2.0
100.0,a,0.042078979774733447,100.0,4.0,0.05136248949054576,4.0,0.0,0.0,3.0,1.0
101.0,a,-0.19549099883089627,101.0,3.0,0.12085099715841907,4.0,1.0,1.0,1.0,0.0
102.0,a,0.04207897977473338,102.0,1.0,0.10117202120473487,4.0,1.0,0.0,0.0,0.0
103.0,a,0.04207897977473338,103.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
104.0,a,0.04207897977473338,104.0,2.0,0.04207897977473338,4.0,2.0,0.0,0.0,0.0
105.0,a,0.04207897977473338,105.0,3.0,0.04207897977473338,4.0,1.0,0.0,0.0,2.0
106.0,a,0.04207897977473338,106.0,3.0,0.04207897977473338,4.0,3.0,0.0,0.0,0.0
107.0,a,0.042078979774733405,107.0,3.0,0.042078979774733384,4.0,1.0,0.0,1.0,1.0
108.0,a,0.04207897977473338,108.0,3.0,0.04207897977473338,4.0,2.0,0.0,1.0,0.0
109.0,a,0.042078979774733405,109.0,4.0,0.042078979774733405,4.0,2.0,0.0,1.0,1.0
110.0,a,0.042078979774733405,110.0,4.0,0.04207897977473339,4.0,3.0,0.0,1.0,0.0
111.0,a,0.04207897977473339,111.0,4.0,0.042078979774733384,4.0,1.0,0.0,1.0,2.0
112.0,a,0.1573037602409907,112.0,4.0,0.09969137000786203,4.0,2.0,1.0,1.0,0.0
113.0,a,-0.13097439640675354,113.0,2.0,0.03725993013179759,4.0,1.0,1.0,0.0,0.0
114.0,a,-0.07763085771705291,114.0,3.0,-0.10430262706190323,4.0,1.0,1.0,0.0,1.0
115.0,a,-0.049869217094453536,115.0,4.0,0.03356479962084372,4.0,1.0,2.0,0.0,1.0
116.0,a,-0.017370619109704596,116.0,4.0,-0.017370619109704596,4.0,0.0,1.0,0.0,3.0
117.0,a,0.08762095821824983,117.0,4.0,0.10502516826588382,4.0,1.0,1.0,2.0,0.0
118.0,a,0.24294453600366178,118.0,4.0,0.14744242533979526,4.0,2.0,1.0,1.0,0.0
119.0,a,0.24294453600366178,119.0,5.0,0.24294453600366178,4.0,2.0,1.0,1.0,1.0
120.0,a,0.1573037602409907,120.0,5.0,0.1573037602409907,4.0,2.0,1.0,1.0,1.0
121.0,a,-0.13097439640675354,121.0,3.0,-0.11319321684352,4.0,1.0,1.0,0.0,1.0
