budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701902,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,a,74.48211582438219,1.0,1.0,37.241057912191096,8.0,0.0,0.0,1.0,0.0
2.0,a,74.47390242912651,2.0,1.0,49.65200608450291,8.0,0.0,1.0,0.0,0.0
3.0,a,74.4816130687122,3.0,2.0,74.4818644465472,8.0,0.0,1.0,1.0,0.0
4.0,a,74.48575321824347,4.0,2.0,74.47982782368499,8.0,0.0,1.0,0.0,1.0
5.0,a,74.49863169625921,5.0,2.0,74.48745352978455,8.0,0.0,1.0,1.0,0.0
6.0,a,74.52155558237233,6.0,2.0,74.49373707658077,8.0,0.0,1.0,1.0,0.0
7.0,a,74.53599999090702,7.0,3.0,74.52877778663967,8.0,0.0,2.0,1.0,0.0
8.0,a,74.49920203581402,8.0,3.0,74.49891686603661,8.0,0.0,2.0,1.0,0.0
9.0,a,74.48575456121992,9.0,3.0,74.4857538897317,8.0,0.0,1.0,1.0,1.0
10.0,a,74.52372261787222,10.0,3.0,74.50266784329222,8.0,0.0,2.0,1.0,0.0
11.0,a,74.54040688608714,11.0,1.0,68.29405482591635,8.0,0.0,1.0,0.0,0.0
12.0,a,74.63135311533054,12.0,2.0,74.58588000070884,8.0,0.0,2.0,0.0,0.0
13.0,a,74.54040688608715,13.0,2.0,74.57072229583495,8.0,1.0,1.0,0.0,0.0
14.0,a,74.62719002882649,14.0,3.0,74.62927157207852,8.0,0.0,2.0,0.0,1.0
15.0,a,74.54040688608715,15.0,3.0,74.54040688608715,8.0,1.0,1.0,0.0,1.0
16.0,a,74.63135311533054,16.0,3.0,74.62996541982919,8.0,1.0,2.0,0.0,0.0
17.0,a,74.59488895139428,17.0,4.0,74.6131210333624,8.0,1.0,3.0,0.0,0.0
18.0,a,74.63672782665553,18.0,3.0,74.57251386627661,8.0,1.0,2.0,0.0,0.0
19.0,a,74.70782739229604,19.0,4.0,74.66750871056126,8.0,0.0,3.0,0.0,1.0
20.0,a,74.64948455925672,20.0,4.0,74.64310619295613,8.0,1.0,2.0,1.0,0.0
21.0,a,74.62719002882649,21.0,4.0,74.654069149983,8.0,1.0,2.0,0.0,1.0
22.0,a,74.45239119259111,22.0,2.0,74.5983022390641,8.0,0.0,2.0,0.0,0.0
23.0,a,74.52155558237233,23.0,3.0,74.52637038521722,8.0,1.0,1.0,1.0,0.0
24.0,a,74.51071907485806,24.0,3.0,74.5053515871475,8.0,0.0,1.0,2.0,0.0
25.0,a,74.45239119259111,25.0,3.0,74.45239119259111,8.0,0.0,2.0,0.0,1.0
26.0,a,74.48769770759618,26.0,3.0,74.48640182901987,8.0,0.0,1.0,1.0,1.0
27.0,a,74.53632136938116,27.0,3.0,74.51138503381812,8.0,0.0,1.0,1.0,1.0
28.0,a,74.5297105299305,28.0,4.0,74.53505870800882,8.0,1.0,1.0,1.0,1.0
29.0,a,74.51447899484083,29.0,4.0,74.52540018211099,8.0,0.0,1.0,1.0,2.0
30.0,a,74.48434635609813,30.0,4.0,74.51017317350258,8.0,0.0,3.0,1.0,0.0
31.0,a,74.4360204984883,31.0,3.0,74.44693429455684,8.0,0.0,2.0,1.0,0.0
32.0,a,74.52836993692812,32.0,4.0,74.52604627740017,8.0,0.0,2.0,2.0,0.0
33.0,a,74.63135311533054,33.0,4.0,74.61919839401845,8.0,1.0,2.0,0.0,1.0
34.0,a,74.48814567554084,34.0,4.0,74.48792169156852,8.0,0.0,1.0,1.0,2.0
35.0,a,74.70782739229602,35.0,5.0,74.70782739229602,8.0,1.0,3.0,0.0,1.0
36.0,a,74.54381583992678,36.0,5.0,74.58550293437663,8.0,1.0,3.0,0.0,1.0
37.0,a,74.50320639725797,37.0,4.0,74.501204216536,8.0,0.0,2.0,2.0,0.0
38.0,a,74.63672782665553,38.0,4.0,74.64098007085592,8.0,1.0,2.0,0.0,1.0
39.0,a,74.5315632699062,39.0,1.0,72.68030321634191,8.0,0.0,0.0,0.0,1.0
40.0,a,74.5315632699062,40.0,2.0,74.5315632699062,8.0,0.0,0.0,0.0,2.0
41.0,a,74.47735070601176,41.0,2.0,74.51349241527471,8.0,0.0,1.0,0.0,1.0
42.0,a,74.45575830011053,42.0,3.0,74.49366078500836,8.0,0.0,1.0,0.0,2.0
43.0,a,74.47735070601176,43.0,3.0,74.47735070601176,8.0,1.0,1.0,0.0,1.0
44.0,a,74.5315632699062,44.0,3.0,74.50629494664098,8.0,0.0,0.0,0.0,3.0
45.0,a,74.47736164402018,45.0,3.0,74.47735435201457,8.0,0.0,1.0,1.0,1.0
46.0,a,74.54141545211324,46.0,4.0,74.53648936100973,8.0,0.0,0.0,1.0,3.0
47.0,a,74.33596946713953,47.0,4.0,74.40666555557985,8.0,0.0,2.0,1.0,1.0
48.0,a,74.64679738268342,48.0,5.0,74.64814097097008,8.0,1.0,2.0,2.0,0.0
49.0,a,74.64610263598696,49.0,5.0,74.63872787565876,8.0,1.0,3.0,0.0,1.0
50.0,a,74.6390003279166,50.0,4.0,74.56970591464476,8.0,1.0,2.0,0.0,1.0
51.0,a,74.52899219748187,51.0,4.0,74.52527388992709,8.0,1.0,2.0,1.0,0.0
52.0,a,74.59301522205122,52.0,5.0,74.59395208672275,8.0,1.0,3.0,1.0,0.0
53.0,a,74.50230692368292,53.0,4.0,74.50651299927048,8.0,0.0,1.0,3.0,0.0
54.0,a,74.45239119259111,54.0,4.0,74.45239119259111,8.0,1.0,2.0,0.0,1.0
55.0,a,74.515489250878,55.0,4.0,74.50062190604896,8.0,0.0,2.0,1.0,1.0
56.0,a,74.5068921166533,56.0,4.0,74.48132520838192,8.0,0.0,2.0,0.0,2.0
57.0,a,74.63672782665552,57.0,5.0,74.63672782665552,8.0,2.0,2.0,0.0,1.0
58.0,a,74.6300709704413,58.0,3.0,74.6309989840031,8.0,0.0,2.0,1.0,0.0
59.0,a,74.48983289164936,59.0,2.0,74.50587673596986,8.0,0.0,0.0,2.0,0.0
60.0,a,74.57947723754516,60.0,5.0,74.60923878273088,8.0,1.0,2.0,0.0,2.0
61.0,a,74.47724387991946,61.0,2.0,74.50053636931301,8.0,1.0,1.0,0.0,0.0
62.0,a,74.63007097044128,62.0,4.0,74.6300709704413,8.0,1.0,2.0,1.0,0.0
63.0,a,74.5836630293445,63.0,5.0,74.62664832376156,8.0,1.0,3.0,1.0,0.0
64.0,a,74.53156326990619,64.0,4.0,74.53484733064188,8.0,1.0,0.0,0.0,3.0
65.0,a,74.6300709704413,65.0,4.0,74.6300709704413,8.0,1.0,2.0,1.0,0.0
66.0,a,74.62567350136685,66.0,5.0,74.62787223590408,8.0,1.0,2.0,2.0,0.0
67.0,a,74.59623949200405,67.0,3.0,74.5430361918267,8.0,0.0,1.0,2.0,0.0
68.0,a,74.4809400674964,68.0,3.0,74.59167253219285,8.0,1.0,1.0,0.0,1.0
69.0,a,74.48983289164936,69.0,3.0,74.52530175843425,8.0,0.0,0.0,2.0,1.0
70.0,a,74.54923457126213,70.0,2.0,74.4956321702456,8.0,0.0,0.0,1.0,1.0
71.0,a,74.47758091901257,71.0,3.0,74.477412399466,8.0,1.0,1.0,1.0,0.0
72.0,a,74.62540160314215,72.0,5.0,74.62773628679172,8.0,1.0,2.0,1.0,1.0
73.0,a,74.43602049848829,73.0,4.0,74.43602049848829,8.0,1.0,2.0,1.0,0.0
74.0,a,74.54922072703637,74.0,3.0,74.54922764914926,8.0,0.0,0.0,2.0,1.0
75.0,a,74.64404459740435,75.0,4.0,74.6201420447042,8.0,0.0,1.0,3.0,0.0
76.0,a,74.579163154793,76.0,4.0,74.53449802322118,8.0,0.0,0.0,3.0,1.0
77.0,a,74.59623949200403,77.0,4.0,74.61217452713747,8.0,1.0,1.0,2.0,0.0
78.0,a,74.54923457126213,78.0,3.0,74.54922995652022,8.0,0.0,0.0,1.0,2.0
79.0,a,74.62279838720185,79.0,5.0,74.6334214923031,8.0,0.0,1.0,3.0,1.0
80.0,a,74.47724387991946,80.0,3.0,74.47735622628382,8.0,2.0,1.0,0.0,0.0
81.0,a,74.53525119898899,81.0,4.0,74.53474908181045,8.0,0.0,1.0,2.0,1.0
82.0,a,74.68213671597091,82.0,5.0,74.69926383352099,8.0,0.0,3.0,0.0,2.0
83.0,a,74.6300709704413,83.0,5.0,74.62860514741648,8.0,1.0,2.0,1.0,1.0
84.0,a,74.70782739229602,84.0,6.0,74.70782739229602,8.0,1.0,3.0,0.0,2.0
85.0,a,74.62422964268825,85.0,5.0,74.63389513133525,8.0,1.0,2.0,1.0,1.0
86.0,a,74.4809400674964,86.0,4.0,74.4809400674964,8.0,1.0,1.0,0.0,2.0
87.0,a,74.55242497184528,87.0,4.0,74.55082977155371,8.0,0.0,0.0,2.0,2.0
88.0,a,74.58602167939036,88.0,4.0,74.54560734787077,8.0,0.0,1.0,2.0,1.0
89.0,a,74.54040688608714,89.0,2.0,74.590462709389,8.0,1.0,1.0,0.0,0.0
90.0,a,74.52372261787221,90.0,4.0,74.52527172422418,8.0,1.0,2.0,1.0,0.0
91.0,a,74.5163164498938,91.0,4.0,74.53276858846507,8.0,0.0,0.0,3.0,1.0
92.0,a,74.5904414085633,92.0,3.0,74.56542414732522,8.0,1.0,2.0,0.0,0.0
93.0,a,74.48513198281336,93.0,4.0,74.48135645091295,8.0,1.0,1.0,1.0,1.0
94.0,a,74.5412185471392,94.0,3.0,74.55735561392987,8.0,1.0,1.0,1.0,0.0
95.0,a,74.59623949200403,95.0,5.0,74.59623949200403,8.0,1.0,1.0,2.0,1.0
96.0,a,74.5904414085633,96.0,4.0,74.5904414085633,8.0,2.0,2.0,0.0,0.0
97.0,a,74.54923457126212,97.0,4.0,74.55029803812317,8.0,1.0,0.0,1.0,2.0
98.0,a,74.54041131467989,98.0,4.0,74.51427324925062,8.0,0.0,2.0,1.0,1.0
99.0,a,74.54121854713918,99.0,4.0,74.54121854713918,8.0,2.0,1.0,1.0,0.0
100.0,a,74.4791232956429,100.0,4.0,74.50989035849904,8.0,1.0,2.0,1.0,0.0
101.0,a,74.54922072703637,101.0,4.0,74.5382526346555,8.0,1.0,0.0,2.0,1.0
102.0,a,74.55590154701902,102.0,1.0,73.82482494712661,8.0,1.0,0.0,0.0,0.0
103.0,a,74.55590154701902,103.0,2.0,74.55590154701902,8.0,2.0,0.0,0.0,0.0
104.0,a,74.55590154701902,104.0,2.0,74.55590154701902,8.0,1.0,0.0,0.0,1.0
105.0,a,74.55590154701903,105.0,3.0,74.55590154701903,8.0,3.0,0.0,0.0,0.0
106.0,a,74.5839044239951,106.0,3.0,74.56990298550706,8.0,1.0,1.0,0.0,1.0
107.0,a,74.54609523151876,107.0,3.0,74.56196706751096,8.0,1.0,0.0,0.0,2.0
108.0,a,74.55783193492987,108.0,3.0,74.55654500965598,8.0,2.0,1.0,0.0,0.0
109.0,a,74.58324907532446,109.0,4.0,74.58357674965978,8.0,1.0,1.0,1.0,1.0
110.0,a,74.55783193492987,110.0,4.0,74.55783193492987,8.0,2.0,1.0,0.0,1.0
111.0,a,74.51651147402703,111.0,4.0,74.5313033527729,8.0,1.0,0.0,0.0,3.0
112.0,a,74.53270088042952,112.0,4.0,74.54430121372428,8.0,3.0,1.0,0.0,0.0
113.0,a,74.55590154701902,113.0,2.0,74.55480272418747,8.0,2.0,0.0,0.0,0.0
114.0,a,74.55572462913152,114.0,3.0,74.55581308807527,8.0,2.0,0.0,1.0,0.0
115.0,a,74.53829903698488,115.0,3.0,74.54997507104514,8.0,2.0,0.0,0.0,1.0
116.0,a,74.53445539264004,116.0,4.0,74.54509001088579,8.0,2.0,1.0,1.0,0.0
117.0,a,74.5414396415502,117.0,4.0,74.53986933926754,8.0,2.0,1.0,0.0,1.0
118.0,a,74.5839044239951,118.0,4.0,74.58368597443821,8.0,1.0,1.0,0.0,2.0
119.0,a,74.55783193492987,119.0,4.0,74.55783193492987,8.0,3.0,1.0,0.0,0.0
120.0,a,74.55572462913153,120.0,4.0,74.54863488363436,8.0,3.0,0.0,1.0,0.0
121.0,a,74.61459533249207,121.0,4.0,74.55906734601263,8.0,1.0,1.0,0.0,2.0
122.0,a,74.49661412486017,122.0,4.0,74.52840551743624,8.0,3.0,1.0,0.0,0.0
123.0,a,74.58751061793737,123.0,5.0,74.58570752096622,8.0,1.0,2.0,0.0,2.0
124.0,a,74.55274322110392,124.0,4.0,74.544160633213,8.0,2.0,0.0,0.0,2.0
125.0,a,74.61459533249207,125.0,5.0,74.61459533249207,8.0,1.0,1.0,0.0,3.0
126.0,a,74.55430341018686,126.0,5.0,74.5550140196592,8.0,3.0,1.0,1.0,0.0
127.0,a,74.55783193492987,127.0,5.0,74.55783193492987,8.0,2.0,1.0,0.0,2.0
128.0,a,74.58289305340156,128.0,5.0,74.58307106436301,8.0,1.0,1.0,2.0,1.0
129.0,a,74.59753180787976,129.0,5.0,74.5570216409534,8.0,1.0,1.0,0.0,3.0
130.0,a,74.55112260527224,130.0,5.0,74.55193291318808,8.0,2.0,0.0,1.0,2.0
131.0,a,74.5687959853549,131.0,5.0,74.5507484328922,8.0,3.0,1.0,1.0,0.0
132.0,a,74.49268218138506,132.0,5.0,74.53592266808903,8.0,0.0,0.0,3.0,2.0
133.0,a,74.55800900210767,133.0,3.0,74.57705844351581,8.0,1.0,1.0,0.0,1.0
134.0,a,74.58035793094112,134.0,4.0,74.5870802493559,8.0,1.0,2.0,1.0,0.0
135.0,a,74.55076294993414,135.0,5.0,74.5515939608897,8.0,0.0,0.0,3.0,2.0
136.0,a,74.54121854713921,136.0,4.0,74.5412185471392,8.0,2.0,1.0,1.0,0.0
137.0,a,74.57746124389897,137.0,5.0,74.56764658941441,8.0,3.0,2.0,0.0,0.0
138.0,a,74.57852614724833,138.0,5.0,74.5844837779058,8.0,2.0,2.0,1.0,0.0
139.0,a,74.51079893487824,139.0,4.0,74.50794164447306,8.0,0.0,2.0,2.0,0.0
140.0,a,74.45575830011053,140.0,4.0,74.47280290562479,8.0,1.0,1.0,0.0,2.0
141.0,a,74.5164781270887,141.0,5.0,74.52546675986437,8.0,2.0,1.0,2.0,0.0
142.0,a,74.54313709603171,142.0,4.0,74.51019048797559,8.0,2.0,1.0,0.0,1.0
143.0,a,74.66322414677418,143.0,5.0,74.6022213469567,8.0,2.0,2.0,1.0,0.0
144.0,a,74.68142756674732,144.0,5.0,74.63089274884422,8.0,1.0,3.0,1.0,0.0
145.0,a,74.58035793094112,145.0,5.0,74.61404780954318,8.0,1.0,2.0,1.0,1.0
146.0,a,74.48303525387485,146.0,3.0,74.57598952676318,8.0,1.0,2.0,0.0,0.0
147.0,a,74.48575456121992,147.0,4.0,74.49566612443928,8.0,0.0,1.0,1.0,2.0
148.0,a,74.55800900210767,148.0,4.0,74.55800900210767,8.0,2.0,1.0,0.0,1.0
149.0,a,74.56119858321243,149.0,5.0,74.5736101313014,8.0,0.0,1.0,2.0,2.0
150.0,a,74.60218812625256,150.0,6.0,74.64216242111173,8.0,0.0,4.0,0.0,2.0
151.0,a,74.49661412486017,151.0,5.0,74.49661412486017,8.0,4.0,1.0,0.0,0.0
152.0,a,74.63550889750144,152.0,5.0,74.63032715702829,8.0,1.0,3.0,1.0,0.0
153.0,a,74.57264593812253,153.0,4.0,74.5278405959987,8.0,2.0,2.0,0.0,0.0
154.0,a,74.64404459740435,154.0,5.0,74.63696252733685,8.0,1.0,1.0,3.0,0.0
155.0,a,74.4844167429017,155.0,3.0,74.5642320932825,8.0,0.0,0.0,3.0,0.0
156.0,a,74.53375743136549,156.0,5.0,74.54148907920093,8.0,1.0,0.0,3.0,1.0
157.0,a,74.57847302368877,157.0,5.0,74.58879239904475,8.0,1.0,3.0,1.0,0.0
158.0,a,74.4809400674964,158.0,4.0,74.4809400674964,8.0,1.0,1.0,0.0,2.0
159.0,a,74.48546902190652,159.0,4.0,74.5019499992859,8.0,2.0,1.0,0.0,1.0
160.0,a,74.5665736867767,160.0,4.0,74.56086389699735,8.0,1.0,2.0,0.0,1.0
161.0,a,74.47735070601176,161.0,4.0,74.47735070601176,8.0,1.0,1.0,0.0,2.0
162.0,a,74.59774105113816,162.0,5.0,74.56907618290901,8.0,0.0,2.0,1.0,2.0
163.0,a,74.5414396415502,163.0,5.0,74.5414396415502,8.0,2.0,1.0,0.0,2.0
164.0,a,74.52609778122275,164.0,5.0,74.52723385907544,8.0,0.0,3.0,2.0,0.0
165.0,a,74.4360120396869,165.0,4.0,74.44693147495637,8.0,0.0,2.0,1.0,1.0
166.0,a,74.50451079171347,166.0,5.0,74.53554223924509,8.0,1.0,3.0,0.0,1.0
167.0,a,74.5245268224365,167.0,5.0,74.51950290863866,8.0,0.0,1.0,2.0,2.0
168.0,a,74.53599999090702,168.0,4.0,74.5187821126374,8.0,1.0,2.0,1.0,0.0
169.0,a,74.68117025127198,169.0,5.0,74.61739204000843,8.0,1.0,2.0,0.0,2.0
170.0,a,74.46784273871646,170.0,4.0,74.50784131023795,8.0,1.0,2.0,0.0,1.0
171.0,a,74.53761608815286,171.0,5.0,74.54342532970749,8.0,1.0,0.0,1.0,3.0
172.0,a,74.56371250909775,172.0,3.0,74.54825247518824,8.0,2.0,1.0,0.0,0.0
173.0,a,74.48689161293667,173.0,4.0,74.48565417791919,8.0,0.0,1.0,3.0,0.0
174.0,a,74.6357601963822,174.0,6.0,74.63563454694182,8.0,1.0,3.0,2.0,0.0
175.0,a,74.53599999090702,175.0,5.0,74.53599999090702,8.0,1.0,2.0,1.0,1.0
176.0,a,74.68103730475295,176.0,6.0,74.68110377801247,8.0,1.0,2.0,1.0,2.0
177.0,a,74.60292016914512,177.0,6.0,74.62451140256604,8.0,1.0,4.0,0.0,1.0
178.0,a,74.48787485120198,178.0,5.0,74.50879269056624,8.0,1.0,1.0,2.0,1.0
179.0,a,74.55590154701902,179.0,2.0,74.55605648701861,8.0,2.0,0.0,0.0,0.0
180.0,a,74.54284372258701,180.0,5.0,74.54212958735013,8.0,0.0,0.0,2.0,3.0
181.0,a,74.555901547019,181.0,3.0,74.555901547019,8.0,3.0,0.0,0.0,0.0
182.0,a,74.63007097044128,182.0,6.0,74.6300709704413,8.0,2.0,2.0,1.0,1.0
183.0,a,74.48769770759618,183.0,4.0,74.4878470302444,8.0,1.0,1.0,1.0,1.0
184.0,a,74.6929422623767,184.0,6.0,74.70286568232292,8.0,1.0,3.0,1.0,1.0
185.0,a,74.51952584111966,185.0,4.0,74.64838988135105,8.0,0.0,2.0,0.0,2.0
186.0,a,74.53489055408802,186.0,5.0,74.5256035019909,8.0,0.0,0.0,3.0,2.0
187.0,a,74.51079893487824,187.0,5.0,74.51079893487824,8.0,1.0,2.0,2.0,0.0
188.0,a,74.53649889538444,188.0,3.0,74.54943399647415,8.0,2.0,1.0,0.0,0.0
189.0,a,74.57739943433269,189.0,5.0,74.55930899073593,8.0,2.0,1.0,2.0,0.0
190.0,a,74.65812643177145,190.0,6.0,74.64176401745681,8.0,1.0,2.0,2.0,1.0
191.0,a,74.54491121997707,191.0,5.0,74.60612229109603,8.0,1.0,3.0,0.0,1.0
192.0,a,74.47735070601178,192.0,4.0,74.47735070601176,8.0,2.0,1.0,0.0,1.0
193.0,a,74.53829903698484,193.0,4.0,74.54710029200191,8.0,3.0,0.0,0.0,1.0
194.0,a,74.5946822758744,194.0,6.0,74.59384874896281,8.0,1.0,3.0,2.0,0.0
195.0,a,74.53136272469186,195.0,5.0,74.51728456097491,8.0,0.0,2.0,3.0,0.0
196.0,a,74.56629806496991,196.0,5.0,74.56947200154622,8.0,2.0,2.0,0.0,1.0
197.0,a,74.48341794080842,197.0,4.0,74.48204361421143,8.0,1.0,2.0,1.0,0.0
198.0,a,74.53962351866603,198.0,4.0,74.47055483854753,8.0,0.0,3.0,1.0,0.0
199.0,a,74.5268863501354,199.0,4.0,74.53169262275992,8.0,2.0,1.0,0.0,1.0
200.0,a,74.4844167429017,200.0,4.0,74.48524169958002,8.0,0.0,0.0,3.0,1.0
201.0,a,74.62567350136685,201.0,6.0,74.62567350136685,8.0,2.0,2.0,2.0,0.0
202.0,a,74.51952584111966,202.0,5.0,74.51952584111966,8.0,1.0,2.0,0.0,2.0
203.0,a,74.60615666159863,203.0,4.0,74.56678574853414,8.0,3.0,1.0,0.0,0.0
204.0,a,74.53156326990619,204.0,5.0,74.53156326990619,8.0,1.0,0.0,0.0,4.0
205.0,a,74.41018855409239,205.0,4.0,74.4911912665374,8.0,2.0,2.0,0.0,0.0
206.0,a,74.58809463382507,206.0,5.0,74.58568739654555,8.0,2.0,2.0,1.0,0.0
207.0,a,74.64679738268343,207.0,6.0,74.64679738268342,8.0,2.0,2.0,2.0,0.0
208.0,a,74.49343956821171,208.0,5.0,74.48718981785406,8.0,1.0,1.0,1.0,2.0
