budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.8243929953447555,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,a,5.8243929953447555,1.0,1.0,2.9121964976723778,10.0,1.0,0.0,0.0,0.0
2.0,a,5.8243929953447555,2.0,1.0,3.8829286635631703,10.0,0.0,0.0,0.0,1.0
3.0,a,5.8243929953447555,3.0,2.0,5.8243929953447555,10.0,2.0,0.0,0.0,0.0
4.0,a,5.8243929953447555,4.0,2.0,5.8243929953447555,10.0,0.0,0.0,0.0,2.0
5.0,a,5.8320451060515826,5.0,2.0,5.826943698913698,10.0,1.0,0.0,1.0,0.0
6.0,a,6.096082334003143,6.0,2.0,5.914956108230885,10.0,0.0,1.0,0.0,1.0
7.0,a,6.238085807747862,7.0,3.0,6.167084070875503,10.0,0.0,2.0,0.0,1.0
8.0,a,6.084749903742745,8.0,3.0,6.139639348497917,10.0,0.0,1.0,1.0,1.0
9.0,a,6.238085807747863,9.0,4.0,6.238085807747863,10.0,1.0,2.0,0.0,1.0
10.0,a,6.238085807747863,10.0,4.0,6.238085807747862,10.0,1.0,2.0,0.0,1.0
11.0,a,5.817973197152644,11.0,1.0,5.486889995464394,10.0,0.0,0.0,1.0,0.0
12.0,a,5.817973197152644,12.0,2.0,5.817973197152644,10.0,1.0,0.0,1.0,0.0
13.0,a,6.084749903742744,13.0,4.0,6.084749903742745,10.0,1.0,1.0,1.0,1.0
14.0,a,5.702960111124021,14.0,3.0,5.763676553234388,10.0,0.0,1.0,0.0,2.0
15.0,a,5.642017160605445,15.0,2.0,5.759321184970244,10.0,0.0,1.0,1.0,0.0
16.0,a,6.205726847736453,16.0,5.0,6.221906327742158,10.0,2.0,2.0,0.0,1.0
17.0,a,6.206568285926233,17.0,5.0,6.222327046837048,10.0,1.0,3.0,0.0,1.0
18.0,a,5.8243929953447555,18.0,2.0,6.047356149629433,10.0,0.0,0.0,0.0,2.0
19.0,a,5.8243929953447555,19.0,3.0,5.8243929953447555,10.0,0.0,0.0,0.0,3.0
20.0,a,5.7588030798965,20.0,3.0,5.7954240929740415,10.0,1.0,1.0,1.0,0.0
21.0,a,6.096082334003137,21.0,4.0,6.08852738049621,10.0,0.0,1.0,1.0,2.0
22.0,a,6.232139000245624,22.0,5.0,6.22559769797324,10.0,1.0,2.0,1.0,1.0
23.0,a,6.23575296188425,23.0,5.0,6.226521872456189,10.0,1.0,3.0,0.0,1.0
24.0,a,6.469934837635696,24.0,3.0,6.202170319346966,10.0,0.0,2.0,0.0,1.0
25.0,a,6.446828664591068,25.0,4.0,6.458381751113382,10.0,0.0,2.0,1.0,1.0
26.0,a,6.469934837635696,26.0,4.0,6.462232779954154,10.0,0.0,2.0,0.0,2.0
27.0,a,6.20777623644551,27.0,5.0,6.338855537040603,10.0,0.0,2.0,0.0,3.0
28.0,a,6.446828664591069,28.0,5.0,6.446828664591068,10.0,1.0,2.0,1.0,1.0
29.0,a,6.411726359566504,29.0,5.0,6.435127896249547,10.0,1.0,2.0,1.0,1.0
30.0,a,5.842121582063437,30.0,6.0,6.144475123327253,10.0,2.0,2.0,1.0,1.0
31.0,a,6.469934837635696,31.0,5.0,6.382548637238966,10.0,0.0,2.0,0.0,3.0
32.0,a,6.446764280285267,32.0,6.0,6.458349558960482,10.0,0.0,2.0,1.0,3.0
33.0,a,6.47048912971905,33.0,6.0,6.462396082546671,10.0,0.0,2.0,1.0,3.0
34.0,a,6.47048912971905,34.0,7.0,6.47048912971905,10.0,1.0,2.0,1.0,3.0
35.0,a,6.469934837635696,35.0,4.0,6.385230283126977,10.0,0.0,2.0,0.0,2.0
36.0,a,6.470986435989272,36.0,5.0,6.470460636812485,10.0,0.0,2.0,1.0,2.0
