budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0,,0.9346645654712499,0,0,0,4,0,0,0,0
1,a,0.9346645654712499,1,1,0.46733228273562494,4,0,0,0,1
2,a,0.9346645654712499,2,1,0.6231097103141666,4,0,0,0,1
3,a,0.9346645654712509,3,2,0.9346645654712504,4,1,0,0,1
4,a,0.9291595560712466,4,2,0.9319120607712482,4,0,0,1,1
5,a,0.9346645654712499,5,2,0.9346645654712503,4,0,0,0,2
6,a,0.9346645654712499,6,2,0.9328295623379154,4,0,0,0,2
7,a,0.9346645654712509,7,3,0.9346645654712509,4,2,0,0,1
8,a,0.9288459652466221,8,3,0.931755265358936,4,0,0,1,2
9,a,0.9318978893120227,9,3,0.9332812273916362,4,0,0,1,2
10,a,0.9233752263754409,10,3,0.9262673912233437,4,0,0,2,1
11,a,0.18124833088000203,11,1,0.7918761967260698,4,0,1,0,0
12,a,0.9346645654712504,12,3,0.9346645654712508,4,2,0,0,1
13,a,0.9291595560712466,13,3,0.9308900289297063,4,0,0,1,2
14,a,0.9346645654712499,14,3,0.9337423400848408,4,1,0,0,2
15,a,0.9272448692769345,15,3,0.9265932172412072,4,1,0,1,1
16,a,0.9318978893120221,16,4,0.9332812273916364,4,2,0,1,1
17,a,0.929159556071247,17,4,0.9291595560712468,4,1,0,1,2
18,a,0.7192068602003246,18,4,0.8269357128357873,4,1,1,0,2
19,a,0.41129577221190156,19,4,0.6692703207444181,4,1,1,1,1
20,a,0.9346645654712504,20,4,0.9346645654712504,4,2,0,0,2
21,a,0.9346645654712499,21,4,0.9346645654712503,4,3,0,0,1
22,a,0.9346645654712499,22,2,0.9162486440054685,4,0,0,0,2
23,a,0.9346645654712499,23,3,0.9346645654712499,4,0,0,0,3
24,a,0.9346645654712499,24,3,0.9346645654712499,4,0,0,0,3
25,a,0.9230635877588187,25,4,0.9259547765027204,4,0,0,2,2
26,a,0.9346645654712499,26,4,0.9346645654712499,4,0,0,0,4
27,a,0.9346645654712499,27,4,0.9346645654712499,4,0,0,0,4
28,a,0.9264095979537544,28,4,0.9282429033654159,4,0,0,2,2
29,a,0.9346645654712504,29,4,0.93466456547125,4,1,0,0,3
30,a,0.9346645654712499,30,2,0.8859756152875802,4,0,0,0,2
31,a,0.3803037820471593,31,4,0.656100835679591,4,0,1,1,2
32,a,0.9288459652466221,32,3,0.931755265358936,4,0,0,1,2
33,a,0.9346645654712499,33,3,0.9327250320630407,4,0,0,0,3
34,a,0.9288459652466221,34,4,0.931755265358936,4,0,0,1,3
35,a,0.9288459652466221,35,4,0.9288459652466221,4,0,0,1,3
36,a,0.9346645654712499,36,4,0.9327250320630407,4,0,0,0,4
37,a,0.9288459652466206,37,4,0.9288459652466216,4,1,0,1,2
38,a,0.7120804287186486,38,4,0.8546633272413632,4,0,1,1,2
39,a,0.8404195629565319,39,1,0.8499694758851039,4,0,1,0,0
40,a,0.20651387301639346,40,2,0.5234667179864627,4,0,2,0,0
41,a,0.9291595560712466,41,4,0.9328295623379154,4,0,0,1,3
42,a,0.9346645654712509,42,4,0.9337423400848412,4,3,0,0,1
43,a,0.8373594985152296,43,2,0.628097644829385,4,0,2,0,0
44,a,0.7646065315359756,44,3,0.8009830150256025,4,0,2,0,1
45,a,0.9346645654712504,45,5,0.9346645654712504,4,2,0,0,3
46,a,0.9346645654712499,46,5,0.9346645654712499,4,0,0,0,5
47,a,0.5840965213500102,47,5,0.7593805434106303,4,1,1,0,3
48,a,0.9233752263754419,48,5,0.9261105958110321,4,0,0,1,4
49,a,0.5375253216936781,49,5,0.73318564347015,4,0,1,1,3
50,a,0.07273704828870702,50,3,0.5582343594466374,4,0,3,0,0
51,a,0.9346645654712509,51,5,0.9346645654712509,4,3,0,0,2
52,a,0.6089943493021475,52,5,0.7718294573866986,4,3,1,0,1
53,a,0.8956142121147567,53,5,0.9123868840930018,4,2,0,1,2
54,a,0.917626906070931,54,4,0.920501066223186,4,0,0,2,2
55,a,0.9237517424177084,55,5,0.9250806701857315,4,0,0,2,3
56,a,0.9233752263754419,56,4,0.9214591196072712,4,1,0,2,1
57,a,0.4399092648138593,57,5,0.6814864262863389,4,0,1,2,2
58,a,0.9346645654712499,58,5,0.9346645654712499,4,1,0,0,4
59,a,0.7728848720336936,59,5,0.8510222140524701,4,0,1,1,3
60,a,0.9318978893120242,60,5,0.9318978893120231,4,3,0,1,1
61,a,0.8977951143406935,61,3,0.9039918138364076,4,1,1,0,1
62,a,0.8623800421144895,62,4,0.8800875782275914,4,1,1,0,2
63,a,0.9346645654712499,63,5,0.9346645654712499,4,0,0,0,5
64,a,0.11070595907111519,64,4,0.5881924615808966,4,1,1,0,2
65,a,0.9233752263754419,65,5,0.9233752263754419,4,1,0,2,2
66,a,0.9122491669958357,66,5,0.9149380365333833,4,0,0,3,2
67,a,0.6794834344578605,67,5,0.8041646998522405,4,1,1,1,2
68,a,0.893832422339621,68,5,0.9135276250301683,4,2,0,2,1
69,a,0.9122491669958357,69,5,0.9140417466875341,4,0,0,3,2
70,a,0.9176269060709304,70,6,0.914938036533383,4,0,0,3,3
71,a,0.9256230730436578,71,3,0.8766707648701771,4,0,1,0,2
72,a,0.9291595560712466,72,3,0.8767141667692339,4,0,0,1,2
73,a,0.10463802575900236,73,4,0.5168987909151245,4,0,1,1,2
74,a,0.18220625263197396,74,2,0.181727291755988,4,0,1,1,0
75,a,0.9318978893120227,75,3,0.8912796135447475,4,0,0,1,2
76,a,0.8642581489886054,76,4,0.8748111018145961,4,1,1,0,2
77,a,0.9318978893120227,77,4,0.9318978893120227,4,0,0,1,3
78,a,0.9318978893120237,78,4,0.931897889312023,4,1,0,1,2
79,a,0.8642581489886054,79,5,0.8642581489886054,4,1,1,0,3
80,a,0.3823556490998957,80,5,0.6571267692059597,4,1,1,1,2
81,a,0.9199054310106732,81,4,0.9227642520271655,4,0,1,1,2
82,a,0.9237517424177084,82,5,0.9246376942630571,4,0,0,2,3
83,a,0.9198607591401495,83,4,0.9217964210648267,4,0,1,1,2
84,a,0.9346645654712499,84,2,0.8580190686395219,4,0,0,0,2
85,a,0.1696113515358507,85,3,0.5521379585035503,4,0,1,0,2
86,a,0.8091353652322644,86,5,0.892821498724922,4,3,1,0,1
87,a,0.36398591407974673,87,5,0.6131829780971181,4,1,2,0,2
88,a,0.6658585244737071,88,3,0.5900448138269359,4,0,1,0,2
89,a,0.9346645654712499,89,2,0.8358549732054283,4,1,0,0,1
90,a,0.2514100183258067,90,3,0.5930372918985283,4,1,1,0,1
91,a,0.9346645654712499,91,3,0.866756232043906,4,0,0,0,3
92,a,0.9346645654712509,92,4,0.9346645654712504,4,1,0,0,3
93,a,0.9030194482121806,93,5,0.9114624396114269,4,0,1,2,2
94,a,0.9346524587385928,94,4,0.9346605298936979,4,0,1,0,3
95,a,0.9144429415477917,95,5,0.9171518503439706,4,0,1,2,2
96,a,0.9346645654712509,96,5,0.9346645654712509,4,2,0,0,3
97,a,0.9346524587385928,97,5,0.9346524587385928,4,1,1,0,3
98,a,0.9141787113454015,98,5,0.9161608040111142,4,0,1,2,2
99,a,0.24094218394765238,99,5,0.7034237716300513,4,1,1,0,3
100,a,0.9199054310106732,100,5,0.9142767700778424,4,0,1,1,3
101,a,0.9230635877588187,101,5,0.9250949264602942,4,0,0,2,3
102,a,0.9288459652466221,102,1,0.799462422805032,4,0,0,1,0
103,a,0.9288459652466227,103,2,0.9288459652466223,4,1,0,1,0
104,a,0.7847140437708416,104,2,0.8808019914213622,4,0,1,1,0
105,a,0.9288459652466227,105,3,0.9288459652466227,4,1,0,1,1
106,a,0.13975143044823643,106,3,0.6658144536471605,4,1,1,1,0
107,a,0.7701978205604753,107,3,0.7774559321656584,4,0,1,2,0
108,a,0.2059223787795147,108,3,0.5869447477036105,4,0,2,1,0
109,a,0.9318627006937926,109,4,0.9303543329702076,4,1,0,2,1
110,a,0.14296953991235734,110,4,0.6678927352842575,4,1,1,1,1
111,a,0.9144429415477958,111,6,0.9144429415477937,4,1,1,2,2
112,a,0.9179637993531937,112,6,0.9206695128643179,4,0,0,2,4
113,a,0.90429419846333,113,5,0.9245411098019433,4,0,1,0,4
114,a,0.9171824429797328,114,6,0.9185439369952031,4,0,1,2,3
115,a,0.3078033275540962,115,6,0.6154334576564574,4,0,1,2,3
116,a,0.9346645654712509,116,3,0.7069130497561025,4,2,0,0,1
117,a,0.08210402126538634,117,4,0.5083842933683186,4,2,1,0,1
118,a,0.6658585244737071,118,4,0.6658585244737071,4,1,1,0,2
119,a,0.9295384307353006,119,5,0.9181040663071015,4,1,0,1,3
120,a,0.9139551744839635,120,6,0.9186652004297027,4,1,0,2,3
121,a,0.9210127393602849,121,6,0.9223822408889967,4,0,0,3,3
122,a,0.9160501023785632,122,6,0.9141496346871995,4,0,0,3,3
123,a,0.9295384307353016,123,6,0.9295384307353012,4,2,0,1,3
124,a,0.9245174886626878,124,4,0.754352710050508,4,1,0,2,1
125,a,0.9237517424177079,125,6,0.9237517424177082,4,1,0,2,3
126,a,0.07227534915030177,126,5,0.4983964189064948,4,1,1,2,1
127,a,0.9288459652466221,127,5,0.931755265358936,4,0,0,1,4
128,a,0.3880349786191227,128,6,0.6613497720451863,4,1,1,0,4
129,a,0.8896680176581595,129,6,0.8926411148864581,4,2,0,2,2
130,a,0.9085598863288578,130,6,0.9113692988371296,4,0,1,2,3
131,a,0.9060532198553467,131,4,0.9189507489840435,4,0,1,1,2
132,a,0.9291595560712466,132,6,0.9319120607712482,4,0,0,1,5
133,a,0.19299416870230227,133,5,0.5495236942788245,4,0,2,1,2
134,a,0.7856140425751849,134,4,0.7751102870555802,4,0,3,0,1
135,a,0.10918625208605749,135,4,0.553135608732406,4,0,3,0,1
136,a,0.7701978205604769,136,4,0.770197820560476,4,1,1,2,0
137,a,0.7522565832023659,137,4,0.7642174081077727,4,0,1,2,1
138,a,0.8986646639536363,138,6,0.9014794312084832,4,0,1,1,4
139,a,0.45211369296416165,139,6,0.6775665705881712,4,0,2,2,2
140,a,0.9318978893120221,140,5,0.9318978893120228,4,2,0,1,2
141,a,0.9346645654712509,141,5,0.9346645654712505,4,3,0,0,2
142,a,0.9292242879486441,142,6,0.9305610886303342,4,3,0,1,2
143,a,0.9346645654712499,143,6,0.9346645654712504,4,4,0,0,2
144,a,0.929159556071245,144,6,0.9319120607712479,4,3,0,1,2
145,a,0.13250929553433116,145,6,0.5335869305027908,4,2,1,0,3
146,a,0.9260965125738887,146,2,0.6842088938534848,4,0,0,2,0
147,a,0.9260965125738908,147,3,0.9260965125738898,4,1,0,2,0
148,a,0.9203312513506032,148,3,0.9241747588327943,4,0,0,3,0
149,a,0.920642387669033,149,4,0.9233694501214619,4,1,0,3,0
150,a,0.9207010586472746,150,4,0.9205161549989389,4,0,0,3,1
151,a,0.9203312513506038,151,4,0.9223567171978425,4,1,0,2,1
152,a,0.9086948685685586,152,4,0.9165757261888121,4,0,1,3,0
153,a,0.9784226001373761,153,5,0.9495324939032046,4,1,1,3,0
