budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,a,0.14477131112323258,1.0,1.0,0.07238565556161629,4.0,0.0,1.0,0.0,0.0
2.0,a,0.04207897977473339,2.0,1.0,0.062283430299321985,4.0,0.0,0.0,1.0,0.0
3.0,a,0.14477131112323258,3.0,2.0,0.14477131112323258,4.0,0.0,1.0,0.0,1.0
4.0,a,-0.09139843563937139,4.0,2.0,-0.024659727932319,4.0,0.0,1.0,1.0,0.0
5.0,a,0.14477131112323258,5.0,2.0,0.14477131112323258,4.0,0.0,1.0,0.0,1.0
6.0,a,0.11311649761251956,6.0,3.0,0.12894390436787606,4.0,0.0,1.0,0.0,2.0
7.0,a,0.11311649761251956,7.0,3.0,0.12894390436787606,4.0,0.0,1.0,0.0,2.0
8.0,a,0.14477131112323258,8.0,3.0,0.13421970661966157,4.0,0.0,1.0,0.0,2.0
9.0,a,0.04207897977473338,9.0,2.0,-0.002413492029968207,4.0,0.0,0.0,2.0,0.0
10.0,a,-0.03030334666716253,10.0,3.0,0.07586148735619654,4.0,1.0,1.0,0.0,1.0
11.0,a,0.04207897977473338,11.0,1.0,0.06748778306130297,4.0,0.0,0.0,0.0,1.0
12.0,a,0.04207897977473338,12.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,2.0
13.0,a,0.27481001228589996,13.0,2.0,0.1196559906117889,4.0,0.0,1.0,0.0,1.0
14.0,a,0.27481001228589996,14.0,3.0,0.27481001228589996,4.0,0.0,1.0,0.0,2.0
15.0,a,0.34054324521197327,15.0,3.0,0.2967210899279244,4.0,0.0,2.0,0.0,1.0
16.0,a,0.3626780653706504,16.0,4.0,0.35161065529131186,4.0,0.0,3.0,0.0,1.0
17.0,a,-0.07578377673429292,17.0,4.0,0.09951311777580352,4.0,0.0,1.0,0.0,3.0
18.0,a,0.04207897977473338,18.0,3.0,0.04207897977473338,4.0,0.0,0.0,0.0,3.0
19.0,a,0.24008317194022716,19.0,4.0,0.314434827507617,4.0,0.0,3.0,0.0,1.0
20.0,a,0.42236515837426025,20.0,5.0,0.3925216118724553,4.0,0.0,4.0,0.0,1.0
21.0,a,0.3626780653706504,21.0,5.0,0.38257376303852036,4.0,0.0,3.0,1.0,1.0
22.0,a,0.04207897977473336,22.0,2.0,0.19754165610035015,4.0,1.0,0.0,0.0,1.0
23.0,a,0.04207897977473338,23.0,3.0,0.04207897977473338,4.0,0.0,0.0,2.0,1.0
24.0,a,0.042078979774733405,24.0,3.0,0.042078979774733384,4.0,2.0,0.0,0.0,1.0
25.0,a,0.2400831719402271,25.0,5.0,0.24008317194022713,4.0,0.0,3.0,1.0,1.0
26.0,a,0.1447713111232326,26.0,4.0,0.1447713111232326,4.0,1.0,1.0,0.0,2.0
27.0,a,0.04207897977473338,27.0,3.0,0.04207897977473338,4.0,0.0,0.0,0.0,3.0
28.0,a,-0.0913984356393714,28.0,3.0,-0.09139843563937139,4.0,0.0,1.0,2.0,0.0
29.0,a,-0.06343421449872703,29.0,4.0,0.024841141556896262,4.0,0.0,2.0,0.0,2.0
30.0,a,0.04207897977473339,30.0,3.0,0.042078979774733384,4.0,2.0,0.0,0.0,1.0
31.0,a,0.13139051680569924,31.0,6.0,0.27687783758997975,4.0,0.0,4.0,0.0,2.0
32.0,a,0.24008317194022713,32.0,5.0,0.24008317194022713,4.0,0.0,3.0,1.0,1.0
33.0,a,0.2748100122858999,33.0,3.0,0.2573792355897768,4.0,0.0,1.0,1.0,1.0
34.0,a,0.23102766969099844,34.0,4.0,0.2529188409884492,4.0,0.0,2.0,1.0,1.0
35.0,a,0.28737508482844126,35.0,4.0,0.2644042556017799,4.0,0.0,1.0,2.0,1.0
36.0,a,0.21926727264376145,36.0,4.0,0.13067312620924743,4.0,2.0,1.0,0.0,1.0
37.0,a,0.042078979774733405,37.0,4.0,0.04207897977473339,4.0,1.0,0.0,0.0,3.0
38.0,a,0.11311649761251956,38.0,4.0,0.11311649761251956,4.0,1.0,1.0,0.0,2.0
39.0,a,0.2531274794494595,39.0,1.0,0.1332222181805285,4.0,0.0,1.0,0.0,0.0
40.0,a,0.1899841042029289,40.0,2.0,0.22155579182619423,4.0,1.0,1.0,0.0,0.0
41.0,a,0.1417347368689882,41.0,2.0,0.19494877350712556,4.0,0.0,2.0,0.0,0.0
42.0,a,0.1899841042029289,42.0,3.0,0.1899841042029289,4.0,1.0,1.0,0.0,1.0
43.0,a,0.046679067240984556,43.0,3.0,0.09420690205498637,4.0,1.0,2.0,0.0,0.0
44.0,a,0.25623537057191886,44.0,3.0,0.2120678596592589,4.0,1.0,2.0,0.0,0.0
45.0,a,0.25623537057191886,45.0,4.0,0.25623537057191886,4.0,1.0,2.0,0.0,1.0
46.0,a,0.1899841042029289,46.0,4.0,0.1899841042029289,4.0,1.0,1.0,0.0,2.0
47.0,a,-0.19533256576543953,47.0,3.0,-0.002306253885155596,4.0,0.0,3.0,0.0,0.0
48.0,a,0.2575922927090495,48.0,4.0,0.2566876779509624,4.0,2.0,2.0,0.0,0.0
49.0,a,0.18998410420292888,49.0,4.0,0.18998410420292888,4.0,1.0,1.0,1.0,1.0
50.0,a,-0.15008870372422956,50.0,2.0,0.1355099553945305,4.0,0.0,1.0,0.0,1.0
51.0,a,0.2531274794494595,51.0,3.0,0.05151938786261498,4.0,0.0,1.0,0.0,2.0
52.0,a,-0.0366766268290859,52.0,3.0,0.022120716298714687,4.0,1.0,1.0,0.0,1.0
53.0,a,0.11311649761251956,53.0,4.0,0.11311649761251956,4.0,0.0,1.0,0.0,3.0
54.0,a,0.017278476417461046,54.0,5.0,0.15232678062295116,4.0,1.0,1.0,2.0,1.0
55.0,a,0.04207897977473339,55.0,3.0,0.042078979774733384,4.0,0.0,0.0,3.0,0.0
56.0,a,0.16591041421130526,56.0,5.0,0.21175135346017737,4.0,2.0,2.0,0.0,1.0
57.0,a,0.18998410420292886,57.0,5.0,0.18998410420292888,4.0,1.0,1.0,1.0,2.0
58.0,a,0.1131164976125195,58.0,2.0,0.0996417902094059,4.0,0.0,1.0,0.0,1.0
59.0,a,0.2801529022673081,59.0,5.0,0.2681941364196135,4.0,1.0,2.0,1.0,1.0
60.0,a,-0.05253001235052194,60.0,5.0,0.16128608682956833,4.0,1.0,3.0,0.0,1.0
61.0,a,0.04207897977473336,61.0,4.0,0.04207897977473338,4.0,2.0,0.0,1.0,1.0
62.0,a,0.11669912051439396,62.0,3.0,0.11490780906345674,4.0,0.0,1.0,1.0,1.0
63.0,a,0.13673289651261034,63.0,4.0,0.11191971068807245,4.0,0.0,2.0,0.0,2.0
64.0,a,0.022028475323305485,64.0,4.0,0.03205372754901944,4.0,0.0,1.0,3.0,0.0
65.0,a,0.23102766969099844,65.0,5.0,0.23102766969099844,4.0,0.0,2.0,2.0,1.0
66.0,a,0.13711841965036015,66.0,3.0,0.12231134592575788,4.0,0.0,1.0,1.0,1.0
67.0,a,0.25312747944945946,67.0,4.0,0.25312747944945946,4.0,1.0,1.0,0.0,2.0
