budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701902,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,a,74.5920504432003,1.0,1.0,37.29602522160015,8.0,0.0,0.0,1.0,0.0
2.0,a,74.50238014058546,2.0,1.0,49.698143527928586,8.0,0.0,1.0,0.0,0.0
3.0,a,74.55243980272937,3.0,2.0,74.57224512296483,8.0,0.0,1.0,1.0,0.0
4.0,a,74.52051158845886,4.0,2.0,74.51144586452216,8.0,0.0,1.0,0.0,1.0
5.0,a,74.5920504432003,5.0,2.0,74.57884689637666,8.0,0.0,0.0,1.0,1.0
6.0,a,74.49925696689807,6.0,2.0,74.50738289864746,8.0,0.0,2.0,0.0,0.0
7.0,a,74.5920504432003,7.0,3.0,74.5920504432003,8.0,1.0,0.0,1.0,1.0
8.0,a,74.52247710130257,8.0,3.0,74.53745845201597,8.0,0.0,1.0,1.0,1.0
9.0,a,74.52946785987744,9.0,3.0,74.52498972416815,8.0,0.0,1.0,1.0,1.0
10.0,a,74.52129927958597,10.0,3.0,74.56846672199553,8.0,0.0,0.0,1.0,2.0
11.0,a,74.55590154701902,11.0,1.0,68.33165713467147,8.0,1.0,0.0,0.0,0.0
12.0,a,74.53310644595119,12.0,2.0,74.5445039964851,8.0,1.0,1.0,0.0,0.0
13.0,a,74.54955896297288,13.0,2.0,74.54618898531436,8.0,1.0,1.0,0.0,0.0
14.0,a,74.5495589629729,14.0,3.0,74.5495589629729,8.0,2.0,1.0,0.0,0.0
15.0,a,74.59969770372254,15.0,3.0,74.56640207483687,8.0,1.0,2.0,0.0,0.0
16.0,a,74.61515471907677,16.0,3.0,74.58265295625017,8.0,1.0,2.0,0.0,0.0
17.0,a,74.44641558325955,17.0,3.0,74.4728362750788,8.0,0.0,3.0,0.0,0.0
18.0,a,74.57583921004374,18.0,3.0,74.55831904532984,8.0,1.0,2.0,0.0,0.0
19.0,a,74.56396659818459,19.0,3.0,74.54629450073884,8.0,0.0,1.0,2.0,0.0
20.0,a,74.61515471907677,20.0,4.0,74.61515471907677,8.0,2.0,2.0,0.0,0.0
21.0,a,74.5920504432003,21.0,4.0,74.5920504432003,8.0,2.0,0.0,1.0,1.0
22.0,a,74.57583921004372,22.0,4.0,74.57583921004374,8.0,2.0,2.0,0.0,0.0
23.0,a,74.51262761235235,23.0,4.0,74.53829710526847,8.0,0.0,1.0,2.0,1.0
24.0,a,74.54695333327012,24.0,3.0,74.53231092720215,8.0,0.0,2.0,0.0,1.0
25.0,a,74.59969770372254,25.0,4.0,74.59969770372254,8.0,1.0,2.0,0.0,1.0
