budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.8243929953447555,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,a,5.800057829090038,1.0,1.0,2.900028914545019,10.0,0.0,1.0,0.0,0.0
2.0,a,5.8243929953447555,2.0,1.0,3.8748169414782647,10.0,0.0,0.0,0.0,1.0
3.0,a,5.598713947238174,3.0,2.0,5.711553471291465,10.0,0.0,1.0,0.0,1.0
4.0,a,5.800057829090038,4.0,2.0,5.800057829090038,10.0,1.0,1.0,0.0,0.0
5.0,a,5.809560573513914,5.0,2.0,5.8032254105646635,10.0,0.0,1.0,0.0,1.0
6.0,a,5.809560573513914,6.0,3.0,5.809560573513914,10.0,0.0,1.0,0.0,2.0
7.0,a,5.824392994293036,7.0,2.0,5.749166645625322,10.0,0.0,0.0,1.0,1.0
8.0,a,5.443471192068151,8.0,3.0,5.621764510579094,10.0,1.0,2.0,0.0,0.0
9.0,a,5.830369023324532,9.0,3.0,5.827381008808784,10.0,0.0,0.0,2.0,1.0
10.0,a,5.824392994293035,10.0,3.0,5.826385003970201,10.0,1.0,0.0,1.0,1.0
11.0,a,5.830582557002586,11.0,1.0,5.282962709064347,10.0,0.0,0.0,1.0,0.0
12.0,a,5.97779722153299,12.0,2.0,5.904189889267788,10.0,0.0,1.0,1.0,0.0
13.0,a,5.830582557002586,13.0,2.0,5.879654111846054,10.0,0.0,0.0,1.0,1.0
14.0,a,5.931128009332816,14.0,3.0,5.954462615432902,10.0,0.0,2.0,1.0,0.0
15.0,a,5.692257875156631,15.0,3.0,5.761420216079609,10.0,0.0,1.0,1.0,1.0
16.0,a,5.979259748863996,16.0,3.0,5.9627283265766,10.0,0.0,1.0,2.0,0.0
17.0,a,5.979259748863996,17.0,4.0,5.979259748863996,10.0,0.0,1.0,2.0,1.0
18.0,a,5.929498528803796,18.0,4.0,5.930313269068305,10.0,0.0,2.0,1.0,1.0
19.0,a,5.974768390450288,19.0,4.0,5.9777626293927595,10.0,0.0,1.0,2.0,1.0
20.0,a,6.094981774587708,20.0,4.0,5.985202770908106,10.0,0.0,3.0,1.0,0.0
21.0,a,6.091483366967394,21.0,5.0,6.093232570777551,10.0,0.0,3.0,2.0,0.0
22.0,a,5.830948629687321,22.0,2.0,5.928545700687676,10.0,0.0,0.0,2.0,0.0
23.0,a,5.826320087535631,23.0,3.0,5.828634358611476,10.0,0.0,0.0,3.0,0.0
24.0,a,5.824011423417318,24.0,3.0,5.827093380213423,10.0,0.0,0.0,3.0,0.0
25.0,a,5.985606308073969,25.0,5.0,5.982433028468982,10.0,0.0,1.0,3.0,1.0
26.0,a,5.830582557002586,26.0,3.0,5.784474329720601,10.0,1.0,0.0,1.0,1.0
27.0,a,5.678437076076489,27.0,4.0,5.75440304970051,10.0,0.0,1.0,2.0,1.0
28.0,a,6.094981774587708,28.0,5.0,6.093815638714271,10.0,1.0,3.0,1.0,0.0
29.0,a,5.931089857499586,29.0,5.0,5.930294193151691,10.0,0.0,2.0,2.0,1.0
30.0,a,5.826320087535631,30.0,4.0,5.826320087535631,10.0,1.0,0.0,3.0,0.0
31.0,a,5.977665598831571,31.0,3.0,5.995626694032985,10.0,0.0,1.0,2.0,0.0
32.0,a,5.977665598831571,32.0,4.0,5.977665598831571,10.0,0.0,1.0,2.0,1.0
33.0,a,6.343474835032986,33.0,4.0,6.0996020108987095,10.0,0.0,2.0,2.0,0.0
34.0,a,6.338770896641203,34.0,5.0,6.341122865837095,10.0,0.0,2.0,3.0,0.0
35.0,a,6.343474835032986,35.0,5.0,6.341906855569058,10.0,1.0,2.0,2.0,0.0
