budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0,,0.9346645654712499,0,0,0,4,0,0,0,0
1,a,0.9346645654712499,1,1,0.46733228273562494,4,0,0,0,1
2,a,0.934664565471252,2,1,0.6231097103141673,4,1,0,0,0
3,a,0.934664565471252,3,2,0.934664565471252,4,1,0,0,1
4,a,0.9288459652466221,4,2,0.931755265358936,4,0,0,1,1
5,a,0.9318978893120247,5,2,0.9337423400848429,4,1,0,1,0
6,a,0.934664565471252,6,2,0.9327250320630412,4,1,0,0,1
7,a,0.929159556071245,7,3,0.9319120607712486,4,1,0,1,1
8,a,0.9288459652466232,8,3,0.9317552653589376,4,1,0,1,1
9,a,0.9264095979537554,9,3,0.92915374363289,4,1,0,2,0
10,a,0.9288459652466221,10,3,0.9288459652466221,4,1,0,1,1
11,a,0.9318978893120227,11,1,0.8537134241894936,4,0,0,1,0
12,a,0.9318978893120237,12,2,0.9318978893120231,4,1,0,1,0
13,a,0.9260965125738887,13,2,0.9299640970659784,4,0,0,2,0
14,a,0.9260965125738897,14,3,0.9289972009429567,4,1,0,2,0
15,a,0.09053984842538328,15,3,0.508318180499636,4,0,1,2,0
16,a,0.929159556071245,16,3,0.9309945592045806,4,1,0,1,1
17,a,0.9288459652466232,17,3,0.9307854986548328,4,1,0,1,1
18,a,0.9260965125738897,18,3,0.9281346666132233,4,1,0,2,0
19,a,0.920880709909762,19,3,0.9261908801343354,4,0,1,1,1
20,a,0.9264095979537549,20,4,0.9277845770125,4,1,0,2,1
21,a,0.9233752263754404,21,4,0.9261105958110318,4,1,0,2,1
22,a,0.9101614386131299,22,4,0.9182855182834426,4,1,1,2,0
23,a,0.9260965125738908,23,4,0.9274712389102564,4,1,0,2,1
24,a,0.9288459652466227,24,4,0.928845965246623,4,2,0,1,1
25,a,0.9233752263754424,25,4,0.9262673912233437,4,1,0,1,2
26,a,0.9208807099097631,26,4,0.9208807099097626,4,1,1,1,1
27,a,0.9260965125738897,27,4,0.9260965125738897,4,1,0,2,1
28,a,0.5593831690822856,28,2,0.8970146070855631,4,0,1,0,1
29,a,0.934664565471252,29,2,0.927729965326011,4,1,0,0,1
30,a,0.9288459652466206,30,3,0.9317552653589363,4,1,0,1,1
31,a,0.934664565471252,31,3,0.9327250320630416,4,1,0,0,2
32,a,0.934664565471252,32,4,0.934664565471252,4,2,0,0,2
33,a,0.9288459652466221,33,4,0.9288459652466213,4,2,0,1,1
34,a,0.9984256332229448,34,4,0.9559182547218162,4,1,1,0,2
35,a,0.929159556071245,35,4,0.9282429033654149,4,1,0,1,2
36,a,0.9288459652466232,36,4,0.928845965246623,4,1,0,1,2
37,a,0.9260965125738908,37,4,0.9260965125738901,4,2,0,2,0
38,a,0.9233752263754424,38,4,0.9261059013986518,4,1,0,2,1
39,a,0.9346645654712509,39,1,0.876776301038331,4,1,0,0,0
40,a,0.9346645654712509,40,2,0.9346645654712509,4,1,0,0,1
41,a,0.934664565471252,41,2,0.9346645654712512,4,2,0,0,0
42,a,0.12267371145226909,42,3,0.5286691384617606,4,2,1,0,0
43,a,0.9346645654712489,43,3,0.9346645654712499,4,2,0,0,1
44,a,0.9346645654712509,44,3,0.9346645654712503,4,1,0,0,2
45,a,0.9346645654712509,45,4,0.9346645654712509,4,1,0,0,3
46,a,0.092444409208894,46,4,0.5135544873400715,4,2,1,0,1
47,a,0.9288459652466211,47,4,0.9288459652466212,4,2,0,1,1
48,a,0.9318978893120237,48,3,0.9299640970659789,4,1,0,1,1
49,a,0.5559008213465129,49,3,0.5576419952143992,4,0,1,1,1
50,a,0.9318978893120237,50,4,0.9318978893120237,4,1,0,1,2
51,a,0.9260965125738913,51,4,0.9260965125738905,4,2,0,2,0
52,a,0.9233752263754424,52,4,0.9253033362740433,4,1,0,2,1
53,a,0.9295384307353001,53,4,0.9311114031197825,4,1,0,1,2
54,a,0.9101916156775305,54,4,0.9155875507481386,4,1,0,3,0
55,a,0.9206423876690334,55,4,0.9242784709389381,4,1,0,3,0
56,a,0.8635517200529054,56,5,0.9309886766379251,4,1,2,0,2
57,a,0.9318978893120242,57,5,0.931897889312024,4,2,0,1,2
58,a,0.12510076679755125,58,5,0.5271301614343982,4,1,1,1,2
59,a,0.929224287948643,59,2,0.8589769949216789,4,0,0,1,1
60,a,0.2509031781728636,60,3,0.5900637330607533,4,0,1,1,1
61,a,0.46727007536475307,61,4,0.7731637556622722,4,1,1,1,1
62,a,0.9260965125738913,62,5,0.926096512573891,4,3,0,2,0
63,a,0.9288459652466232,63,5,0.9288459652466227,4,3,0,1,1
64,a,0.8839634753279064,64,5,0.8970775455027185,4,1,0,4,0
65,a,0.920880709909762,65,4,0.9208807099097625,4,0,1,1,2
66,a,0.9234528100305699,66,5,0.9247746613022303,4,1,0,2,2
67,a,0.9346645654712509,67,5,0.9346645654712514,4,3,0,0,2
68,a,0.9181548349812377,68,5,0.9195177724455004,4,1,1,2,1
69,a,0.2944343370051764,69,5,0.6116401511258988,4,2,1,1,1
70,a,0.8982387962614232,70,5,0.9108070113184328,4,1,1,2,1
71,a,0.10355827522954672,71,5,0.5122194925696544,4,0,2,1,2
72,a,0.9264686364665312,72,5,0.9262825745202112,4,2,0,2,1
73,a,0.923751742417711,73,5,0.9266450865765055,4,1,0,2,2
74,a,0.9058752302626433,74,5,0.9132588089658383,4,2,0,3,0
75,a,0.9295384307353001,75,3,0.9262999533901995,4,1,0,1,1
76,a,0.5240020223014584,76,4,0.7267702265183793,4,1,1,1,1
77,a,0.9260965125738913,77,5,0.9260965125738905,4,2,0,2,1
78,a,0.8942279011017134,78,5,0.9021946698574217,4,1,1,3,0
79,a,0.9318978893120237,79,3,0.9182693641806282,4,2,0,1,0
80,a,0.9260965125738893,80,4,0.9289972009429565,4,2,0,2,0
81,a,0.11398868522494335,81,4,0.6573276957036188,4,2,1,1,0
82,a,0.9288459652466221,82,4,0.9327250320630412,4,1,0,1,2
83,a,0.9288459652466221,83,5,0.9317552653589365,4,1,0,1,3
84,a,0.9288459652466221,84,5,0.9288459652466221,4,1,0,1,3
85,a,0.9291595560712466,85,2,0.7949002471083149,4,1,0,1,0
86,a,0.9379039856718545,86,3,0.9335317708715505,4,2,0,1,0
87,a,0.9909130786754291,87,3,0.9526588734728434,4,1,1,1,0
88,a,0.9847443126013019,88,4,0.9878286956383655,4,1,1,2,0
89,a,0.9241476935668003,89,4,0.9310258396193274,4,3,0,1,0
90,a,0.07950869367224644,90,4,0.6850553616496592,4,1,2,1,0
91,a,0.6535441575194011,91,5,0.8391133120478164,4,1,1,1,2
92,a,0.9230635877588187,92,5,0.925954776502721,4,1,0,2,2
93,a,0.9292242879486435,93,5,0.9290351265976331,4,2,0,1,2
94,a,0.8174794698228602,94,5,0.8918499076727088,4,2,1,1,1
95,a,0.13240587621043717,95,5,0.6614384764052931,4,1,1,1,2
96,a,0.9268715986239372,96,3,0.7023330215818145,4,0,0,1,2
97,a,0.7904643209739078,97,4,0.8586679597989225,4,0,1,1,2
98,a,0.9346645654712509,98,3,0.8787598648853141,4,2,0,0,1
99,a,0.934664565471252,99,4,0.9346645654712514,4,3,0,0,1
100,a,0.923375226375443,100,5,0.9233752263754427,4,2,0,1,2
101,a,0.934664565471252,101,4,0.9346645654712517,4,3,0,0,1
102,a,0.22257809704937032,102,1,0.8153007478169962,4,0,1,0,0
103,a,0.22119247378586712,103,2,0.2218852854176187,4,0,1,1,0
104,a,0.9072091266491249,104,5,0.9152921765122837,4,1,0,3,1
105,a,0.9346645654712509,105,2,0.8698520653171723,4,2,0,0,0
106,a,0.9288459652466232,106,3,0.931755265358937,4,2,0,1,0
107,a,0.9318978893120221,107,3,0.9318028066766321,4,2,0,1,0
108,a,0.9318978893120221,108,4,0.9318978893120221,4,2,0,1,1
109,a,0.9288459652466232,109,4,0.9288459652466232,4,2,0,1,1
110,a,0.18380802370902083,110,4,0.6825346007776883,4,2,1,1,0
111,a,0.08305535305390775,111,4,0.6001304242172509,4,0,1,1,2
112,a,0.2135808791454812,112,4,0.6918775194613787,4,2,1,1,0
113,a,0.9288459652466227,113,4,0.928845965246623,4,3,0,1,0
114,a,0.082879279714342,114,5,0.5058626224804826,4,2,1,1,1
115,a,0.5593831690822856,115,3,0.5582223865036946,4,0,1,0,2
116,a,0.934664565471252,116,5,0.934664565471252,4,4,0,0,1
117,a,0.923375226375443,117,5,0.9233752263754428,4,2,0,1,2
118,a,0.934664565471252,118,5,0.934664565471252,4,3,0,0,2
119,a,0.934664565471252,119,3,0.85908568300487,4,1,0,0,2
120,a,0.627562004819101,120,5,0.8322970452538683,4,3,1,0,1
121,a,0.9288459652466206,121,3,0.8535047067434386,4,1,0,1,1
122,a,0.9260965125738908,122,4,0.9274712389102557,4,1,0,2,1
123,a,0.9288459652466206,123,4,0.9279294810223773,4,1,0,1,2
124,a,0.9288459652466232,124,5,0.9288459652466219,4,2,0,1,2
125,a,0.1685505502224277,125,5,0.5473235313981593,4,1,1,2,1
126,a,0.9203312513506058,126,5,0.9242988001303427,4,2,0,3,0
127,a,0.9295384307353001,127,4,0.7943596279240195,4,1,0,1,2
128,a,0.915247392034161,128,5,0.9139216699886125,4,1,0,3,1
129,a,0.9295384307353001,129,5,0.9295384307353001,4,1,0,1,3
130,a,0.9217885450600221,130,6,0.9241285907632766,4,2,0,2,2
131,a,0.1586575547533495,131,5,0.6725781387413164,4,1,1,1,2
132,a,0.2876478723980114,132,4,0.6111562189346317,4,1,1,0,2
133,a,0.2652562881667342,133,5,0.7095889396282024,4,1,1,0,3
134,a,0.10804487178890425,134,5,0.6534126323122288,4,2,1,2,0
135,a,0.9318978893120242,135,3,0.8145637366042268,4,1,0,1,1
136,a,0.18343389088202255,136,4,0.5576658900970234,4,1,1,1,1
137,a,0.32949831478065966,137,3,0.4487115585933105,4,0,1,2,0
138,a,0.07431960428324977,138,5,0.6478829117419175,4,2,1,0,2
139,a,0.07434384157209595,139,3,0.3772273728318723,4,2,1,0,0
140,a,0.7226283726641174,140,5,0.8573925650895259,4,1,1,2,1
141,a,0.9295384307352995,141,5,0.9276095346294367,4,2,0,1,2
142,a,0.9152473920341595,142,6,0.9152473920341602,4,2,0,3,1
143,a,0.0993965235375473,143,6,0.5144674771364234,4,2,1,1,2
144,a,0.9233752263754424,144,5,0.914996416337436,4,1,0,2,2
145,a,0.9573953654132364,145,6,0.9403852958943395,4,2,0,2,2
146,a,0.8985602034604809,146,6,0.8983994998609521,4,1,1,2,2
147,a,0.9234528100305679,147,6,0.9234528100305689,4,2,0,2,2
148,a,0.9233752263754404,148,6,0.9347152727213732,4,2,0,2,2
149,a,0.9346645654712509,149,2,0.8011344424779109,4,1,0,0,1
150,a,0.9346645654712509,150,3,0.9346645654712509,4,2,0,0,1
151,a,0.934664565471252,151,3,0.9346645654712512,4,2,0,0,1
152,a,0.934664565471252,152,4,0.934664565471252,4,2,0,0,2
153,a,0.9346645654712499,153,4,0.9346645654712504,4,3,0,0,1
154,a,0.9346645654712504,154,4,0.9346645654712514,4,3,0,0,1
